"RANK","PLAYER","%","PAR 5 BIRDIES OR BETTER","PAR 5 HOLES"
"1","Pierceson Coody","63.25%","105","166"
"2","Nicolai Højgaard","60.49%","98","162"
"3","Xander Schauffele","56.77%","109","192"
"4","Jake Knapp","56.69%","144","254"
"5","Scottie Scheffler","56.15%","137","244"
"6","Michael Thorbjornsen","55.68%","147","264"
"7","Adam Scott","55.34%","114","206"
"8","Taylor Moore","55.30%","146","264"
"9","Kurt Kitayama","54.63%","118","216"
"10","Jesper Svensson","54.29%","152","280"
"11","Sepp Straka","54.20%","129","238"
"12","Rory McIlroy","54.07%","93","172"
"13","Max McGreevy","53.50%","153","286"
"14","Luke Clanton","53.26%","98","184"
"15","Garrick Higgo","53.13%","85","160"
"16","Kevin Yu","52.72%","155","294"
"17","Joseph Bramlett","52.63%","80","152"
"18","Rico Hoey","52.26%","162","310"
"19","Matti Schmid","52.17%","144","276"
"20","Hayden Springer","52.12%","123","236"
"21","Justin Thomas","51.94%","134","258"
"22","David Lipsky","51.91%","136","262"
"22","Vince Whaley","51.91%","163","314"
"24","Cameron Young","51.87%","139","268"
"25","Harry Hall","51.76%","147","284"
"26","Wyndham Clark","51.56%","132","256"
"27","Keith Mitchell","51.53%","135","262"
"28","Andrew Novak","51.50%","137","266"
"29","Ludvig Åberg","51.43%","108","210"
"30","Trevor Cone","51.38%","112","218"
"31","Si Woo Kim","51.32%","155","302"
"31","Trey Mullinax","51.32%","117","228"
"33","Taylor Pendrith","51.22%","126","246"
"34","Patton Kizzire","51.17%","109","213"
"35","Davis Riley","51.12%","137","268"
"36","Karl Vilips","51.06%","96","188"
"37","Max Greyserman","51.01%","151","296"
"38","Robert MacIntyre","50.85%","120","236"
"39","Lee Hodges","50.84%","121","238"
"40","Antoine Rozner","50.81%","126","248"
"41","Chan Kim","50.75%","135","266"
"42","Justin Rose","50.55%","92","182"
"43","Viktor Hovland","50.51%","100","198"
"44","Aaron Rai","50.44%","114","226"
"45","Chris Gotterup","50.36%","139","276"
"46","Davis Thompson","50.34%","147","292"
"47","Harry Higgs","50.00%","135","270"
"47","Sungjae Im","50.00%","145","290"
"47","Ben Martin","50.00%","86","172"
"47","Niklas Norgaard","50.00%","91","182"
"47","Jackson Suber","50.00%","118","236"
"47","Tim Widing","50.00%","78","156"
"53","Matt Wallace","49.80%","122","245"
"54","Ben Griffin","49.69%","160","322"
"55","Mark Hubbard","49.67%","149","300"
"56","Thomas Rosenmueller","49.60%","125","252"
"57","Isaiah Salinda","49.59%","120","242"
"58","Matt Fitzpatrick","49.57%","114","230"
"59","Tommy Fleetwood","49.56%","113","228"
"60","Hayden Buckley","49.49%","97","196"
"61","Ryan Palmer","49.44%","89","180"
"62","Matt McCarty","49.25%","132","268"
"62","Seamus Power","49.25%","131","266"
"64","Joe Highsmith","49.21%","125","254"
"65","Stephan Jaeger","49.14%","143","291"
"66","William Mouw","49.13%","113","230"
"67","Sam Burns","48.97%","143","292"
"68","Austin Eckroat","48.91%","134","274"
"69","Mac Meissner","48.87%","130","266"
"70","Patrick Rodgers","48.69%","149","306"
"71","Doug Ghim","48.56%","135","278"
"71","Sami Valimaki","48.56%","135","278"
"73","Rasmus Højgaard","48.51%","98","202"
"74","Victor Perez","48.46%","126","260"
"75","Thorbjørn Olesen","48.37%","119","246"
"76","Beau Hossler","48.33%","145","300"
"77","Maverick McNealy","48.26%","139","288"
"78","Nico Echavarria","48.20%","134","278"
"79","Alex Smalley","48.13%","129","268"
"79","Erik van Rooyen","48.13%","103","214"
"81","Jordan Spieth","48.10%","101","210"
"82","Emiliano Grillo","48.08%","138","287"
"83","Rickie Fowler","48.07%","112","233"
"84","Jeremy Paul","47.95%","117","244"
"85","Kevin Roy","47.84%","133","278"
"86","Rikuya Hoshino","47.78%","86","180"
"87","Harris English","47.74%","127","266"
"88","Luke List","47.72%","115","241"
"89","Hideki Matsuyama","47.64%","121","254"
"90","Taylor Montgomery","47.62%","100","210"
"91","Min Woo Lee","47.60%","99","208"
"92","Tony Finau","47.35%","107","226"
"92","Steven Fisk","47.35%","125","264"
"94","Ricky Castillo","47.31%","123","260"
"95","Alejandro Tosti","47.16%","83","176"
"95","Camilo Villegas","47.16%","108","229"
"97","Kris Ventura","47.08%","129","274"
"98","Noah Goodwin","47.03%","111","236"
"99","Will Gordon","47.00%","94","200"
"100","Danny Walker","46.96%","108","230"
"101","J.J. Spaun","46.95%","131","279"
"102","Ryo Hisatsune","46.94%","138","294"
"103","Zac Blair","46.84%","89","190"
"104","David Skinns","46.69%","113","242"
"105","Adam Svensson","46.48%","119","256"
"106","Ben Silverman","46.43%","104","224"
"107","Jhonattan Vegas","46.40%","103","222"
"108","Cam Davis","46.39%","90","194"
"109","John Pak","46.34%","114","246"
"110","Russell Henley","46.33%","101","218"
"111","Bud Cauley","46.23%","98","212"
"112","Chad Ramey","46.01%","127","276"
"113","Kaito Onishi","45.96%","91","198"
"114","Patrick Fishburn","45.93%","124","270"
"115","Michael Kim","45.89%","134","292"
"116","Ryan Fox","45.67%","95","208"
"117","Sam Ryder","45.65%","126","276"
"118","Tom Hoge","45.61%","135","296"
