"RANK","PLAYER","TOTAL","TOTAL PAR 5 HOLES","TOTAL HOLE OUT"
"1","Sahith Theegala","14","248","5"
"2","Jake Knapp","13","146","2"
"3","Keegan Bradley","11","202","2"
"3","Chris Gotterup","11","230","4"
"3","Joe Highsmith","11","194","0"
"3","Ryo Hisatsune","11","260","3"
"3","Nicolai Højgaard","11","196","0"
"3","Aldrich Potgieter","11","172","1"
"9","Michael Brennan","10","206","0"
"9","Tommy Fleetwood","10","196","3"
"9","Max Greyserman","10","194","4"
"9","Rasmus Højgaard","10","174","0"
"9","Mackenzie Hughes","10","190","2"
"9","Max McGreevy","10","206","3"
"9","Kristoffer Ventura","10","126","1"
"9","Matt Wallace","10","162","1"
"17","Ricky Castillo","9","196","4"
"17","Ryan Gerard","9","230","0"
"17","Billy Horschel","9","204","0"
"17","Michael Kim","9","234","3"
"17","Shane Lowry","9","170","3"
"17","Rasmus Neergaard-Petersen","9","160","1"
"17","Taylor Pendrith","9","222","2"
"17","Kristoffer Reitan","9","192","3"
"25","Wyndham Clark","8","202","1"
"25","Ben Griffin","8","216","2"
"25","Tom Hoge","8","226","1"
"25","Sungjae Im","8","184","2"
"25","Patrick Rodgers","8","236","3"
"25","Scottie Scheffler","8","210","1"
"25","Adam Scott","8","192","0"
"25","Kevin Yu","8","174","2"
"33","Sam Burns","7","192","0"
"33","Eric Cole","7","206","3"
"33","Joel Dahmen","7","178","0"
"33","Adrien Dumont de Chassart","7","170","1"
"33","Tony Finau","7","216","0"
"33","Emiliano Grillo","7","180","1"
"33","Brian Harman","7","226","2"
"33","Rico Hoey","7","214","2"
"33","Max Homa","7","202","1"
"33","Johnny Keefer","7","202","1"
"33","Min Woo Lee","7","196","1"
"33","Maverick McNealy","7","218","1"
"33","Mac Meissner","7","192","3"
"33","Andrew Novak","7","224","2"
"33","Matthieu Pavon","7","166","3"
"33","Alex Smalley","7","210","2"
"33","Michael Thorbjornsen","7","194","3"
"33","Sudarshan Yellamaraju","7","220","2"
"51","Zach Bauchou","6","208","1"
"51","Patrick Cantlay","6","182","2"
"51","Corey Conners","6","222","4"
"51","Matt Fitzpatrick","6","208","1"
