"RANK","PLAYER","STATUS","PAR 5 AVG","TOTAL PAR"
"1","Scottie Scheffler","-121","4.42","1,050"
"2","Sahith Theegala","-117","4.53","1,240"
"3","Chris Gotterup","-112","4.51","1,150"
"4","Ryan Gerard","-111","4.52","1,150"
"4","Si Woo Kim","-111","4.56","1,260"
"6","Ryo Hisatsune","-108","4.58","1,300"
"6","Maverick McNealy","-108","4.50","1,090"
"6","Keith Mitchell","-108","4.52","1,120"
"9","Max McGreevy","-107","4.48","1,030"
"10","Hideki Matsuyama","-106","4.53","1,120"
"11","Tony Finau","-105","4.51","1,080"
"11","Tommy Fleetwood","-105","4.46","980"
"13","Ben Griffin","-103","4.52","1,080"
"13","Sudarshan Yellamaraju","-103","4.53","1,100"
"15","Matt Fitzpatrick","-102","4.51","1,040"
"16","Pierceson Coody","-101","4.56","1,135"
"17","Jacob Bridgeman","-100","4.57","1,160"
"18","Nicolai Højgaard","-98","4.50","980"
"18","Kevin Roy","-98","4.50","980"
"20","Zach Bauchou","-97","4.53","1,040"
"20","Xander Schauffele","-97","4.49","950"
"22","Michael Brennan","-96","4.53","1,030"
"23","Ludvig Åberg","-95","4.51","970"
"23","Rico Hoey","-95","4.56","1,070"
"23","Nick Taylor","-95","4.60","1,200"
"26","Bud Cauley","-94","4.57","1,100"
"26","Joe Highsmith","-94","4.52","970"
"26","Max Homa","-94","4.53","1,010"
"26","Jake Knapp","-94","4.36","730"
"26","Adam Scott","-94","4.51","960"
"31","Ricky Castillo","-93","4.53","980"
"31","Michael Kim","-93","4.60","1,170"
"33","Eric Cole","-92","4.55","1,030"
"33","Mac Meissner","-92","4.52","960"
"35","Tom Kim","-91","4.55","1,000"
"35","Denny McCarthy","-91","4.60","1,130"
"37","Christiaan Bezuidenhout","-90","4.57","1,040"
"37","Harris English","-90","4.57","1,050"
"37","Andrew Novak","-90","4.60","1,120"
"37","Alex Smalley","-90","4.57","1,050"
"41","A.J. Ewart","-89","4.56","1,020"
"41","Mackenzie Hughes","-89","4.53","950"
"41","Stephan Jaeger","-89","4.53","940"
"41","Min Woo Lee","-89","4.55","980"
"41","Jordan Spieth","-89","4.60","1,110"
"41","Kevin Yu","-89","4.49","870"
"47","Sam Stevens","-88","4.62","1,170"
"48","Sam Burns","-87","4.55","960"
"48","Wyndham Clark","-87","4.57","1,010"
"48","Patrick Rodgers","-87","4.63","1,180"
"48","Jordan Smith","-87","4.54","940"
"52","Tom Hoge","-86","4.62","1,130"
"52","Taylor Pendrith","-86","4.61","1,110"
"52","Andrew Putnam","-86","4.58","1,020"
"52","Kristoffer Reitan","-86","4.55","960"
"56","Keegan Bradley","-85","4.58","1,010"
"56","Matt McCarty","-85","4.61","1,100"
"56","Matti Schmid","-85","4.55","950"
"59","Rickie Fowler","-84","4.57","970"
"59","Robert MacIntyre","-84","4.57","980"
"59","Collin Morikawa","-84","4.42","720"
"59","Aldrich Potgieter","-84","4.51","860"
"63","Austin Eckroat","-82","4.56","930"
"63","Max Greyserman","-82","4.58","970"
"65","Harry Hall","-81","4.57","950"
"65","Taylor Moore","-81","4.51","820"
"65","William Mouw","-81","4.47","770"
"65","Chad Ramey","-81","4.58","970"
"69","Cameron Young","-80","4.58","960"
"70","Russell Henley","-79","4.57","910"
"70","Sungjae Im","-79","4.57","920"
"70","J.T. Poston","-79","4.60","980"
