"RANK","PLAYER","AVG","TOTAL STROKES","TOTAL HOLES"
"1","Jake Knapp","4.36","636","146"
"2","Collin Morikawa","4.42","636","144"
"2","Scottie Scheffler","4.42","929","210"
"4","Tommy Fleetwood","4.46","875","196"
"5","William Mouw","4.47","689","154"
"6","Brooks Koepka","4.48","645","144"
"6","Max McGreevy","4.48","923","206"
"8","Xander Schauffele","4.49","853","190"
"8","Kevin Yu","4.49","781","174"
"10","Lee Hodges","4.50","675","150"
"10","Nicolai Højgaard","4.50","882","196"
"10","Maverick McNealy","4.50","982","218"
"10","Kevin Roy","4.50","882","196"
"10","Jackson Suber","4.50","693","154"
"15","Ludvig Åberg","4.51","875","194"
"15","Tony Finau","4.51","975","216"
"15","Matt Fitzpatrick","4.51","938","208"
"15","Chris Gotterup","4.51","1,038","230"
"15","Peter Malnati","4.51","695","154"
"15","Taylor Moore","4.51","739","164"
"15","Aldrich Potgieter","4.51","776","172"
"15","Adam Scott","4.51","866","192"
"23","Ryan Gerard","4.52","1,039","230"
"23","Ben Griffin","4.52","977","216"
"23","Joe Highsmith","4.52","876","194"
"23","Mac Meissner","4.52","868","192"
"23","Keith Mitchell","4.52","1,012","224"
"23","Kristoffer Ventura","4.52","569","126"
"29","Zach Bauchou","4.53","943","208"
"29","Michael Brennan","4.53","934","206"
"29","Ricky Castillo","4.53","887","196"
"29","Max Homa","4.53","916","202"
"29","Mackenzie Hughes","4.53","861","190"
"29","Stephan Jaeger","4.53","851","188"
"29","Hideki Matsuyama","4.53","1,014","224"
"29","Rasmus Neergaard-Petersen","4.53","725","160"
"29","Pontus Nyholm","4.53","725","160"
"29","Sahith Theegala","4.53","1,123","248"
"29","Sudarshan Yellamaraju","4.53","997","220"
"40","Doug Ghim","4.54","727","160"
"40","Jordan Smith","4.54","853","188"
"42","Sam Burns","4.55","873","192"
"42","Eric Cole","4.55","938","206"
"42","Tom Kim","4.55","909","200"
"42","Min Woo Lee","4.55","891","196"
"42","Shane Lowry","4.55","773","170"
"42","Rory McIlroy","4.55","600","132"
"42","Kristoffer Reitan","4.55","874","192"
"42","Matti Schmid","4.55","865","190"
"42","Jimmy Stanger","4.55","628","138"
"42","Matt Wallace","4.55","737","162"
"52","Pierceson Coody","4.56","1,034","227"
"52","Austin Eckroat","4.56","848","186"
"52","A.J. Ewart","4.56","931","204"
"52","Rico Hoey","4.56","975","214"
"52","Si Woo Kim","4.56","1,149","252"
"52","Chris Kirk","4.56","729","160"
"58","Christiaan Bezuidenhout","4.57","950","208"
"58","Jacob Bridgeman","4.57","1,060","232"
"58","Bud Cauley","4.57","1,006","220"
"58","Wyndham Clark","4.57","923","202"
"58","Harris English","4.57","960","210"
"58","Rickie Fowler","4.57","886","194"
"58","Harry Hall","4.57","869","190"
"58","Russell Henley","4.57","831","182"
"58","Sungjae Im","4.57","841","184"
"58","Robert MacIntyre","4.57","896","196"
"58","Chandler Phillips","4.57","741","162"
"58","Justin Rose","4.57","759","166"
"58","Alex Smalley","4.57","960","210"
"58","Jesper Svensson","4.57","585","128"
"58","John VanDerLaan","4.57","759","166"
"58","Dylan Wu","4.57","686","150"
"74","Keegan Bradley","4.58","925","202"
"74","Patrick Cantlay","4.58","833","182"
"74","Zecheng Dou","4.58","816","178"
"74","Adrien Dumont de Chassart","4.58","779","170"
"74","Max Greyserman","4.58","888","194"
"74","Ryo Hisatsune","4.58","1,192","260"
"74","Andrew Putnam","4.58","934","204"
"74","Chad Ramey","4.58","889","194"
"74","Cameron Young","4.58","880","192"
"83","Jason Day","4.59","799","174"
"83","Justin Lower","4.59","624","136"
"83","Seamus Power","4.59","794","173"
"83","Adam Svensson","4.59","661","144"
"87","Daniel Berger","4.60","865","188"
"87","Akshay Bhatia","4.60","828","180"
"87","Dan Brown","4.60","570","124"
"87","Takumi Kanaya","4.60","838","182"
"87","Michael Kim","4.60","1,077","234"
"87","Haotong Li","4.60","755","164"
"87","Denny McCarthy","4.60","1,039","226"
"87","Keita Nakajima","4.60","529","115"
"87","Andrew Novak","4.60","1,030","224"
"87","J.T. Poston","4.60","901","196"
"87","Jordan Spieth","4.60","1,021","222"
"87","Nick Taylor","4.60","1,105","240"
"99","Joel Dahmen","4.61","821","178"
"99","Lanto Griffin","4.61","563","122"
"99","Emiliano Grillo","4.61","830","180"
"99","Matt McCarty","4.61","1,015","220"
"99","Taylor Pendrith","4.61","1,024","222"
"99","J.J. Spaun","4.61","895","194"
"99","Davis Thompson","4.61","830","180"
"106","Tom Hoge","4.62","1,044","226"
"106","Viktor Hovland","4.62","813","176"
"106","Christo Lamprecht","4.62","619","134"
"106","David Lipsky","4.62","711","154"
"106","John Parry","4.62","915","198"
"106","Aaron Rai","4.62","675","146"
"106","Neal Shipley","4.62","638","138"
"106","Sam Stevens","4.62","1,082","234"
"106","Karl Vilips","4.62","721","156"
"115","Rasmus Højgaard","4.63","805","174"
"115","Beau Hossler","4.63","769","166"
