time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,poor shot (under -0.5 sg) avoidance rate,"Onishi, Kaito",18,0.889,48,1,67,0.925,null,null,26,0.962,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Higa, Kazuki",null,null,41,1,48,1,null,null,16,1,27,1
l12_months,poor shot (under -0.5 sg) avoidance rate,"Endycott, Harrison",13,0.846,47,0.979,62,0.935,null,null,18,0.833,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Horschel, Billy",81,0.951,263,0.973,399,0.95,177,0.977,124,0.96,140,0.943
l12_months,poor shot (under -0.5 sg) avoidance rate,"Cantlay, Patrick",81,0.926,243,0.971,373,0.965,200,0.97,132,0.947,119,0.966
l12_months,poor shot (under -0.5 sg) avoidance rate,"Kim, Tom",79,0.911,276,0.971,461,0.939,186,0.957,124,0.968,136,0.971
l12_months,poor shot (under -0.5 sg) avoidance rate,"Reed, Patrick",34,0.941,91,0.967,117,0.974,59,0.966,39,0.974,51,0.961
l12_months,poor shot (under -0.5 sg) avoidance rate,"Smotherman, Austin",55,0.945,182,0.967,341,0.956,133,0.985,69,0.928,88,0.989
l12_months,poor shot (under -0.5 sg) avoidance rate,"Norgaard, Niklas",31,0.903,60,0.967,88,0.977,45,0.911,40,0.85,24,0.958
l12_months,poor shot (under -0.5 sg) avoidance rate,"Dou, Zecheng",56,0.946,173,0.965,251,0.94,119,0.983,115,0.957,106,0.953
l12_months,poor shot (under -0.5 sg) avoidance rate,"Gomez, Fabian",11,0.818,86,0.965,113,0.938,80,0.95,25,1,22,0.909
l12_months,poor shot (under -0.5 sg) avoidance rate,"Dufner, Jason",17,1,57,0.965,60,0.883,null,null,24,0.833,20,0.9
l12_months,poor shot (under -0.5 sg) avoidance rate,"Clanton, Luke",46,0.957,227,0.965,303,0.947,140,0.986,95,0.979,109,0.945
l12_months,poor shot (under -0.5 sg) avoidance rate,"Kohles, Ben",42,0.976,198,0.965,264,0.928,130,0.985,44,1,45,0.978
l12_months,poor shot (under -0.5 sg) avoidance rate,"Ghim, Doug",89,0.955,253,0.964,341,0.944,144,0.924,113,0.947,84,0.976
l12_months,poor shot (under -0.5 sg) avoidance rate,"Hall, Harry",101,0.99,274,0.964,404,0.941,214,0.967,135,0.963,150,0.967
l12_months,poor shot (under -0.5 sg) avoidance rate,"Grillo, Emiliano",64,0.938,300,0.963,431,0.935,202,0.955,108,0.991,101,0.95
l12_months,poor shot (under -0.5 sg) avoidance rate,"Conners, Corey",75,0.96,353,0.963,508,0.965,257,0.977,120,0.958,142,0.965
l12_months,poor shot (under -0.5 sg) avoidance rate,"Scheffler, Scottie",112,0.982,324,0.963,454,0.967,235,0.97,118,0.932,135,0.978
l12_months,poor shot (under -0.5 sg) avoidance rate,"Cauley, Bud",100,0.94,296,0.963,452,0.976,218,0.968,117,0.897,166,0.964
l12_months,poor shot (under -0.5 sg) avoidance rate,"Buckley, Hayden",15,0.933,53,0.962,78,0.949,null,null,26,0.923,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Todd, Brendon",24,0.792,53,0.962,76,0.763,35,0.857,23,0.826,27,0.963
l12_months,poor shot (under -0.5 sg) avoidance rate,"Koivun, Jackson",20,0.85,104,0.962,122,0.984,60,1,33,0.97,30,0.867
l12_months,poor shot (under -0.5 sg) avoidance rate,"Gerard, Ryan",75,0.933,337,0.961,485,0.957,217,0.986,117,0.974,152,0.961
l12_months,poor shot (under -0.5 sg) avoidance rate,"Lahiri, Anirban",49,0.898,207,0.961,210,0.933,126,0.937,102,0.912,52,0.865
l12_months,poor shot (under -0.5 sg) avoidance rate,"Lowry, Shane",85,0.953,276,0.96,365,0.951,190,0.958,101,0.97,131,0.985
l12_months,poor shot (under -0.5 sg) avoidance rate,"Hodges, Lee",61,0.951,250,0.96,348,0.957,147,0.986,88,0.943,95,0.926
l12_months,poor shot (under -0.5 sg) avoidance rate,"Fishburn, Patrick",84,0.964,248,0.96,319,0.947,158,0.981,118,0.932,95,0.926
l12_months,poor shot (under -0.5 sg) avoidance rate,"Streb, Robert",18,0.889,49,0.959,64,0.906,44,0.955,21,0.857,26,1
l12_months,poor shot (under -0.5 sg) avoidance rate,"Kim, Michael",109,0.954,318,0.959,442,0.939,238,0.962,163,0.92,164,0.939
