time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,green hit rate,"Stenson, Henrik",14,0.878,41,0.897,null,null,29,0.541,null,null,null,null
l12_months,green hit rate,"Kohles, Ben",42,0.855,198,0.884,264,0.725,130,0.501,44,0.479,45,0.342
l12_months,green hit rate,"Cantlay, Patrick",81,0.899,243,0.876,373,0.749,200,0.445,132,0.54,119,0.347
l12_months,green hit rate,"Conners, Corey",75,0.817,353,0.875,508,0.748,257,0.506,120,0.532,142,0.298
l12_months,green hit rate,"Thornberry, Braden",20,0.919,60,0.875,73,0.676,29,0.351,40,0.573,26,0.253
l12_months,green hit rate,"Molinari, Francesco",null,null,56,0.874,92,0.784,40,0.466,12,0.369,null,null
l12_months,green hit rate,"Salinda, Isaiah",34,0.838,106,0.874,137,0.702,67,0.412,53,0.55,42,0.402
l12_months,green hit rate,"Koivun, Jackson",20,0.727,104,0.871,122,0.742,60,0.499,33,0.447,30,0.288
l12_months,green hit rate,"Smotherman, Austin",55,0.861,182,0.867,341,0.7,133,0.493,69,0.626,88,0.416
l12_months,green hit rate,"Villegas, Camilo",57,0.865,149,0.866,232,0.645,111,0.359,92,0.552,86,0.257
l12_months,green hit rate,"Reed, Patrick",34,0.883,91,0.862,117,0.734,59,0.472,39,0.527,51,0.309
l12_months,green hit rate,"Hisatsune, Ryo",109,0.854,386,0.862,482,0.686,236,0.511,158,0.597,139,0.401
l12_months,green hit rate,"McIlroy, Rory",53,0.839,197,0.858,232,0.676,135,0.549,125,0.542,93,0.452
l12_months,green hit rate,"Peterson, Paul",65,0.929,162,0.857,244,0.604,118,0.467,55,0.597,45,0.272
l12_months,green hit rate,"Todd, Brendon",24,0.739,53,0.854,76,0.385,35,0.196,23,0.454,27,0.233
l12_months,green hit rate,"Hojgaard, Rasmus",85,0.839,212,0.854,266,0.702,123,0.51,138,0.53,135,0.389
l12_months,green hit rate,"Stout, Preston",17,0.726,62,0.852,72,0.676,44,0.48,26,0.36,22,0.255
l12_months,green hit rate,"Norgaard, Niklas",31,0.819,60,0.849,88,0.658,45,0.477,40,0.401,24,0.337
l12_months,green hit rate,"Cook, Austin",24,0.85,66,0.849,92,0.633,52,0.346,26,0.562,29,0.45
l12_months,green hit rate,"Pak, John",16,0.725,69,0.849,62,0.621,31,0.55,23,0.487,null,null
l12_months,green hit rate,"Clanton, Luke",46,0.83,227,0.849,303,0.686,140,0.425,95,0.537,109,0.371
l12_months,green hit rate,"Lowry, Shane",85,0.85,276,0.848,365,0.71,190,0.529,101,0.59,131,0.368
l12_months,green hit rate,"Morikawa, Collin",71,0.901,262,0.848,397,0.715,193,0.503,90,0.575,93,0.43
l12_months,green hit rate,"Noh, S.Y.",18,0.855,42,0.847,73,0.704,39,0.517,12,0.512,19,0.359
l12_months,green hit rate,"Covello, Vince",16,0.873,48,0.846,60,0.691,null,null,39,0.591,null,null
l12_months,green hit rate,"Scheffler, Scottie",112,0.909,324,0.846,454,0.731,235,0.496,118,0.549,135,0.401
l12_months,green hit rate,"Harman, Brian",109,0.887,315,0.846,498,0.681,272,0.502,154,0.536,138,0.311
l12_months,green hit rate,"Berger, Daniel",80,0.923,233,0.845,391,0.701,207,0.511,96,0.614,135,0.441
l12_months,green hit rate,"Bridgeman, Jacob",99,0.869,365,0.844,509,0.716,274,0.407,136,0.526,170,0.36
l12_months,green hit rate,"Rai, Aaron",59,0.717,262,0.844,389,0.748,197,0.498,58,0.658,73,0.315
l12_months,green hit rate,"NeSmith, Matt",null,null,41,0.842,50,0.653,null,null,20,0.476,null,null
l12_months,green hit rate,"Scott, Adam",66,0.902,227,0.842,334,0.741,172,0.493,87,0.535,132,0.349
l12_months,green hit rate,"Uihlein, Peter",65,0.826,179,0.842,206,0.593,116,0.389,176,0.526,134,0.411
l12_months,green hit rate,"Ghim, Doug",89,0.87,253,0.84,341,0.674,144,0.473,113,0.544,84,0.232
l12_months,green hit rate,"Dou, Zecheng",56,0.861,173,0.84,251,0.728,119,0.538,115,0.508,106,0.371
l12_months,green hit rate,"Snedeker, Brandt",68,0.884,219,0.839,324,0.688,133,0.437,76,0.541,87,0.299
l12_months,green hit rate,"Waring, Paul",23,0.79,58,0.839,85,0.6,39,0.356,28,0.661,37,0.404
l12_months,green hit rate,"Westwood, Lee",47,0.739,163,0.837,190,0.686,104,0.436,60,0.5,68,0.307
l12_months,green hit rate,"Redman, Doc",13,0.886,47,0.836,63,0.758,null,null,19,0.622,null,null
l12_months,green hit rate,"Cauley, Bud",100,0.866,296,0.836,452,0.737,218,0.466,117,0.508,166,0.32
l12_months,green hit rate,"Casey, Paul",43,0.86,158,0.836,186,0.752,105,0.495,71,0.52,62,0.445
l12_months,green hit rate,"Duncan, Tyler",18,0.978,86,0.835,86,0.632,59,0.393,18,0.475,21,0.225
l12_months,green hit rate,"Stevens, Sam",110,0.844,333,0.835,479,0.683,213,0.394,175,0.601,142,0.379
l12_months,green hit rate,"Bradley, Keegan",89,0.809,302,0.835,447,0.672,237,0.525,153,0.574,126,0.352
l12_months,green hit rate,"McNealy, Maverick",111,0.885,315,0.835,429,0.707,248,0.472,163,0.563,161,0.351
l12_months,green hit rate,"Kim, Tom",79,0.851,276,0.835,461,0.652,186,0.467,124,0.589,136,0.388
l12_months,green hit rate,"McDowell, Graeme",52,0.693,213,0.834,234,0.666,127,0.478,102,0.554,82,0.299
l12_months,green hit rate,"Aberg, Ludvig",77,0.907,287,0.834,392,0.684,192,0.495,127,0.621,114,0.369
l12_months,green hit rate,"Theegala, Sahith",97,0.829,342,0.833,453,0.674,209,0.479,170,0.534,198,0.332
l12_months,green hit rate,"Gerard, Ryan",75,0.791,337,0.833,485,0.672,217,0.472,117,0.57,152,0.368
l12_months,green hit rate,"Canter, Laurie",61,0.849,218,0.833,250,0.691,140,0.509,89,0.621,79,0.285
l12_months,green hit rate,"Wu, Dylan",44,0.877,191,0.833,261,0.699,113,0.451,84,0.599,83,0.326
l12_months,green hit rate,"Fitzpatrick, Alex",44,0.849,111,0.833,190,0.694,101,0.475,50,0.618,50,0.396
l12_months,green hit rate,"Coody, Pierceson",93,0.878,317,0.833,429,0.66,217,0.518,167,0.574,151,0.354
l12_months,green hit rate,"Fishburn, Patrick",84,0.885,248,0.833,319,0.71,158,0.512,118,0.563,95,0.328
l12_months,green hit rate,"Ryder, Sam",65,0.875,192,0.832,288,0.71,115,0.455,86,0.66,86,0.392
l12_months,green hit rate,"Smalley, Alex",88,0.857,315,0.832,422,0.702,186,0.508,126,0.651,139,0.393
l12_months,green hit rate,"Ewart, A.J.",80,0.86,205,0.832,316,0.744,156,0.409,122,0.56,103,0.382
l12_months,green hit rate,"Henley, Russell",86,0.875,291,0.832,452,0.725,214,0.463,88,0.621,93,0.273
l12_months,green hit rate,"Burns, Sam",127,0.852,329,0.832,412,0.708,217,0.518,133,0.617,140,0.344
l12_months,green hit rate,"Kirk, Chris",73,0.891,235,0.831,329,0.677,158,0.455,116,0.589,107,0.303
l12_months,green hit rate,"Streb, Robert",18,0.734,49,0.831,64,0.536,44,0.427,21,0.463,26,0.349
l12_months,green hit rate,"Power, Seamus",61,0.777,282,0.831,402,0.644,155,0.49,116,0.603,116,0.303
l12_months,green hit rate,"Vilips, Karl",72,0.885,225,0.83,320,0.635,124,0.481,144,0.535,141,0.337
l12_months,green hit rate,"Bauchou, Zach",70,0.841,188,0.83,315,0.688,148,0.46,124,0.518,114,0.37
l12_months,green hit rate,"Kim, Anthony",51,0.879,189,0.83,223,0.656,119,0.399,110,0.628,77,0.371
l12_months,green hit rate,"Bryant, Davis",null,null,43,0.829,null,null,null,null,null,null,null,null
l12_months,green hit rate,"Burmester, Dean",67,0.915,173,0.827,202,0.652,111,0.446,113,0.565,79,0.361
l12_months,green hit rate,"Straka, Sepp",79,0.843,243,0.827,397,0.685,197,0.52,94,0.506,132,0.337
l12_months,green hit rate,"Hubbard, Mark",66,0.858,270,0.827,400,0.667,165,0.545,128,0.558,115,0.288
l12_months,green hit rate,"Yu, Kevin",92,0.85,249,0.827,344,0.718,156,0.478,125,0.515,93,0.33
l12_months,green hit rate,"Howell III, Charles",63,0.817,204,0.826,206,0.706,118,0.416,102,0.623,60,0.346
l12_months,green hit rate,"Brown, Dan",61,0.873,129,0.826,221,0.645,107,0.518,83,0.555,73,0.381
l12_months,green hit rate,"Grillo, Emiliano",64,0.794,300,0.826,431,0.709,202,0.5,108,0.503,101,0.318
l12_months,green hit rate,"An, Byeong Hun",80,0.831,190,0.826,217,0.625,120,0.487,159,0.613,91,0.261
l12_months,green hit rate,"Gotterup, Chris",134,0.872,338,0.825,405,0.714,240,0.474,180,0.589,196,0.322
l12_months,green hit rate,"Blanchet, Chandler",71,0.8,201,0.825,306,0.672,149,0.503,80,0.512,76,0.316
l12_months,green hit rate,"Brown, Blades",29,0.809,114,0.825,133,0.694,67,0.58,32,0.595,42,0.367
l12_months,green hit rate,"Skinns, David",43,0.829,195,0.824,231,0.72,102,0.412,68,0.497,64,0.401
l12_months,green hit rate,"Meissner, Mac",86,0.811,322,0.823,428,0.687,191,0.472,123,0.558,155,0.313
l12_months,green hit rate,"Kim, Michael",109,0.913,318,0.823,442,0.658,238,0.431,163,0.624,164,0.373
l12_months,green hit rate,"Schauffele, Xander",60,0.844,249,0.823,371,0.722,182,0.502,116,0.582,130,0.421
l12_months,green hit rate,"Watson, Bubba",57,0.811,192,0.823,237,0.64,131,0.419,103,0.558,63,0.323
l12_months,green hit rate,"Hojgaard, Nicolai",84,0.928,240,0.822,331,0.692,173,0.511,143,0.457,149,0.42
l12_months,green hit rate,"Bhatia, Akshay",86,0.911,267,0.822,405,0.701,214,0.457,148,0.557,154,0.348
l12_months,green hit rate,"Johnson, Zach",33,0.927,87,0.822,117,0.641,55,0.565,11,0.43,23,0.269
l12_months,green hit rate,"Hodges, Lee",61,0.786,250,0.821,348,0.704,147,0.537,88,0.551,95,0.274
l12_months,green hit rate,"Dahmen, Joel",83,0.843,250,0.821,375,0.665,178,0.475,100,0.545,71,0.414
l12_months,green hit rate,"Suber, Jackson",73,0.694,240,0.82,334,0.65,156,0.543,121,0.585,98,0.51
l12_months,green hit rate,"Ballester, Jose Luis",58,0.906,192,0.818,203,0.656,133,0.518,122,0.61,83,0.333
l12_months,green hit rate,"Bland, Richard",64,0.685,202,0.818,218,0.653,111,0.482,77,0.571,87,0.347
l12_months,green hit rate,"Ormsby, Wade",14,0.92,65,0.818,70,0.607,28,0.244,19,0.69,null,null
l12_months,green hit rate,"Lee, Min Woo",62,0.843,253,0.818,360,0.657,175,0.489,117,0.475,121,0.328
l12_months,green hit rate,"Thompson, Davis",94,0.884,285,0.818,353,0.708,167,0.447,136,0.488,95,0.413
l12_months,green hit rate,"Sigg, Greyson",13,0.897,92,0.818,92,0.634,29,0.677,26,0.627,27,0.559
l12_months,green hit rate,"Rose, Justin",70,0.903,225,0.817,348,0.716,200,0.466,85,0.7,121,0.416
l12_months,green hit rate,"Hovland, Viktor",75,0.785,229,0.816,393,0.745,224,0.443,87,0.566,121,0.347
l12_months,green hit rate,"Thorbjornsen, Michael",106,0.908,312,0.816,434,0.675,201,0.511,142,0.586,111,0.353
l12_months,green hit rate,"Tringale, Cameron",63,0.889,179,0.815,220,0.693,125,0.476,83,0.501,88,0.369
l12_months,green hit rate,"Noren, Alex",72,0.791,233,0.815,410,0.671,210,0.507,99,0.604,128,0.391
l12_months,green hit rate,"VanDerLaan, John",54,0.938,196,0.815,246,0.678,111,0.423,75,0.507,68,0.343
l12_months,green hit rate,"Ancer, Abraham",47,0.919,239,0.815,217,0.682,120,0.358,63,0.563,66,0.392
l12_months,green hit rate,"Taylor, Nick",96,0.861,331,0.815,476,0.709,247,0.427,140,0.56,159,0.304
l12_months,green hit rate,"Ventura, Kristoffer",69,0.794,221,0.814,244,0.655,125,0.537,95,0.493,72,0.438
l12_months,green hit rate,"Keefer, Johnny",101,0.853,287,0.814,374,0.744,163,0.497,150,0.633,119,0.397
l12_months,green hit rate,"Byrd, Jonathan",32,0.931,101,0.814,111,0.635,72,0.416,27,0.602,37,0.449
l12_months,green hit rate,"Riley, Davis",77,0.773,238,0.813,303,0.675,133,0.354,137,0.51,156,0.347
l12_months,green hit rate,"Thomas, Justin",78,0.883,261,0.813,376,0.67,186,0.439,138,0.548,121,0.268
l12_months,green hit rate,"Hatton, Tyrrell",71,0.802,240,0.812,267,0.706,166,0.456,124,0.616,115,0.332
l12_months,green hit rate,"Koepka, Brooks",64,0.914,199,0.812,254,0.656,127,0.493,113,0.562,102,0.523
l12_months,green hit rate,"Kokrak, Jason",55,0.794,184,0.812,221,0.691,126,0.494,90,0.481,89,0.3
l12_months,green hit rate,"Perez, Victor",61,0.743,228,0.812,329,0.667,168,0.494,117,0.588,96,0.326
l12_months,green hit rate,"Detry, Thomas",52,0.906,242,0.811,286,0.736,155,0.511,104,0.566,91,0.3
l12_months,green hit rate,"Horschel, Billy",81,0.892,263,0.811,399,0.717,177,0.434,124,0.61,140,0.317
l12_months,green hit rate,"Mitchell, Keith",131,0.844,281,0.81,378,0.713,217,0.439,211,0.55,142,0.332
l12_months,green hit rate,"Munoz, Sebastian",68,0.88,208,0.81,223,0.682,131,0.518,76,0.569,58,0.475
l12_months,green hit rate,"Lee, Danny",47,0.79,165,0.809,219,0.645,127,0.325,98,0.518,80,0.191
l12_months,green hit rate,"Spaun, J.J.",97,0.882,335,0.809,467,0.727,218,0.528,118,0.596,123,0.422
