time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,proximity (ft),"Fitzpatrick, Alex",44,17.6,111,17.3,190,28.6,101,40,50,32.9,50,67.2
l12_months,proximity (ft),"Hovland, Viktor",75,16.6,229,17.7,393,26,224,46.3,87,39.1,121,62.6
l12_months,proximity (ft),"Kirk, Chris",73,15.5,235,18.7,329,30.2,158,43.8,116,39.5,107,61.6
l12_months,proximity (ft),"Conners, Corey",75,17.7,353,18.7,508,28.2,257,40.9,120,37,142,63.7
l12_months,proximity (ft),"Morikawa, Collin",71,14.5,262,18.8,397,28.8,193,40.9,90,40.6,93,62.6
l12_months,proximity (ft),"Onishi, Kaito",18,20.4,48,18.8,67,34.2,null,null,26,45,null,null
l12_months,proximity (ft),"Henley, Russell",86,16.1,291,18.8,452,28.4,214,46.8,88,33.4,93,65.4
l12_months,proximity (ft),"Cantlay, Patrick",81,15.2,243,18.8,373,29.6,200,42.5,132,38.8,119,64.8
l12_months,proximity (ft),"Aberg, Ludvig",77,17.2,287,18.8,392,29.7,192,41.8,127,36.3,114,61.4
l12_months,proximity (ft),"Harman, Brian",109,14.4,315,18.9,498,30.3,272,44.1,154,39.8,138,65.2
l12_months,proximity (ft),"Kim, Si Woo",103,17,305,18.9,498,26.1,285,38.1,120,38.6,133,65.8
l12_months,proximity (ft),"Bhatia, Akshay",86,16.8,267,19,405,27.8,214,44.4,148,37.1,154,52.7
l12_months,proximity (ft),"Molinari, Francesco",null,null,56,19,92,27.9,40,38.9,12,45.4,null,null
l12_months,proximity (ft),"Kohles, Ben",42,15,198,19,264,29.7,130,39.8,44,37.3,45,62.7
l12_months,proximity (ft),"Covello, Vince",16,17.5,48,19.1,60,31.9,null,null,39,36.7,null,null
l12_months,proximity (ft),"Burns, Sam",127,15,329,19.1,412,30.1,217,45.8,133,40.2,140,64.7
l12_months,proximity (ft),"Simpson, Webb",36,14.6,120,19.2,156,33.6,66,38.3,65,41.3,65,74.1
l12_months,proximity (ft),"Keefer, Johnny",101,15.6,287,19.2,374,29.4,163,45.2,150,36.8,119,61.9
l12_months,proximity (ft),"Thomas, Justin",78,17.4,261,19.3,376,32.4,186,43.7,138,38.3,121,53.9
l12_months,proximity (ft),"Fox, Ryan",70,17.4,283,19.3,341,31.2,183,42.8,128,30.6,154,58.1
l12_months,proximity (ft),"Straka, Sepp",79,15.9,243,19.3,397,28.4,197,43.7,94,37.3,132,66
l12_months,proximity (ft),"Noh, S.Y.",18,21.5,42,19.3,73,32,39,45.6,12,56.5,19,50.5
l12_months,proximity (ft),"Rose, Justin",70,13.7,225,19.3,348,28.9,200,47.4,85,30,121,64
l12_months,proximity (ft),"Bridgeman, Jacob",99,17,365,19.3,509,29,274,48.8,136,38.6,170,60
l12_months,proximity (ft),"Hoge, Tom",124,16.9,325,19.4,477,30,232,41.3,160,34.4,177,57.7
l12_months,proximity (ft),"Scheffler, Scottie",112,14.7,324,19.4,454,27.3,235,41.4,118,38.4,135,56.6
l12_months,proximity (ft),"Kim, Michael",109,15.7,318,19.5,442,30.7,238,44.3,163,34.3,164,59.8
l12_months,proximity (ft),"Dufner, Jason",17,20.3,57,19.5,60,30.9,null,null,24,54.2,20,56.2
l12_months,proximity (ft),"Hojgaard, Nicolai",84,14.3,240,19.5,331,29.7,173,43.2,143,41.2,149,57.2
l12_months,proximity (ft),"Gerard, Ryan",75,17.9,337,19.5,485,29.3,217,40.3,117,33.8,152,57.3
l12_months,proximity (ft),"McNealy, Maverick",111,18.3,315,19.6,429,31.9,248,45.6,163,37.8,161,60.9
l12_months,proximity (ft),"Reed, Patrick",34,15.7,91,19.6,117,26.9,59,44.2,39,35.4,51,68
l12_months,proximity (ft),"Bradley, Keegan",89,18.5,302,19.7,447,29.9,237,43.7,153,36,126,65.4
l12_months,proximity (ft),"Rai, Aaron",59,24,262,19.7,389,29,197,44,58,37.2,73,69.2
l12_months,proximity (ft),"Lowry, Shane",85,14.8,276,19.7,365,29,190,43.2,101,34.4,131,62.3
l12_months,proximity (ft),"Casey, Paul",43,17.5,158,19.7,186,26.4,105,41.3,71,45.3,62,51.1
l12_months,proximity (ft),"Gomez, Fabian",11,26.4,86,19.7,113,31.2,80,50.9,25,39,22,57.9
l12_months,proximity (ft),"Kim, Tom",79,16.4,276,19.7,461,29.9,186,43.7,124,38.6,136,64.4
l12_months,proximity (ft),"Koivun, Jackson",20,23.4,104,19.8,122,25.2,60,40.1,33,41.9,30,69.1
l12_months,proximity (ft),"Smotherman, Austin",55,17.8,182,19.9,341,29.4,133,41.6,69,36.5,88,56
l12_months,proximity (ft),"Sigg, Greyson",13,14.7,92,19.9,92,29.6,29,37.8,26,39.4,27,51.6
l12_months,proximity (ft),"Scott, Adam",66,13.1,227,20,334,27.8,172,41.6,87,38.6,132,63.1
l12_months,proximity (ft),"Hatton, Tyrrell",71,17.7,240,20,267,30.7,166,45.4,124,32,115,64
l12_months,proximity (ft),"Cole, Eric",67,17.1,262,20,383,29,185,45,187,38.8,178,52.4
l12_months,proximity (ft),"Dickson, Taylor",11,16.1,53,20.1,63,34.1,null,null,18,40.3,20,89.8
l12_months,proximity (ft),"Kitayama, Kurt",104,18.5,347,20.1,479,28.2,222,41.1,132,38.9,178,53.1
l12_months,proximity (ft),"Pak, John",16,20.6,69,20.1,62,32.7,31,42.1,23,35.8,null,null
l12_months,proximity (ft),"Cauley, Bud",100,16.8,296,20.2,452,29.3,218,42.9,117,45.6,166,59.9
l12_months,proximity (ft),"Fitzpatrick, Matt",75,13.1,295,20.2,457,28.2,227,45.5,83,36.9,125,59
l12_months,proximity (ft),"Goodwin, Noah",20,15,104,20.2,97,31.5,43,53.2,20,41.9,34,79.8
l12_months,proximity (ft),"Streb, Robert",18,26.1,49,20.2,64,38.5,44,44.4,21,49.3,26,64.7
l12_months,proximity (ft),"Fleetwood, Tommy",75,15.8,281,20.3,422,29.8,232,37.3,79,38.9,127,67.2
l12_months,proximity (ft),"Blanchet, Chandler",71,18.3,201,20.3,306,33,149,42.8,80,34.7,76,67.5
l12_months,proximity (ft),"Thompson, Davis",94,15.3,285,20.3,353,29.9,167,47.7,136,40.9,95,49.9
l12_months,proximity (ft),"Horschel, Billy",81,18.3,263,20.3,399,30.6,177,45.5,124,38.5,140,65.1
l12_months,proximity (ft),"Schauffele, Xander",60,15.9,249,20.4,371,29,182,41.6,116,38.1,130,54.1
