time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,sg per shot,"Molinari, Francesco",null,null,56,0.086,92,0.067,40,0.067,12,-0.256,null,null
l12_months,sg per shot,"Fitzpatrick, Alex",44,-0.01,111,0.082,190,0.025,101,0.038,50,0.103,50,0.016
l12_months,sg per shot,"Kohles, Ben",42,0.08,198,0.074,264,0.022,130,0.062,44,0.076,45,0.013
l12_months,sg per shot,"Aberg, Ludvig",77,0.07,287,0.07,392,0.004,192,0.031,127,0.053,114,0.03
l12_months,sg per shot,"Bridgeman, Jacob",99,0.006,365,0.066,509,0.031,274,-0.017,136,0.026,170,-0.01
l12_months,sg per shot,"Burns, Sam",127,0.054,329,0.066,412,0.022,217,0.041,133,0.042,140,-0.028
l12_months,sg per shot,"Hovland, Viktor",75,0.064,229,0.065,393,0.058,224,-0.006,87,0.009,121,0.01
l12_months,sg per shot,"Henley, Russell",86,0.057,291,0.064,452,0.033,214,0.051,88,0.041,93,-0.042
l12_months,sg per shot,"Simpson, Webb",36,0.056,120,0.063,156,-0.073,66,0.053,65,-0.035,65,-0.039
l12_months,sg per shot,"Kirk, Chris",73,0.102,235,0.062,329,-0.005,158,0.029,116,0.036,107,0.006
l12_months,sg per shot,"Cantlay, Patrick",81,0.034,243,0.06,373,0.032,200,0.035,132,-0.003,119,0.023
l12_months,sg per shot,"Morikawa, Collin",71,0.08,262,0.059,397,0.045,193,0.089,90,0.036,93,0.022
l12_months,sg per shot,"Gomez, Fabian",11,-0.134,86,0.057,113,0.015,80,-0.111,25,0.03,22,-0.075
l12_months,sg per shot,"Johnson, Zach",33,0.041,87,0.056,117,-0.071,55,0.054,11,-0.034,23,-0.034
l12_months,sg per shot,"Kim, Tom",79,0.044,276,0.055,461,0.022,186,0.016,124,0.031,136,0.037
l12_months,sg per shot,"Noh, S.Y.",18,-0.055,42,0.054,73,-0.021,39,0.068,12,-0.114,19,0.038
l12_months,sg per shot,"Salinda, Isaiah",34,-0.024,106,0.054,137,0.012,67,-0.048,53,-0.063,42,0.02
l12_months,sg per shot,"Rai, Aaron",59,-0.105,262,0.054,389,0.049,197,0.061,58,0.06,73,-0.052
l12_months,sg per shot,"Blanchet, Chandler",71,0.006,201,0.053,306,-0.027,149,0.046,80,-0.039,76,-0.073
l12_months,sg per shot,"Ewart, A.J.",80,0.013,205,0.052,316,0.025,156,-0.047,122,0.021,103,0.007
l12_months,sg per shot,"Koivun, Jackson",20,-0.164,104,0.052,122,0.085,60,0.066,33,-0.026,30,-0.068
l12_months,sg per shot,"Conners, Corey",75,0.005,353,0.051,508,0.046,257,0.051,120,0.024,142,-0.03
l12_months,sg per shot,"Duncan, Tyler",18,0.16,86,0.051,86,0.054,59,-0.071,18,-0.048,21,-0.092
l12_months,sg per shot,"Lowry, Shane",85,0.076,276,0.05,365,0.017,190,0.043,101,0.057,131,0.02
l12_months,sg per shot,"Reed, Patrick",34,0.025,91,0.048,117,0.057,59,0.054,39,0.056,51,-0.009
l12_months,sg per shot,"Harman, Brian",109,0.082,315,0.047,498,0.003,272,0.037,154,0.001,138,-0.012
l12_months,sg per shot,"Buckley, Hayden",15,0.054,53,0.045,78,0.02,null,null,26,0.035,null,null
l12_months,sg per shot,"Thomas, Justin",78,0.02,261,0.044,376,-0.03,186,-0.003,138,0.007,121,0.001
l12_months,sg per shot,"Stout, Preston",17,-0.101,62,0.044,72,0.016,44,0.058,26,-0.104,22,-0.015
l12_months,sg per shot,"Ryder, Sam",65,0.034,192,0.044,288,0.013,115,0.009,86,0.071,86,0.005
l12_months,sg per shot,"Horschel, Billy",81,0.03,263,0.044,399,0.023,177,0.035,124,0.061,140,-0.06
l12_months,sg per shot,"Smotherman, Austin",55,0.052,182,0.043,341,0.034,133,0.072,69,0.057,88,0.041
l12_months,sg per shot,"Waring, Paul",23,0.014,58,0.042,85,-0.043,39,-0.055,28,0.045,37,0.033
l12_months,sg per shot,"Kim, Si Woo",103,0.027,305,0.041,498,0.069,285,0.092,120,-0.005,133,0.002
l12_months,sg per shot,"Sigg, Greyson",13,0.125,92,0.04,92,0.005,29,0.102,26,0.037,27,0.093
l12_months,sg per shot,"Chatfield, Davis",55,0.015,168,0.04,245,-0.013,129,0.048,48,-0.075,59,-0.076
l12_months,sg per shot,"Bhatia, Akshay",86,0.028,267,0.04,405,0.026,214,0.025,148,0.041,154,0.039
