"Last Name","First Name","SHORT GAME","APPROACH","Driving-Distance","Driving-Accuracy","Total SG Adjustment","putting-2-5ft","putting-5-30ft","putting-30+","aroundgreen-Fairway","aroundgreen-Rought","approach-50-100","main-text 8","approach-150-200","approach-200+"
"CELANO","RYAN","+0.12","+0.09","-0.00","+0.01","+0.22","7.3","11.8","4.3","3.5","3.6","3.0","5.7","5.1","4.2"
"HOOKS","JOE","+0.07","+0.05","+0.00","+0.02","+0.15","7.2","11.8","3.9","3.2","3.1","2.9","5.8","5.3","4.1"
"QUIBAN","JUSTIN","+0.08","+0.05","-0.00","+0.01","+0.13","7.2","11.9","3.8","3.3","3.2","3.0","5.6","5.0","4.2"
"AZALLION","DANIEL","+0.07","+0.05","+0.01","+0.00","+0.12","7.2","11.8","3.9","3.2","3.1","2.7","5.8","5.5","4.0"
"HUSKEY","KEENAN","+0.07","+0.02","-0.00","+0.02","+0.11","7.2","11.9","3.7","3.1","2.8","3.1","5.6","4.9","4.3"
"RUFFELS","RYAN","+0.06","+0.03","-0.01","+0.02","+0.10","7.3","12.0","3.8","3.2","3.0","3.1","5.6","4.8","4.3"
"DALKE","BRAD","+0.03","+0.04","+0.00","+0.02","+0.10","7.2","11.8","3.9","3.3","3.2","2.8","5.8","5.3","4.0"
"WILKES-KRIER","PATRICK","+0.04","+0.03","+0.01","-0.00","+0.07","7.1","11.8","3.6","3.1","2.9","2.7","5.7","5.5","4.1"
"CAMPOS","RAFAEL","+0.04","+0.01","-0.00","+0.01","+0.07","7.2","11.9","3.6","3.0","2.8","3.0","5.6","5.1","4.2"
"ROZO","MARCELO","+0.06","+0.01","+0.01","-0.01","+0.07","7.2","11.9","3.6","3.0","2.8","2.6","5.7","5.6","4.1"
"LAMPRECHT","CHRISTO","+0.02","+0.04","-0.02","+0.03","+0.07","7.1","11.7","3.6","3.2","3.1","3.5","5.5","4.3","4.5"
"WALKER","DANNY","+0.03","+0.01","-0.01","+0.02","+0.06","7.1","11.8","3.5","3.1","2.8","3.1","5.6","4.8","4.3"
"TOSTI","ALEJANDRO","+0.04","+0.01","-0.01","+0.01","+0.05","7.1","11.7","3.5","3.1","2.9","3.3","5.5","4.6","4.4"
