player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Young, Cameron",150,1.714,0.000,29,0.015,0.073,-0.106,0.171,0.075,-0.012,-0.001,-0.053,-0.065,1.877,2.683,"Rocket Classic","Detroit Golf Club"
"Gotterup, Chris",150,1.516,0.000,27,0.025,0.097,-0.092,0.037,0.020,-0.017,0.010,-0.043,-0.050,1.553,2.683,"Rocket Classic","Detroit Golf Club"
"Schauffele, Xander",150,1.449,0.000,32,-0.001,-0.005,-0.101,0.273,-0.044,-0.013,-0.000,-0.042,-0.055,1.517,2.644,"Rocket Classic","Detroit Golf Club"
"Kim, Si Woo",150,1.641,0.000,31,0.007,-0.017,-0.079,0.043,-0.006,0.004,-0.023,-0.054,-0.073,1.517,2.557,"Rocket Classic","Detroit Golf Club"
"Cantlay, Patrick",150,1.421,0.000,34,-0.008,-0.012,-0.055,0.032,0.029,-0.004,-0.003,-0.048,-0.055,1.352,2.569,"Rocket Classic","Detroit Golf Club"
"Spaun, J.J.",150,1.331,0.000,35,-0.015,0.018,-0.101,-0.107,0.231,0.001,-0.012,-0.031,-0.042,1.315,2.562,"Rocket Classic","Detroit Golf Club"
"Griffin, Ben",150,1.240,0.000,30,0.011,0.033,-0.092,0.134,0.052,-0.001,-0.002,-0.067,-0.070,1.308,2.537,"Rocket Classic","Detroit Golf Club"
"Clark, Wyndham",150,1.545,0.000,32,0.000,-0.004,-0.064,-0.183,0.056,-0.007,0.009,-0.073,-0.071,1.279,2.658,"Rocket Classic","Detroit Golf Club"
"Matsuyama, Hideki",150,1.214,0.000,34,-0.008,-0.033,0.091,-0.028,0.036,0.001,-0.004,-0.063,-0.065,1.206,2.578,"Rocket Classic","Detroit Golf Club"
"Henley, Russell",150,1.570,0.000,37,-0.020,-0.167,-0.038,-0.079,0.004,0.010,-0.030,-0.049,-0.069,1.202,2.536,"Rocket Classic","Detroit Golf Club"
"Koivun, Jackson",150,1.081,0.000,21,0.050,-0.034,0.238,-0.062,-0.042,-0.002,-0.010,-0.040,-0.053,1.177,2.606,"Rocket Classic","Detroit Golf Club"
"Gerard, Ryan",150,1.170,0.000,27,0.025,0.039,-0.089,0.053,0.010,-0.002,-0.011,-0.038,-0.051,1.156,2.602,"Rocket Classic","Detroit Golf Club"
"Knapp, Jake",150,0.937,0.000,32,0.002,0.106,0.035,-0.072,0.057,-0.013,0.008,-0.026,-0.031,1.034,2.693,"Rocket Classic","Detroit Golf Club"
"Hojgaard, Nicolai",150,0.895,0.000,25,0.032,-0.008,-0.128,0.119,0.056,-0.017,0.014,-0.024,-0.027,0.938,2.662,"Rocket Classic","Detroit Golf Club"
"Thorbjornsen, Michael",150,0.688,0.000,24,0.034,0.045,-0.065,0.223,0.026,-0.009,-0.004,-0.023,-0.035,0.916,2.642,"Rocket Classic","Detroit Golf Club"
"English, Harris",150,1.090,0.000,37,-0.019,-0.027,-0.108,0.027,-0.008,-0.001,-0.009,-0.043,-0.053,0.901,2.528,"Rocket Classic","Detroit Golf Club"
"Bhatia, Akshay",150,1.063,0.000,24,0.035,0.070,-0.118,-0.159,0.045,-0.000,0.003,-0.055,-0.052,0.884,2.604,"Rocket Classic","Detroit Golf Club"
"Bradley, Keegan",150,0.887,0.000,40,-0.033,-0.020,-0.092,0.087,0.069,-0.006,0.003,-0.031,-0.034,0.864,2.620,"Rocket Classic","Detroit Golf Club"
"Bridgeman, Jacob",150,0.939,0.000,26,0.026,0.025,-0.063,-0.069,0.033,-0.001,-0.005,-0.038,-0.043,0.849,2.601,"Rocket Classic","Detroit Golf Club"
"Thompson, Davis",150,0.509,0.000,27,0.024,0.001,0.078,0.143,0.093,-0.005,-0.003,-0.012,-0.021,0.826,2.597,"Rocket Classic","Detroit Golf Club"
"Fowler, Rickie",150,0.918,0.000,37,-0.022,-0.076,-0.091,0.004,0.090,0.000,-0.011,-0.020,-0.031,0.793,2.615,"Rocket Classic","Detroit Golf Club"
