player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_true,arg_true,app_true,ott_true,t2g_true,total_true
"Scheffler, Scottie",17,1,2.272,0.141,66,64,0.571719219,0.513605938,0.902374219,0.824652813,2.240632969,2.849449848
"McIlroy, Rory",14,1,0.696,0.28,54,50,0.3289106,0.2102854,0.4983652,1.1853446,1.8939952,2.115817778
"Fitzpatrick, Matt",18,3,1.746,0,70,68,0.108421618,0.585990882,0.962361176,0.421822794,1.970174853,2.036764857
"Young, Cameron",15,2,2.224,0.074,60,59,0.138888983,0.321090169,0.733504407,0.839048814,1.89364339,2.025131167
"Morikawa, Collin",13,1,1.14,0.026,50,50,0.3637654,0.0671038,1.062519,0.4447652,1.574388,1.9381536
"Rahm, Jon",15,2,1.046,0.006,58,58,0.229577069,0.276146207,0.584567759,0.769169483,1.629883448,1.859461379
"Kim, Si Woo",21,0,1.261,0.001,82,75,0.0381324,0.314940533,0.8341972,0.556359067,1.7054968,1.825591829
"Burns, Sam",17,0,0.839,0.065,62,60,0.8197275,-0.032879667,0.6321955,0.388768,0.988083833,1.799061452
"Fleetwood, Tommy",18,0,1.164,0.002,70,70,0.277024571,0.449955429,0.469760857,0.565947714,1.485664,1.762688714
"Aberg, Ludvig",17,0,0.608,0.002,62,59,0.184161017,0.20658322,0.845107966,0.620745932,1.672437119,1.729046774
"Gotterup, Chris",19,3,0.587,0,74,73,0.388859452,0.078177808,0.523544795,0.726515616,1.328238219,1.707213514
"Henley, Russell",16,1,0.186,0.061,58,56,0.473388036,0.170706607,0.632119643,0.377914464,1.180740714,1.66731569
"Schauffele, Xander",16,0,0.627,0.012,60,59,0.225821525,0.124500847,0.580065254,0.720456441,1.425022542,1.633137333
"Cantlay, Patrick",16,0,0.024,0.001,56,53,0.082586604,0.387226792,0.653446981,0.444976792,1.485650566,1.552393929
"Knapp, Jake",14,0,0.186,0.004,48,47,0.570813617,-0.107603617,0.598251489,0.402325745,0.892973617,1.495493125
"Clark, Wyndham",19,2,1.938,0.077,68,65,0.425132769,0.432717538,0.532936615,0.123710615,1.089364769,1.480250735
"Gerard, Ryan",22,0,1.783,0,82,75,0.385630933,-0.097511333,0.618213333,0.304726533,0.825428533,1.418020976
