event_name,course_name,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
Rocket Classic,Detroit Golf Club,"Azallion, Daniel",35071,63552,null,null,null,8:50 AM,early,1,2:00 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Bauchou, Zach",19846,48001,100,155,89,2:00 PM,late,1,8:50 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Bezuidenhout, Christiaan",18103,45522,68,99,91,7:11 AM,early,1,12:21 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Bhatia, Akshay",26096,56630,31,32,12,7:55 AM,early,10,1:05 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Blair, Zac",17639,40058,82,142,115,7:11 AM,early,10,12:21 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Blanchet, Chandler",24956,54788,247,123,105,2:00 PM,late,10,8:50 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Bradley, Keegan",13872,33141,44,44,76,7:33 AM,early,10,12:43 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Brennan, Michael",29197,61522,87,60,106,1:16 PM,late,1,8:06 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Bridgeman, Jacob",29433,60004,35,31,13,1:16 PM,late,10,8:06 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Campbell, Brian",18628,46443,373,148,165,1:05 PM,late,10,7:55 AM,early,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Campos, Rafael",12909,32070,null,null,174,1:38 PM,late,1,8:28 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Cantlay, Patrick",15466,35450,16,39,43,1:05 PM,late,1,7:55 AM,early,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Castillo, Ricky",27819,59440,105,102,68,7:33 AM,early,1,12:43 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Celano, Ryan",29665,58303,null,null,null,8:39 AM,early,10,1:49 PM,late,1,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Chatfield, Davis",30620,59006,199,245,135,9:01 AM,early,1,2:11 PM,late,10,null,null,null,null,null,null,1
Rocket Classic,Detroit Golf Club,"Clanton, Luke",32330,66743,288,305,156,1:49 PM,late,10,8:39 AM,early,1,null,null,null,null,null,null,1
