player_name,dg_id,tour_l20,field_this_week,l5_starts,true_sg_l20,vs_baseline_l20
"Clark, Wyndham",23604,pga,pga,pga-rbc canadian open-T11_major-u.s. open-1_pga-travelers championship-T5_pga-genesis scottish open-T13_major-the open championship-CUT,2.63,1.46
"Gerard, Ryan",29767,pga,pga,pga-the memorial tournament presented by workday-2_major-u.s. open-CUT_pga-travelers championship-T44_pga-genesis scottish open-T26_major-the open championship-T9,1.91,0.94
"Kim, Si Woo",14609,pga,pga,pga-the memorial tournament presented by workday-T10_major-u.s. open-CUT_pga-travelers championship-T44_pga-genesis scottish open-T9_major-the open championship-T6,1.89,0.24
"Gotterup, Chris",27774,pga,pga,major-u.s. open-T43_pga-travelers championship-T30_pga-john deere classic-1_pga-genesis scottish open-T11_major-the open championship-T18,1.83,0.45
"Henley, Russell",14578,pga,pga,pga-charles schwab challenge-1_pga-the memorial tournament presented by workday-T22_major-u.s. open-T65_pga-travelers championship-T12_major-the open championship-T9,1.73,-0.01
"Griffin, Ben",24968,pga,pga,pga-the memorial tournament presented by workday-CUT_major-u.s. open-T17_pga-travelers championship-T10_pga-john deere classic-T21_major-the open championship-T59,1.6,0.21
"Kohles, Ben",16395,pga,pga,major-u.s. open-T23_kft-memorial health championship presented by lrs-T19_pga-john deere classic-T3_pga-isco championship-T15_pga-3m open-9,1.51,1.23
"Spaun, J.J.",17536,pga,pga,pga-the memorial tournament presented by workday-T12_major-u.s. open-CUT_pga-travelers championship-T7_pga-genesis scottish open-T44_major-the open championship-T40,1.51,0.07
"Cantlay, Patrick",15466,pga,pga,pga-the memorial tournament presented by workday-T17_major-u.s. open-CUT_pga-travelers championship-T14_pga-genesis scottish open-CUT_major-the open championship-T28,1.41,-0.15
"Conners, Corey",17576,pga,pga,major-u.s. open-T23_pga-travelers championship-T7_pga-genesis scottish open-T52_major-the open championship-T14_pga-3m open-T39,1.36,0.81
"Grillo, Emiliano",12808,pga,pga,pga-charles schwab challenge-T42_pga-rbc canadian open-T20_major-u.s. open-T23_pga-john deere classic-T26_pga-3m open-T7,1.35,1.19
"Blair, Zac",17639,pga,pga,major-u.s. open-T32_kft-memorial health championship presented by lrs-T27_pga-john deere classic-T9_pga-isco championship-T8_pga-3m open-T13,1.31,1.11
"Schauffele, Xander",19895,pga,pga,pga-the memorial tournament presented by workday-T29_major-u.s. open-T11_pga-travelers championship-T51_pga-genesis scottish open-CUT_major-the open championship-T18,1.29,-0.41
"Suber, Jackson",29279,pga,pga,major-u.s. open-CUT_pga-travelers championship-T30_pga-john deere classic-T6_major-the open championship-T28_pga-3m open-CUT,1.28,1.3
"Matsuyama, Hideki",13562,pga,pga,pga-the memorial tournament presented by workday-T43_major-u.s. open-T65_pga-travelers championship-T14_major-the open championship-T14_pga-3m open-T3,1.18,-0.09
"Bridgeman, Jacob",29433,pga,pga,pga-rbc canadian open-T11_major-u.s. open-T39_pga-travelers championship-T47_pga-john deere classic-T26_major-the open championship-T28,1.18,0.15
"Young, Cameron",26651,pga,pga,major-pga championship-T26_pga-the memorial tournament presented by workday-T46_major-u.s. open-T43_pga-travelers championship-T47_major-the open championship-2,1.13,-1.1
"Bradley, Keegan",13872,pga,pga,pga-the memorial tournament presented by workday-T19_major-u.s. open-T32_pga-travelers championship-T14_pga-john deere classic-T26_major-the open championship-T74,1.1,0.28
"Koivun, Jackson",32319,pga,pga,am-ncaa di men's national championship stroke play-T10_major-u.s. open-T23_pga-john deere classic-CUT_pga-isco championship-T10_pga-3m open-1,1.08,-0.21
"Nakajima, Keita",21074,pga,pga,pga-rbc canadian open-T20_pga-john deere classic-T46_pga-genesis scottish open-T3_major-the open championship-CUT_pga-3m open-CUT,1.07,0.95
