player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Young, Cameron",15,60,59,2,5,7,9,0.139,57,-2.669,-0.802,0.271,1.100,2.738,1.648,0.321,17,-1.100,-0.523,0.297,0.825,2.379,1.062,0.734,3,-1.469,-0.057,0.533,1.870,2.994,1.450,0.839,1,-0.534,0.208,0.886,1.395,2.194,0.839,1.573,1,-0.865,0.457,1.703,2.398,4.494,1.716,1.894,1,-1.360,0.220,1.961,3.461,5.367,2.093,2.025,1,-2.742,0.052,1.727,3.788,6.671,2.820,2.025,1,-2.742,0.052,1.727,3.788,6.671,2.820,9.570,17,-4.895,3.787,9.810,16.455,25.557,11.983,0.016,45,-0.149,-0.082,0.018,0.090,0.207,0.114
"Kim, Si Woo",18,70,69,0,5,9,10,0.119,63,-2.512,-0.937,0.120,1.172,2.504,1.551,0.352,14,-1.079,-0.330,0.482,1.020,1.607,0.941,0.754,2,-1.979,-0.360,0.659,1.713,3.063,1.687,0.520,10,-0.336,0.039,0.517,0.903,1.604,0.635,1.274,4,-1.439,-0.131,1.357,2.560,4.001,1.809,1.626,2,-1.150,0.097,1.653,2.824,4.677,1.877,1.771,2,-2.665,0.080,1.952,3.597,5.495,2.632,1.771,2,-2.665,0.080,1.952,3.597,5.495,2.632,-5.111,105,-20.507,-9.483,-5.407,0.642,8.298,8.458,0.094,6,-0.101,-0.003,0.078,0.185,0.328,0.137
"Henley, Russell",14,50,50,1,2,4,9,0.500,12,-1.898,-0.447,0.295,1.567,3.100,1.512,0.186,33,-1.565,-0.363,0.258,0.646,1.650,0.986,0.510,21,-1.656,-0.530,0.195,1.622,3.349,1.648,0.443,16,-1.255,0.006,0.608,1.010,1.421,0.815,0.953,13,-1.675,-0.053,0.670,2.362,3.622,1.833,1.139,7,-2.426,-0.062,1.106,2.800,3.995,2.171,1.640,3,-2.622,0.194,2.042,3.127,5.183,2.414,1.640,3,-2.622,0.194,2.042,3.127,5.183,2.414,-10.679,128,-21.664,-14.874,-11.361,-5.384,0.245,7.268,0.137,2,-0.070,0.076,0.140,0.204,0.270,0.106
"Schauffele, Xander",16,60,59,0,2,5,10,0.226,46,-2.044,-0.892,0.128,1.361,2.657,1.490,0.125,45,-1.370,-0.345,0.129,0.797,1.528,0.899,0.580,12,-1.635,-0.508,0.521,1.486,2.756,1.457,0.720,4,-0.935,0.183,0.884,1.312,2.077,0.940,1.301,2,-1.223,0.130,1.022,2.396,4.076,1.670,1.425,4,-1.447,0.098,1.322,2.750,4.480,1.928,1.633,4,-1.717,-0.179,1.419,3.818,5.299,2.516,1.633,4,-1.717,-0.179,1.419,3.818,5.299,2.516,12.896,11,-5.786,7.495,14.260,19.822,28.410,11.103,0.001,67,-0.189,-0.082,-0.000,0.098,0.182,0.135
"Gotterup, Chris",18,70,69,2,2,4,11,0.335,31,-2.147,-0.720,0.054,1.127,3.158,1.629,0.029,66,-1.715,-0.748,-0.039,0.746,1.647,1.097,0.553,15,-1.565,-0.668,0.667,1.814,3.247,1.600,0.707,5,-0.740,0.049,0.752,1.317,2.167,0.910,1.259,5,-1.456,0.130,1.289,2.312,4.225,1.785,1.288,6,-1.873,-0.077,1.246,2.993,4.669,2.141,1.614,5,-2.060,-0.216,1.350,3.321,6.051,2.641,1.614,5,-2.060,-0.216,1.350,3.321,6.051,2.641,16.877,6,-0.915,9.652,16.768,23.706,36.967,11.577,-0.060,123,-0.291,-0.142,-0.074,0.032,0.151,0.133
"Cantlay, Patrick",15,52,51,0,0,3,7,0.096,66,-2.715,-0.882,0.440,0.935,2.561,1.613,0.375,10,-0.751,-0.201,0.335,0.872,1.862,0.853,0.653,8,-1.619,-0.498,0.338,1.565,3.911,1.704,0.445,15,-1.192,-0.029,0.550,1.033,1.716,0.852,1.098,6,-1.939,0.039,1.044,2.292,4.634,1.902,1.474,3,-1.490,0.311,1.665,2.649,5.194,2.078,1.531,6,-3.529,-0.156,1.656,3.480,5.725,2.732,1.531,7,-3.529,-0.156,1.656,3.480,5.725,2.732,0.824,65,-13.366,-5.270,0.072,7.717,13.936,9.266,0.015,51,-0.161,-0.081,0.006,0.118,0.194,0.126
"Bhatia, Akshay",17,56,53,1,3,4,9,0.793,3,-1.618,-0.247,0.768,1.722,3.289,1.612,0.248,26,-1.208,-0.567,0.078,1.050,2.623,1.282,0.581,10,-2.320,-0.265,0.576,1.592,2.784,1.616,-0.012,74,-1.708,-0.552,0.132,0.636,1.408,1.009,0.569,29,-3.392,-0.398,0.852,1.939,3.328,2.072,0.817,17,-3.688,-0.481,1.080,2.786,4.243,2.385,1.490,7,-3.572,0.508,1.765,3.286,6.071,2.805,1.490,8,-3.572,0.508,1.765,3.286,6.071,2.805,-1.395,84,-16.178,-8.335,-2.454,5.284,16.584,10.227,-0.014,81,-0.231,-0.099,-0.015,0.072,0.207,0.141
"Knapp, Jake",13,44,43,0,1,5,7,0.515,10,-2.436,-0.320,0.668,1.659,3.189,1.837,-0.147,109,-1.687,-0.634,-0.316,0.462,1.820,1.012,0.664,7,-1.919,-0.092,0.843,1.327,2.907,1.490,0.397,20,-2.038,-0.107,0.490,1.252,2.326,1.301,1.061,7,-2.860,0.357,1.456,2.018,3.526,2.027,0.914,15,-4.213,-0.198,1.079,2.232,4.529,2.295,1.465,8,-3.572,-0.490,1.543,3.770,5.181,2.809,1.465,9,-3.572,-0.490,1.543,3.770,5.181,2.809,14.788,10,-8.270,5.570,13.679,22.448,38.523,15.138,-0.033,104,-0.268,-0.105,-0.021,0.072,0.145,0.133
"Clark, Wyndham",18,64,63,2,4,4,9,0.399,21,-2.176,-0.601,0.446,1.430,3.224,1.679,0.420,5,-1.240,-0.349,0.388,1.259,2.104,1.088,0.536,16,-2.162,-0.316,0.426,1.760,2.728,1.524,0.142,54,-1.650,-0.388,0.308,0.833,1.547,1.009,0.679,20,-2.240,-0.656,0.518,1.917,3.623,1.783,1.099,10,-1.941,-0.295,0.681,2.526,5.045,2.207,1.459,9,-4.209,-0.383,1.703,3.271,6.320,2.971,1.459,10,-4.209,-0.383,1.703,3.271,6.320,2.971,5.945,37,-11.457,-3.313,5.666,14.776,26.756,13.167,-0.030,100,-0.222,-0.105,-0.023,0.060,0.136,0.118
"Koivun, Jackson",14,45,14,1,1,2,3,0.465,14,-2.999,0.380,0.670,1.422,2.354,1.675,0.171,39,-0.967,-0.649,0.404,0.486,1.577,0.899,0.571,13,-1.428,-0.930,0.714,1.664,2.804,1.581,0.359,25,-0.819,0.173,0.356,0.920,1.125,0.654,0.930,16,-1.059,-0.782,0.409,2.575,3.383,1.808,1.100,9,-1.113,-0.508,0.875,2.448,4.159,1.884,1.374,10,-2.308,-0.578,1.468,2.964,5.464,2.424,1.565,6,-1.996,0.388,1.277,2.369,5.944,2.586,-1.709,86,-24.113,-11.687,2.892,10.631,13.728,14.608,0.041,31,-0.123,-0.038,0.034,0.126,0.192,0.112
