player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Fowler, Rickie",3,6,4,0,0,0,3,0.600,19,-1.820,-0.431,0.816,1.847,2.718,2.168,0.456,17,-0.280,0.039,0.560,0.977,1.048,0.673,-0.010,68,-2.146,-0.766,0.241,0.996,1.774,1.877,0.734,11,-0.095,0.631,0.946,1.049,1.266,0.696,0.724,25,-2.237,-0.116,1.380,2.220,2.765,2.486,1.180,14,-2.401,0.505,2.387,3.062,3.071,2.941,2.872,1,0.079,1.134,3.210,4.560,5.303,2.332,2.872,1,0.079,1.134,3.210,4.560,5.303,2.332,8.857,20,-4.761,4.165,10.482,13.511,20.603,10.382,0.105,6,0.008,0.044,0.093,0.133,0.238,0.095
"Cantlay, Patrick",4,10,8,0,2,2,4,0.370,31,-1.434,-0.445,0.129,0.672,2.938,1.640,0.304,29,-1.392,-0.586,0.205,0.898,2.441,1.499,1.046,9,-0.184,0.643,0.879,1.303,2.565,1.025,0.507,24,-0.621,0.002,0.505,1.090,1.560,0.853,1.553,5,-0.102,0.827,1.795,2.520,2.704,1.131,1.857,4,-0.547,1.219,2.557,2.778,3.128,1.501,2.515,2,0.795,1.151,2.683,3.434,4.390,1.398,2.515,2,0.795,1.151,2.683,3.434,4.390,1.398,6.150,31,-19.162,3.841,6.676,14.746,24.283,15.541,0.029,37,-0.194,-0.063,0.076,0.142,0.171,0.141
"Matsuyama, Hideki",2,5,5,0,0,0,1,0.509,23,-3.216,-2.546,1.080,2.419,4.464,3.479,0.413,19,-0.211,-0.138,0.338,0.417,1.427,0.762,1.539,2,-0.358,0.002,2.554,2.597,2.909,1.625,-0.034,71,-1.183,-0.533,-0.176,0.275,1.342,1.094,1.505,7,-0.729,0.277,1.208,2.421,4.162,2.131,1.918,3,-0.423,0.139,2.192,2.888,4.526,2.204,2.427,3,-2.726,-1.192,2.558,6.015,7.493,4.642,2.427,3,-2.726,-1.192,2.558,6.015,7.493,4.642,-3.118,91,-15.050,-3.656,-2.249,2.079,5.321,9.112,0.017,52,-0.064,0.031,0.031,0.031,0.073,0.063
"Bradley, Keegan",2,8,8,1,1,1,1,-0.201,77,-3.179,-0.831,0.289,1.086,1.617,1.892,0.587,11,-0.478,-0.177,0.667,1.379,1.523,0.857,1.167,6,-0.921,0.259,1.107,2.086,3.289,1.599,0.674,14,-0.228,0.345,0.499,1.251,1.581,0.706,1.841,1,-0.937,0.827,1.989,2.937,4.319,2.005,2.428,1,-0.181,1.856,2.308,3.109,5.146,2.005,2.227,4,-1.163,0.353,2.810,3.203,5.805,2.695,2.227,4,-1.163,0.353,2.810,3.203,5.805,2.695,0.174,65,-12.543,-2.803,0.148,5.109,10.798,8.999,0.042,31,-0.078,-0.046,0.019,0.155,0.167,0.110
"Schauffele, Xander",2,8,8,0,1,1,2,0.845,11,-0.844,0.550,0.945,1.569,1.978,1.126,-0.011,75,-1.299,-0.984,0.316,0.581,1.200,1.015,0.487,27,-1.365,0.313,0.819,1.098,1.570,1.149,0.906,4,-0.475,0.079,0.974,1.694,2.261,1.077,1.393,10,-0.910,0.195,1.631,2.647,3.315,1.679,1.383,10,-1.753,0.069,1.824,3.034,3.599,2.176,2.227,4,-1.050,1.495,1.852,3.922,5.147,2.355,2.227,4,-1.050,1.495,1.852,3.922,5.147,2.355,17.174,4,0.804,5.587,19.638,25.608,33.252,13.079,-0.048,98,-0.242,-0.145,-0.029,0.043,0.129,0.142
"Kim, Si Woo",6,18,16,0,2,3,5,0.164,46,-2.253,-0.717,0.189,0.967,2.746,1.601,0.653,4,-1.354,0.277,0.747,1.315,1.981,1.101,1.080,8,-0.885,0.304,1.289,1.993,2.754,1.281,0.482,29,-0.492,0.083,0.353,0.982,1.529,0.747,1.563,4,-0.542,0.565,1.716,2.883,3.277,1.374,2.216,2,0.105,0.803,2.463,3.216,4.381,1.507,2.189,6,-0.484,0.940,2.347,3.174,4.837,2.139,2.189,6,-0.484,0.940,2.347,3.174,4.837,2.139,-1.025,74,-9.151,-6.238,-0.748,3.197,8.210,6.044,0.097,11,-0.138,0.004,0.090,0.231,0.283,0.151
"Stevens, Sam",4,10,8,0,1,2,3,1.302,1,-0.665,-0.289,1.039,2.898,3.577,1.797,0.316,28,-0.743,-0.485,0.233,0.984,1.612,0.946,0.092,60,-0.581,-0.295,0.092,0.375,0.858,0.570,0.370,39,-0.545,-0.295,0.286,0.860,1.527,0.822,0.462,42,-0.879,0.122,0.456,1.115,1.557,0.922,0.778,28,-0.262,-0.031,0.746,1.007,2.394,1.055,1.886,7,-0.540,0.059,1.762,3.495,4.517,2.003,1.886,7,-0.540,0.059,1.762,3.495,4.517,2.003,5.426,35,-5.318,2.577,5.425,8.696,15.603,7.427,0.007,62,-0.141,-0.063,-0.010,0.029,0.217,0.125
"Bridgeman, Jacob",5,12,10,0,1,1,4,1.179,5,-2.155,-0.945,1.151,3.119,4.606,2.643,-0.069,81,-0.874,-0.314,-0.098,0.157,0.792,0.576,0.659,20,-1.638,0.291,0.755,1.275,2.489,1.541,-0.222,92,-1.450,-0.617,-0.075,0.419,0.670,0.789,0.437,43,-1.496,0.214,0.868,1.051,1.305,1.140,0.368,48,-1.661,-0.124,0.632,0.925,1.863,1.254,1.742,8,-3.030,-0.811,2.710,4.079,5.668,3.201,1.742,8,-3.030,-0.811,2.710,4.079,5.668,3.201,-0.229,70,-12.152,-4.526,-0.810,5.097,11.180,8.204,-0.062,109,-0.269,-0.112,-0.046,0.024,0.078,0.128
"Echavarria, Nico",3,6,4,0,0,0,1,-0.276,87,-1.739,-0.835,-0.441,0.119,1.419,1.526,-0.139,93,-1.217,-1.031,-0.188,0.703,1.007,1.145,1.455,3,-1.786,0.784,2.162,2.833,3.708,2.731,0.339,45,-0.578,-0.229,0.373,0.941,1.208,0.876,1.794,2,-1.181,0.493,1.787,3.089,4.779,2.819,1.655,6,-0.655,0.818,1.852,2.689,3.688,2.067,1.605,9,-1.224,-0.260,1.742,3.430,4.299,2.461,1.605,9,-1.224,-0.260,1.742,3.430,4.299,2.461,1.156,62,-8.006,-2.493,1.374,6.072,9.219,7.084,0.004,65,-0.127,-0.070,-0.067,0.084,0.213,0.148
"Spaun, J.J.",2,5,4,0,0,0,1,0.944,7,-0.309,0.541,0.993,1.396,2.128,1.161,-0.524,119,-1.206,-0.854,-0.467,-0.137,0.077,0.617,0.721,17,0.003,0.544,0.877,1.054,1.223,0.605,0.389,36,0.216,0.221,0.379,0.547,0.575,0.197,1.110,15,0.563,1.017,1.256,1.349,1.454,0.455,0.586,36,0.013,0.413,0.676,0.849,1.033,0.494,1.534,10,0.608,0.808,1.551,1.863,2.685,0.926,1.534,10,0.608,0.808,1.551,1.863,2.685,0.926,3.817,47,-8.478,-5.193,-4.649,11.144,23.892,15.163,0.112,3,0.031,0.031,0.055,0.155,0.260,0.111
