time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,poor shot (under -0.5 sg) avoidance rate,"Onishi, Kaito",19,0.895,55,0.982,77,0.922,33,1,31,0.968,21,0.905
l12_months,poor shot (under -0.5 sg) avoidance rate,"Endycott, Harrison",19,0.842,53,0.981,72,0.861,null,null,22,0.818,21,0.952
l12_months,poor shot (under -0.5 sg) avoidance rate,"Gomez, Fabian",null,null,52,0.981,63,0.921,50,0.96,14,1,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Harrington, Padraig",null,null,40,0.975,58,0.931,31,1,30,1,33,1
l12_months,poor shot (under -0.5 sg) avoidance rate,"Kozuma, Jinichiro",21,1,40,0.975,null,null,null,null,15,0.8,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Lahiri, Anirban",49,0.878,199,0.975,217,0.935,119,0.941,91,0.901,52,0.865
l12_months,poor shot (under -0.5 sg) avoidance rate,"Casey, Paul",46,0.957,152,0.974,189,0.974,100,0.97,66,0.848,58,1
l12_months,poor shot (under -0.5 sg) avoidance rate,"Horschel, Billy",75,0.947,240,0.971,367,0.951,159,0.975,115,0.957,132,0.939
l12_months,poor shot (under -0.5 sg) avoidance rate,"Kim, Tom",81,0.914,269,0.97,459,0.937,188,0.947,128,0.969,136,0.971
l12_months,poor shot (under -0.5 sg) avoidance rate,"Cantlay, Patrick",81,0.926,235,0.97,372,0.965,192,0.969,123,0.943,112,0.973
l12_months,poor shot (under -0.5 sg) avoidance rate,"Reed, Patrick",40,0.95,100,0.97,126,0.968,57,0.965,38,0.974,49,0.939
l12_months,poor shot (under -0.5 sg) avoidance rate,"Kohles, Ben",46,0.978,196,0.969,259,0.923,134,0.985,43,1,47,0.979
l12_months,poor shot (under -0.5 sg) avoidance rate,"Buckley, Hayden",16,0.938,62,0.968,89,0.944,31,0.935,30,0.9,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Norgaard, Niklas",41,0.951,57,0.965,103,0.971,43,0.884,51,0.882,27,0.926
l12_months,poor shot (under -0.5 sg) avoidance rate,"Smyth, Trav",21,0.857,57,0.965,56,0.946,28,1,46,0.891,35,0.914
l12_months,poor shot (under -0.5 sg) avoidance rate,"Clanton, Luke",49,0.959,225,0.964,306,0.941,137,0.985,97,0.969,108,0.935
l12_months,poor shot (under -0.5 sg) avoidance rate,"Ghim, Doug",90,0.956,252,0.964,347,0.942,142,0.923,111,0.946,79,0.975
l12_months,poor shot (under -0.5 sg) avoidance rate,"Smotherman, Austin",54,0.944,166,0.964,314,0.952,123,0.984,62,0.919,82,1
l12_months,poor shot (under -0.5 sg) avoidance rate,"Byrd, Jonathan",27,0.963,80,0.963,89,0.854,55,0.945,26,0.923,34,0.971
l12_months,poor shot (under -0.5 sg) avoidance rate,"Todd, Brendon",24,0.792,53,0.962,76,0.763,35,0.857,23,0.826,27,0.963
l12_months,poor shot (under -0.5 sg) avoidance rate,"An, Byeong Hun",80,0.95,180,0.961,227,0.934,118,0.966,157,0.962,95,0.916
l12_months,poor shot (under -0.5 sg) avoidance rate,"Meissner, Mac",86,0.965,333,0.961,442,0.968,196,0.99,125,0.968,156,0.962
l12_months,poor shot (under -0.5 sg) avoidance rate,"Bridgeman, Jacob",105,0.914,357,0.961,505,0.952,263,0.939,133,0.97,163,0.939
l12_months,poor shot (under -0.5 sg) avoidance rate,"Grillo, Emiliano",67,0.94,306,0.961,428,0.932,202,0.95,107,0.991,100,0.96
l12_months,poor shot (under -0.5 sg) avoidance rate,"Conners, Corey",76,0.961,331,0.961,498,0.968,244,0.98,107,0.963,127,0.953
l12_months,poor shot (under -0.5 sg) avoidance rate,"Pak, John",23,0.87,75,0.96,76,0.908,36,0.972,26,0.846,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Snedeker, Brandt",65,0.954,200,0.96,300,0.937,118,0.924,74,0.986,86,0.965
l12_months,poor shot (under -0.5 sg) avoidance rate,"Salinda, Isaiah",44,0.955,125,0.96,160,0.925,78,0.949,57,0.877,47,0.957
l12_months,poor shot (under -0.5 sg) avoidance rate,"Dufner, Jason",14,1,50,0.96,48,0.896,null,null,23,0.826,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Svensson, Jesper",78,0.974,173,0.96,235,0.936,113,0.938,104,0.971,81,0.963
l12_months,poor shot (under -0.5 sg) avoidance rate,"Fishburn, Patrick",81,0.975,222,0.959,298,0.94,141,0.979,120,0.925,92,0.924
l12_months,poor shot (under -0.5 sg) avoidance rate,"Gotterup, Chris",136,0.926,345,0.959,436,0.952,250,0.96,189,0.958,198,0.98
l12_months,poor shot (under -0.5 sg) avoidance rate,"Gerard, Ryan",72,0.944,320,0.959,472,0.956,204,0.985,109,0.982,146,0.959
l12_months,poor shot (under -0.5 sg) avoidance rate,"Hubbard, Mark",63,0.968,269,0.959,405,0.946,163,0.963,136,0.956,112,0.946
l12_months,poor shot (under -0.5 sg) avoidance rate,"Cauley, Bud",100,0.94,293,0.959,442,0.968,209,0.967,112,0.884,157,0.962
l12_months,poor shot (under -0.5 sg) avoidance rate,"Scheffler, Scottie",111,0.982,312,0.958,433,0.968,224,0.969,107,0.935,131,0.977
l12_months,poor shot (under -0.5 sg) avoidance rate,"Covello, Vince",16,0.875,48,0.958,60,0.933,null,null,39,0.974,null,null
l12_months,poor shot (under -0.5 sg) avoidance rate,"Henley, Russell",89,0.978,287,0.958,459,0.963,210,0.976,87,0.943,89,0.978
l12_months,poor shot (under -0.5 sg) avoidance rate,"Dou, Zecheng",53,0.943,143,0.958,217,0.94,100,0.99,102,0.951,101,0.96
l12_months,poor shot (under -0.5 sg) avoidance rate,"Keefer, Johnny",93,0.946,262,0.958,346,0.951,144,0.938,140,0.979,104,0.923
l12_months,poor shot (under -0.5 sg) avoidance rate,"Kim, S.H.",29,0.828,95,0.958,162,0.944,55,0.982,40,0.975,64,0.984
l12_months,poor shot (under -0.5 sg) avoidance rate,"Hall, Harry",104,0.99,281,0.957,423,0.936,216,0.958,137,0.956,147,0.966
