time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,green hit rate,"Conners, Corey",76,0.821,331,0.889,498,0.742,244,0.499,107,0.538,127,0.288
l12_months,green hit rate,"Kohles, Ben",46,0.862,196,0.888,259,0.707,134,0.494,43,0.546,47,0.382
l12_months,green hit rate,"Manassero, Matteo",null,null,39,0.883,62,0.671,null,null,15,0.582,null,null
l12_months,green hit rate,"Cantlay, Patrick",81,0.899,235,0.879,372,0.742,192,0.445,123,0.549,112,0.347
l12_months,green hit rate,"Jang, Yubin",18,0.743,42,0.876,null,null,null,null,21,0.765,null,null
l12_months,green hit rate,"Harrington, Padraig",null,null,40,0.873,58,0.646,31,0.295,30,0.749,33,0.336
l12_months,green hit rate,"Stenson, Henrik",19,0.867,66,0.873,74,0.79,37,0.427,11,0.7,null,null
l12_months,green hit rate,"Reed, Patrick",40,0.934,100,0.868,126,0.723,57,0.398,38,0.558,49,0.293
l12_months,green hit rate,"Hisatsune, Ryo",111,0.854,381,0.867,475,0.687,224,0.508,157,0.581,136,0.398
l12_months,green hit rate,"Thornberry, Braden",20,0.919,67,0.865,86,0.677,32,0.369,45,0.602,31,0.27
l12_months,green hit rate,"Koivun, Jackson",19,0.715,83,0.864,96,0.734,52,0.46,30,0.469,25,0.228
l12_months,green hit rate,"Smotherman, Austin",54,0.858,166,0.863,314,0.691,123,0.493,62,0.608,82,0.414
l12_months,green hit rate,"McIlroy, Rory",54,0.825,203,0.861,231,0.697,137,0.533,125,0.569,90,0.461
l12_months,green hit rate,"Snedeker, Brandt",65,0.878,200,0.861,300,0.693,118,0.419,74,0.566,86,0.268
l12_months,green hit rate,"Stout, Preston",18,0.786,56,0.859,78,0.687,42,0.48,24,0.348,21,0.258
l12_months,green hit rate,"Salinda, Isaiah",44,0.838,125,0.858,160,0.689,78,0.414,57,0.536,47,0.368
l12_months,green hit rate,"Villegas, Camilo",48,0.887,135,0.858,202,0.662,94,0.344,89,0.58,82,0.275
l12_months,green hit rate,"Rai, Aaron",62,0.728,267,0.857,405,0.756,202,0.487,57,0.645,73,0.318
l12_months,green hit rate,"Todd, Brendon",24,0.74,53,0.855,76,0.387,35,0.195,23,0.455,27,0.233
l12_months,green hit rate,"Scheffler, Scottie",111,0.891,312,0.853,433,0.738,224,0.494,107,0.552,131,0.387
l12_months,green hit rate,"Hojgaard, Rasmus",82,0.858,204,0.85,270,0.697,129,0.515,134,0.549,138,0.409
l12_months,green hit rate,"Burmester, Dean",74,0.886,184,0.85,227,0.637,114,0.423,114,0.563,84,0.359
l12_months,green hit rate,"Lowry, Shane",88,0.832,271,0.849,371,0.712,189,0.532,98,0.561,131,0.396
l12_months,green hit rate,"Peterson, Paul",60,0.942,146,0.849,218,0.586,101,0.477,53,0.648,44,0.253
l12_months,green hit rate,"Bridgeman, Jacob",105,0.872,357,0.847,505,0.718,263,0.409,133,0.513,163,0.341
l12_months,green hit rate,"Covello, Vince",16,0.873,48,0.847,60,0.691,null,null,39,0.591,null,null
l12_months,green hit rate,"VanDerLaan, John",46,0.932,159,0.845,198,0.67,85,0.445,63,0.487,61,0.335
l12_months,green hit rate,"Morikawa, Collin",72,0.889,257,0.845,381,0.711,181,0.489,94,0.573,91,0.41
l12_months,green hit rate,"Cauley, Bud",100,0.865,293,0.844,442,0.736,209,0.472,112,0.49,157,0.302
l12_months,green hit rate,"Berger, Daniel",81,0.924,234,0.844,414,0.719,210,0.507,99,0.622,135,0.425
l12_months,green hit rate,"Casey, Paul",46,0.875,152,0.843,189,0.756,100,0.519,66,0.483,58,0.426
l12_months,green hit rate,"NeSmith, Matt",null,null,41,0.842,50,0.653,null,null,20,0.476,null,null
l12_months,green hit rate,"Pak, John",23,0.791,75,0.842,76,0.664,36,0.537,26,0.457,null,null
l12_months,green hit rate,"Bramlett, Joseph",15,0.776,53,0.841,73,0.734,null,null,29,0.575,null,null
l12_months,green hit rate,"Ghim, Doug",90,0.87,252,0.84,347,0.672,142,0.476,111,0.518,79,0.219
l12_months,green hit rate,"Mickelson, Phil",18,0.853,59,0.839,80,0.627,45,0.46,32,0.373,30,0.295
l12_months,green hit rate,"Skinns, David",37,0.86,175,0.838,230,0.725,96,0.439,72,0.518,56,0.366
l12_months,green hit rate,"Uihlein, Peter",64,0.824,161,0.838,193,0.603,101,0.449,153,0.53,118,0.439
l12_months,green hit rate,"Kozuma, Jinichiro",21,0.831,40,0.838,null,null,null,null,15,0.512,null,null
l12_months,green hit rate,"Bradley, Keegan",89,0.821,296,0.837,460,0.673,236,0.515,150,0.557,124,0.334
l12_months,green hit rate,"Dou, Zecheng",53,0.856,143,0.837,217,0.742,100,0.573,102,0.494,101,0.371
l12_months,green hit rate,"Redman, Doc",13,0.886,47,0.836,63,0.758,null,null,19,0.622,null,null
l12_months,green hit rate,"McNealy, Maverick",112,0.884,307,0.836,442,0.703,244,0.47,165,0.546,160,0.332
l12_months,green hit rate,"Straka, Sepp",79,0.854,244,0.836,410,0.671,188,0.52,96,0.52,124,0.353
l12_months,green hit rate,"Wu, Dylan",43,0.873,180,0.835,252,0.676,100,0.494,82,0.586,83,0.329
l12_months,green hit rate,"Waring, Paul",19,0.75,49,0.835,75,0.617,31,0.381,26,0.672,34,0.413
l12_months,green hit rate,"Fishburn, Patrick",81,0.893,222,0.834,298,0.701,141,0.514,120,0.557,92,0.39
l12_months,green hit rate,"Smalley, Alex",95,0.863,320,0.834,417,0.69,181,0.495,126,0.631,142,0.382
l12_months,green hit rate,"Stevens, Sam",113,0.845,321,0.834,467,0.684,211,0.388,174,0.573,135,0.382
l12_months,green hit rate,"Henley, Russell",89,0.877,287,0.833,459,0.726,210,0.45,87,0.617,89,0.276
l12_months,green hit rate,"Watson, Bubba",56,0.845,191,0.833,242,0.64,122,0.437,95,0.543,59,0.307
l12_months,green hit rate,"Aberg, Ludvig",75,0.905,288,0.832,405,0.692,194,0.478,123,0.611,106,0.406
l12_months,green hit rate,"Cook, Austin",16,0.853,52,0.832,71,0.633,36,0.317,22,0.58,23,0.53
l12_months,green hit rate,"Byrd, Jonathan",27,0.928,80,0.832,89,0.653,55,0.443,26,0.626,34,0.486
l12_months,green hit rate,"Burns, Sam",133,0.856,346,0.832,450,0.714,223,0.504,139,0.597,138,0.344
l12_months,green hit rate,"Ewart, A.J.",72,0.849,172,0.831,275,0.742,127,0.4,112,0.555,89,0.384
l12_months,green hit rate,"Harman, Brian",105,0.893,306,0.831,488,0.701,265,0.501,146,0.53,137,0.321
l12_months,green hit rate,"Kirk, Chris",75,0.865,237,0.831,348,0.674,160,0.469,120,0.589,110,0.312
l12_months,green hit rate,"Yu, Kevin",90,0.85,225,0.831,327,0.721,142,0.486,119,0.515,93,0.298
l12_months,green hit rate,"Clanton, Luke",49,0.834,225,0.83,306,0.675,137,0.429,97,0.552,108,0.371
l12_months,green hit rate,"Meissner, Mac",86,0.81,333,0.83,442,0.697,196,0.46,125,0.541,156,0.304
l12_months,green hit rate,"Johnson, Zach",36,0.929,103,0.83,147,0.672,64,0.531,17,0.484,27,0.306
l12_months,green hit rate,"Hubbard, Mark",63,0.868,269,0.83,405,0.673,163,0.55,136,0.549,112,0.302
l12_months,green hit rate,"Molinari, Francesco",null,null,56,0.83,97,0.752,39,0.455,14,0.532,null,null
l12_months,green hit rate,"Ryder, Sam",68,0.878,207,0.829,314,0.702,123,0.442,97,0.63,91,0.398
l12_months,green hit rate,"Vilips, Karl",71,0.884,222,0.828,329,0.629,122,0.497,139,0.554,140,0.352
l12_months,green hit rate,"Duncan, Tyler",15,0.98,68,0.828,61,0.628,44,0.355,14,0.555,null,null
l12_months,green hit rate,"Power, Seamus",58,0.783,262,0.828,374,0.652,141,0.491,113,0.611,109,0.303
l12_months,green hit rate,"Ballester, Jose Luis",57,0.889,181,0.827,186,0.64,115,0.504,108,0.594,67,0.288
l12_months,green hit rate,"Gerard, Ryan",72,0.811,320,0.826,472,0.68,204,0.465,109,0.581,146,0.367
l12_months,green hit rate,"Schauffele, Xander",63,0.835,243,0.826,375,0.731,182,0.505,117,0.579,130,0.399
l12_months,green hit rate,"Fitzpatrick, Alex",40,0.834,98,0.825,172,0.687,92,0.493,42,0.628,40,0.367
l12_months,green hit rate,"An, Byeong Hun",80,0.816,180,0.825,227,0.623,118,0.479,157,0.616,95,0.246
l12_months,green hit rate,"Kim, Tom",81,0.852,269,0.825,459,0.663,188,0.458,128,0.594,136,0.398
l12_months,green hit rate,"McDowell, Graeme",53,0.703,209,0.825,241,0.675,122,0.484,103,0.576,71,0.323
l12_months,green hit rate,"Blair, Zac",76,0.894,174,0.824,271,0.638,138,0.545,67,0.534,68,0.355
l12_months,green hit rate,"Rose, Justin",72,0.903,236,0.824,367,0.724,203,0.461,88,0.657,118,0.397
l12_months,green hit rate,"Perez, Victor",58,0.746,208,0.824,329,0.678,155,0.536,101,0.612,84,0.326
l12_months,green hit rate,"Gotterup, Chris",136,0.88,345,0.823,436,0.723,250,0.479,189,0.573,198,0.308
l12_months,green hit rate,"Scott, Adam",70,0.892,238,0.823,345,0.718,174,0.527,93,0.541,134,0.326
l12_months,green hit rate,"Sigg, Greyson",20,0.914,108,0.823,115,0.62,41,0.612,30,0.63,34,0.499
l12_months,green hit rate,"Bauchou, Zach",61,0.839,156,0.823,273,0.685,120,0.482,102,0.546,109,0.389
l12_months,green hit rate,"Taylor, Nick",94,0.858,322,0.823,466,0.707,241,0.43,134,0.549,157,0.304
l12_months,green hit rate,"Theegala, Sahith",95,0.825,348,0.822,456,0.664,205,0.47,173,0.527,198,0.32
l12_months,green hit rate,"Coody, Pierceson",93,0.873,311,0.822,423,0.671,208,0.548,158,0.583,143,0.341
l12_months,green hit rate,"List, Luke",35,0.747,88,0.822,133,0.661,72,0.458,52,0.554,42,0.457
l12_months,green hit rate,"Bhatia, Akshay",95,0.915,293,0.821,443,0.696,227,0.453,154,0.557,161,0.338
l12_months,green hit rate,"Munoz, Sebastian",63,0.843,207,0.821,229,0.684,124,0.527,71,0.57,53,0.442
l12_months,green hit rate,"Day, Jason",68,0.864,215,0.821,339,0.677,167,0.411,104,0.636,114,0.434
l12_months,green hit rate,"Suber, Jackson",75,0.699,221,0.821,315,0.632,145,0.564,115,0.553,88,0.5
l12_months,green hit rate,"Hodges, Lee",62,0.789,238,0.82,334,0.686,141,0.53,86,0.539,94,0.274
l12_months,green hit rate,"Keefer, Johnny",93,0.842,262,0.82,346,0.744,144,0.491,140,0.631,104,0.407
l12_months,green hit rate,"Ormsby, Wade",14,0.919,65,0.82,70,0.607,28,0.245,19,0.689,null,null
l12_months,green hit rate,"Blanchet, Chandler",63,0.793,175,0.819,268,0.663,129,0.522,72,0.522,73,0.304
l12_months,green hit rate,"Hojgaard, Nicolai",86,0.927,247,0.818,351,0.691,174,0.515,147,0.477,149,0.434
l12_months,green hit rate,"Ventura, Kristoffer",62,0.805,186,0.817,217,0.647,107,0.505,85,0.464,67,0.403
l12_months,green hit rate,"Lee, Min Woo",60,0.854,248,0.817,348,0.651,170,0.477,115,0.452,114,0.353
l12_months,green hit rate,"Thomas, Justin",76,0.881,250,0.816,391,0.671,180,0.445,146,0.549,116,0.262
l12_months,green hit rate,"Kim, Michael",104,0.911,292,0.816,432,0.664,228,0.435,151,0.611,160,0.372
l12_months,green hit rate,"Higgo, Garrick",83,0.81,242,0.816,299,0.659,138,0.409,125,0.494,111,0.249
l12_months,green hit rate,"Hovland, Viktor",78,0.792,232,0.816,416,0.748,225,0.457,89,0.577,122,0.339
l12_months,green hit rate,"Dahmen, Joel",75,0.855,230,0.816,355,0.664,161,0.472,101,0.562,71,0.396
l12_months,green hit rate,"Grillo, Emiliano",67,0.799,306,0.816,428,0.706,202,0.494,107,0.505,100,0.314
l12_months,green hit rate,"Rozo, Marcelo",43,0.781,115,0.815,173,0.715,81,0.38,37,0.606,53,0.433
l12_months,green hit rate,"Thompson, Davis",91,0.895,283,0.815,360,0.688,168,0.435,130,0.502,99,0.382
l12_months,green hit rate,"Rahm, Jon",79,0.91,250,0.814,305,0.737,163,0.617,136,0.569,90,0.433
