time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,sg per shot,"Manassero, Matteo",null,null,39,0.082,62,-0.055,null,null,15,0.042,null,null
l12_months,sg per shot,"Bramlett, Joseph",15,-0.051,53,0.081,73,0.009,null,null,29,0.007,null,null
l12_months,sg per shot,"Fitzpatrick, Alex",40,0.007,98,0.08,172,0.018,92,0.048,42,0.106,40,-0.002
l12_months,sg per shot,"Kohles, Ben",46,0.049,196,0.075,259,0.015,134,0.049,43,0.122,47,0.048
l12_months,sg per shot,"Byrd, Jonathan",27,0.06,80,0.07,89,-0.094,55,-0.087,26,0.041,34,0.078
l12_months,sg per shot,"Bridgeman, Jacob",105,0,357,0.069,505,0.03,263,-0.022,133,0.035,163,-0.02
l12_months,sg per shot,"Burns, Sam",133,0.063,346,0.068,450,0.021,223,0.019,139,0.029,138,-0.023
l12_months,sg per shot,"Aberg, Ludvig",75,0.077,288,0.067,405,0.004,194,0.024,123,0.045,106,0.058
l12_months,sg per shot,"Henley, Russell",89,0.053,287,0.066,459,0.032,210,0.047,87,0.049,89,-0.036
l12_months,sg per shot,"Rai, Aaron",62,-0.092,267,0.065,405,0.05,202,0.053,57,0.052,73,-0.047
l12_months,sg per shot,"Hovland, Viktor",78,0.038,232,0.065,416,0.053,225,-0.003,89,-0.008,122,0.013
l12_months,sg per shot,"Simpson, Webb",41,0.052,125,0.065,170,-0.055,69,0.052,69,-0.031,69,-0.035
l12_months,sg per shot,"Blanchet, Chandler",63,-0.006,175,0.064,268,-0.036,129,0.051,72,-0.038,73,-0.058
l12_months,sg per shot,"Waring, Paul",19,0.015,49,0.063,75,-0.037,31,-0.057,26,0.049,34,0.037
l12_months,sg per shot,"Duncan, Tyler",15,0.204,68,0.063,61,0.046,44,-0.121,14,0.011,null,null
l12_months,sg per shot,"Cantlay, Patrick",81,0.033,235,0.063,372,0.028,192,0.036,123,0,112,0.037
l12_months,sg per shot,"Johnson, Zach",36,0.042,103,0.061,147,-0.055,64,0.059,17,0.009,27,0.025
l12_months,sg per shot,"Morikawa, Collin",72,0.069,257,0.06,381,0.042,181,0.077,94,0.038,91,0.008
l12_months,sg per shot,"Conners, Corey",76,0.021,331,0.058,498,0.045,244,0.056,107,0.015,127,-0.045
l12_months,sg per shot,"Kirk, Chris",75,0.073,237,0.056,348,0.001,160,0.052,120,0.019,110,0.003
