player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Kim, Tom",1,4,4,1,1,1,1,0.943,19,-0.651,-0.339,1.052,2.334,2.385,1.645,0.356,29,0.044,0.102,0.162,0.415,0.941,0.482,2.018,3,0.469,1.537,2.309,2.790,3.160,1.317,0.850,12,0.111,0.173,0.742,1.420,1.741,0.842,2.868,1,0.652,1.659,3.000,4.210,4.901,2.057,3.224,1,1.593,2.074,3.161,4.312,4.945,1.651,4.168,1,1.881,3.225,4.339,5.282,6.214,2.061,4.168,1,1.881,3.225,4.339,5.282,6.214,2.061,-3.533,65,-9.573,-6.446,-4.831,-1.918,4.323,6.801,0.050,28,-0.056,-0.016,0.001,0.068,0.225,0.146
"Lee, Min Woo",1,4,4,0,1,1,1,1.228,12,0.636,1.004,1.181,1.405,1.887,0.600,0.345,31,-0.832,-0.247,0.154,0.746,1.792,1.264,0.958,17,-1.022,0.793,1.572,1.737,2.080,1.647,1.136,6,0.571,0.930,1.175,1.382,1.647,0.511,2.094,6,0.506,1.582,2.448,2.960,3.187,1.338,2.440,6,1.947,2.189,2.315,2.566,3.106,0.572,3.668,2,3.462,3.521,3.665,3.812,3.877,0.207,3.668,2,3.462,3.521,3.665,3.812,3.877,0.207,7.092,29,-6.094,3.605,10.001,13.488,16.204,11.069,0.050,30,0.004,0.009,0.044,0.085,0.105,0.052
"Keefer, Johnny",1,4,4,0,1,1,1,0.856,22,-0.354,0.337,1.025,1.544,1.830,1.062,0.294,34,-0.951,-0.237,0.175,0.707,1.707,1.271,1.367,8,1.004,1.152,1.266,1.480,1.871,0.428,0.651,17,-0.215,0.303,0.682,1.030,1.471,0.798,2.017,8,0.963,1.332,1.824,2.510,3.342,1.150,2.312,8,1.218,1.449,1.983,2.845,3.865,1.316,3.168,3,1.801,1.867,2.670,3.972,5.231,1.758,3.168,3,1.801,1.867,2.670,3.972,5.231,1.758,5.967,34,-12.296,-9.012,3.001,17.980,28.381,20.282,0.069,16,-0.051,0.008,0.056,0.117,0.208,0.124
"Fitzpatrick, Matt",1,4,4,0,1,1,1,1.181,13,-0.063,0.184,1.193,2.190,2.409,1.290,-0.236,66,-0.885,-0.664,-0.489,-0.061,0.767,0.837,1.992,4,-0.239,0.833,1.623,2.781,4.739,2.396,0.231,46,-0.165,0.098,0.231,0.363,0.627,0.378,2.222,5,0.381,1.162,1.611,2.671,4.919,2.276,1.986,11,0.838,1.010,1.121,2.097,4.347,1.955,3.168,3,1.664,2.532,3.220,3.855,4.599,1.390,3.168,3,1.664,2.532,3.220,3.855,4.599,1.390,-3.033,63,-12.073,-8.946,-3.630,2.283,6.842,9.142,0.050,26,-0.037,-0.011,0.044,0.105,0.146,0.089
"MacIntyre, Robert",1,4,4,0,1,1,1,0.440,28,-1.078,-0.241,0.754,1.435,1.519,1.320,0.041,45,-0.428,-0.226,0.020,0.287,0.540,0.462,2.487,2,1.874,1.945,2.176,2.718,3.536,0.865,0.199,47,-0.285,-0.166,0.020,0.385,0.934,0.613,2.686,2,2.073,2.114,2.530,3.102,3.520,0.738,2.727,3,2.318,2.612,2.760,2.875,3.091,0.370,3.168,3,1.664,2.532,3.339,3.975,4.431,1.331,3.168,3,1.664,2.532,3.339,3.975,4.431,1.331,-11.158,77,-24.848,-20.821,-10.130,-0.467,1.092,13.421,0.012,44,-0.150,-0.145,-0.016,0.140,0.213,0.190
"Nakajima, Keita",1,4,4,0,1,1,1,1.711,5,0.549,1.146,1.482,2.046,3.194,1.287,0.348,30,-0.132,-0.006,0.256,0.610,0.957,0.532,0.584,35,-1.148,0.076,0.973,1.481,1.770,1.453,0.525,25,-0.610,-0.089,0.711,1.325,1.401,1.024,1.109,26,0.029,0.786,1.295,1.618,1.928,0.924,1.457,19,0.458,1.070,1.689,2.075,2.132,0.851,3.168,3,2.598,2.807,3.170,3.531,3.734,0.554,3.168,3,2.598,2.807,3.170,3.531,3.734,0.554,-0.283,53,-10.233,-3.092,2.620,5.429,5.602,8.260,0.089,15,0.002,0.008,0.060,0.141,0.215,0.108
"McIlroy, Rory",1,4,4,0,0,1,1,1.114,15,-0.905,0.345,1.587,2.356,2.471,1.717,0.516,19,-0.222,0.199,0.570,0.887,1.177,0.666,-0.287,55,-2.091,-0.759,0.090,0.562,0.987,1.520,1.576,2,0.574,0.814,1.655,2.416,2.467,1.009,1.288,20,-1.517,0.055,1.745,2.978,3.455,2.450,1.804,14,-1.680,0.548,2.712,3.968,4.016,2.943,2.918,7,-2.369,1.975,4.339,5.282,6.214,4.386,2.918,7,-2.369,1.975,4.339,5.282,6.214,4.386,20.717,3,12.906,19.949,23.620,24.388,24.463,6.422,0.089,14,0.012,0.060,0.084,0.113,0.172,0.076
"Thorbjornsen, Michael",1,4,4,0,0,1,1,0.317,32,-0.307,-0.231,0.023,0.571,1.351,0.856,1.378,1,-0.067,0.423,1.075,2.029,3.247,1.609,0.507,39,-0.946,-0.033,0.478,1.017,1.999,1.400,0.717,14,0.018,0.165,0.585,1.137,1.601,0.782,1.224,21,0.547,0.566,0.581,1.239,2.799,1.310,2.601,5,1.338,1.883,2.555,3.273,3.929,1.236,2.918,7,1.498,1.700,2.839,4.057,4.448,1.533,2.918,7,1.498,1.700,2.839,4.057,4.448,1.533,9.217,25,1.923,8.080,11.314,12.451,13.576,6.035,0.069,18,-0.062,-0.010,0.083,0.162,0.182,0.123
"Kim, Si Woo",1,4,4,0,0,1,1,0.929,20,0.323,0.525,0.627,1.031,1.959,0.858,0.528,18,0.031,0.384,0.577,0.721,0.958,0.444,0.855,22,-1.701,-0.045,1.449,2.349,2.579,2.159,0.356,40,-0.346,0.024,0.449,0.780,0.926,0.622,1.210,23,-1.063,0.268,1.511,2.453,3.063,1.995,1.738,15,-0.119,0.921,1.747,2.565,3.583,1.751,2.668,9,0.327,2.062,3.165,3.771,4.312,1.970,2.668,9,0.327,2.062,3.165,3.771,4.312,1.970,-4.158,68,-11.902,-9.045,-6.936,-2.049,7.476,9.748,0.185,1,0.117,0.143,0.159,0.201,0.288,0.087
"Perez, Victor",1,4,4,0,0,1,1,1.504,7,-0.856,-0.417,0.991,2.912,4.583,2.699,0.015,46,-1.323,-0.305,0.129,0.449,1.195,1.215,0.510,38,-0.597,-0.405,-0.134,0.782,2.518,1.653,0.638,18,0.327,0.373,0.445,0.710,1.221,0.480,1.148,25,-0.159,0.217,0.698,1.630,3.085,1.620,1.164,28,-0.394,0.245,0.820,1.739,3.202,1.747,2.668,9,-0.252,0.557,2.670,4.781,5.584,2.931,2.668,9,-0.252,0.557,2.670,4.781,5.584,2.931,-1.783,57,-7.877,-6.918,-3.686,1.448,6.975,7.443,0.031,31,-0.037,-0.011,0.040,0.082,0.087,0.064
