player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Keefer, Johnny",1,4,4,0,1,1,1,0.856,8,-0.354,0.337,1.025,1.544,1.830,1.062,0.294,24,-0.951,-0.237,0.175,0.707,1.707,1.271,1.367,2,1.004,1.152,1.266,1.480,1.871,0.428,0.651,19,-0.215,0.303,0.682,1.030,1.471,0.798,2.017,4,0.963,1.332,1.824,2.510,3.342,1.150,2.312,3,1.218,1.449,1.983,2.845,3.865,1.316,3.168,1,1.801,1.867,2.670,3.972,5.231,1.758,3.168,1,1.801,1.867,2.670,3.972,5.231,1.758,5.967,48,-12.296,-9.012,3.001,17.980,28.381,20.282,0.069,12,-0.051,0.008,0.056,0.117,0.208,0.124
"Thorbjornsen, Michael",1,4,4,0,0,1,1,0.317,40,-0.307,-0.231,0.023,0.571,1.351,0.856,1.378,1,-0.067,0.423,1.075,2.029,3.247,1.609,0.507,25,-0.946,-0.033,0.478,1.017,1.999,1.400,0.717,13,0.018,0.165,0.585,1.137,1.601,0.782,1.224,12,0.547,0.566,0.581,1.239,2.799,1.310,2.601,1,1.338,1.883,2.555,3.273,3.929,1.236,2.918,2,1.498,1.700,2.839,4.057,4.448,1.533,2.918,2,1.498,1.700,2.839,4.057,4.448,1.533,9.217,30,1.923,8.080,11.314,12.451,13.576,6.035,0.069,13,-0.062,-0.010,0.083,0.162,0.182,0.123
"Kim, Tom",8,30,30,1,3,4,6,0.685,15,-0.935,-0.153,0.496,1.246,2.644,1.237,0.185,39,-0.773,-0.326,0.162,0.650,1.307,0.687,0.957,5,-1.144,-0.332,0.766,2.090,3.729,1.607,0.267,54,-0.844,-0.370,0.147,0.950,1.556,0.815,1.224,11,-1.231,-0.272,0.699,2.541,4.595,2.026,1.410,14,-1.505,-0.162,1.180,3.270,4.882,2.223,2.095,3,-1.306,-0.285,2.364,3.893,5.786,2.492,2.095,3,-1.306,-0.285,2.364,3.893,5.786,2.492,-0.985,98,-18.334,-10.232,-3.097,5.201,26.306,14.307,0.077,8,-0.107,0.001,0.068,0.134,0.286,0.125
"Schauffele, Xander",10,38,30,2,2,3,7,0.420,33,-1.714,-0.622,0.649,1.247,2.057,1.254,0.245,27,-1.248,-0.454,0.418,0.805,1.803,0.989,1.105,4,-0.469,0.083,0.533,1.958,4.222,1.497,0.436,32,-1.298,-0.179,0.684,1.137,1.830,1.024,1.541,6,-1.116,0.155,1.456,2.513,4.993,1.832,1.786,7,-1.452,0.183,1.947,2.620,6.075,2.247,2.087,4,-1.078,-0.262,1.970,3.733,5.912,2.640,2.087,4,-1.078,-0.262,1.970,3.733,5.912,2.640,11.602,18,-8.596,6.288,13.039,15.357,30.179,13.836,0.019,57,-0.167,-0.068,0.004,0.116,0.195,0.130
"Spieth, Jordan",12,44,20,1,3,5,7,-0.317,100,-2.534,-1.154,-0.140,0.440,1.940,1.350,0.585,7,-0.540,0.088,0.535,0.915,1.975,0.730,0.420,31,-1.678,-0.701,1.014,1.384,1.754,1.261,0.651,18,-0.921,0.134,0.804,1.227,1.839,1.029,1.070,19,-1.609,0.010,1.193,2.384,2.928,1.562,1.655,9,-1.113,0.917,2.124,2.912,3.346,1.604,2.038,5,-1.776,0.101,2.180,4.175,5.571,2.528,2.038,5,-1.776,0.101,2.180,4.175,5.571,2.528,2.807,71,-13.097,-2.284,2.905,10.692,17.664,11.305,0.014,60,-0.147,-0.088,0.001,0.095,0.237,0.124
"Gotterup, Chris",3,10,10,1,1,1,2,0.570,22,-3.256,-0.128,0.869,1.556,3.533,2.517,0.335,21,-0.937,-0.257,0.583,0.993,1.118,0.814,0.287,48,-0.707,-0.553,0.036,0.991,1.767,0.990,0.848,9,-0.932,0.424,0.887,1.502,2.313,1.210,1.134,18,-1.259,0.237,1.186,2.040,3.353,1.707,1.468,13,-2.022,0.982,1.721,2.748,3.811,2.108,2.037,6,-4.693,1.226,2.265,4.229,7.000,4.373,2.037,6,-4.693,1.226,2.265,4.229,7.000,4.373,11.042,21,-5.552,5.156,13.251,16.264,25.909,11.690,-0.072,122,-0.260,-0.112,-0.076,-0.018,0.114,0.131
"Rahm, Jon",13,48,30,2,5,7,7,0.394,35,-2.737,-1.347,-0.077,1.704,3.549,1.861,0.406,14,-0.994,-0.106,0.295,0.745,1.152,0.903,0.238,53,-2.206,-0.468,0.719,1.172,1.995,1.286,0.899,7,-0.301,0.378,0.970,1.297,1.691,0.658,1.136,17,-1.089,0.334,1.010,2.056,3.190,1.430,1.539,11,-1.288,0.384,1.485,2.625,4.122,1.783,1.973,7,-1.892,-0.319,1.844,4.238,6.071,2.722,1.973,7,-1.892,-0.319,1.844,4.238,6.071,2.722,10.898,23,-8.839,3.506,12.933,20.414,32.209,11.816,0.037,35,-0.084,-0.050,-0.001,0.103,0.163,0.082
"Scheffler, Scottie",8,28,24,0,1,4,6,-0.489,109,-2.910,-1.164,-0.451,0.229,2.003,1.594,0.207,31,-1.066,-0.394,0.222,0.450,1.910,0.956,1.282,3,-0.373,0.334,1.182,2.155,3.317,1.329,0.850,8,-0.893,0.468,0.937,1.500,1.847,0.905,2.132,2,-0.211,0.776,2.131,3.487,4.830,1.783,2.339,2,0.086,0.814,2.468,3.827,4.792,1.763,1.939,8,-1.984,1.263,2.039,3.630,4.475,2.369,1.939,8,-1.984,1.263,2.039,3.630,4.475,2.369,6.820,40,-5.923,-0.042,6.023,12.494,23.589,11.059,0.048,25,-0.143,-0.033,0.016,0.122,0.264,0.136
"McIlroy, Rory",33,108,50,2,14,17,21,0.134,55,-1.548,-1.093,0.780,2.279,2.879,1.679,0.373,18,-0.747,-0.133,0.666,1.053,2.424,0.899,0.520,24,-1.528,-0.247,0.540,1.146,2.575,1.234,1.289,2,-0.786,0.642,1.291,1.912,2.466,0.939,1.809,5,-2.141,0.868,2.035,3.067,3.727,1.595,2.179,4,-1.798,1.465,2.431,3.527,4.748,1.682,1.870,9,-3.270,0.339,1.892,3.650,6.482,2.871,1.870,9,-3.270,0.339,1.892,3.650,6.482,2.871,21.714,3,1.706,15.529,23.484,27.608,41.672,11.127,-0.008,79,-0.276,-0.080,-0.000,0.095,0.202,0.119
"Young, Cameron",4,14,14,0,1,2,2,-0.308,98,-2.871,-1.129,-0.130,0.267,2.042,1.648,-0.010,77,-1.432,-0.792,-0.221,0.743,2.156,1.211,0.869,7,-1.943,-0.253,0.885,1.745,3.974,2.005,1.234,4,-0.103,0.982,1.305,1.776,2.010,0.726,2.102,3,-1.847,0.882,2.344,3.834,5.070,2.433,2.090,6,-2.768,0.851,2.314,4.196,5.999,3.012,1.782,10,-4.244,0.563,1.411,4.321,6.514,3.508,1.782,10,-4.244,0.563,1.411,4.321,6.514,3.508,14.267,10,-9.073,14.374,17.793,22.318,25.027,12.409,-0.010,80,-0.209,-0.090,0.012,0.084,0.181,0.141
