player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Scheffler, Scottie",22,86,84,4,15,16,21,0.658,9,-1.571,-0.366,0.578,1.616,3.304,1.581,0.464,8,-0.940,-0.160,0.507,0.968,2.471,1.008,1.095,1,-1.292,0.321,1.055,1.911,3.165,1.424,0.869,4,-0.687,0.391,0.892,1.426,1.836,0.757,1.964,1,-0.964,1.126,2.049,3.028,4.522,1.634,2.428,1,-0.775,1.272,2.435,3.629,5.359,1.787,3.109,1,-0.838,1.653,3.369,4.866,6.545,2.318,3.109,1,-0.838,1.653,3.369,4.866,6.545,2.318,8.676,32,-8.611,3.565,8.528,14.659,23.621,9.347,0.050,16,-0.123,-0.034,0.042,0.149,0.229,0.127
"McIlroy, Rory",22,86,82,2,7,10,17,0.566,16,-1.900,-0.801,0.498,2.126,2.671,1.563,0.215,28,-1.338,-0.372,0.405,0.831,2.185,1.056,0.512,31,-2.459,-0.310,1.032,1.491,3.132,1.664,0.984,1,-0.493,0.578,1.166,1.569,2.425,0.908,1.496,2,-1.104,0.667,1.798,2.844,3.890,1.774,1.711,6,-1.184,0.656,2.056,3.308,4.487,2.104,2.208,2,-1.327,0.680,1.997,4.227,6.342,2.491,2.208,2,-1.327,0.680,1.997,4.227,6.342,2.491,20.608,3,4.508,16.636,22.514,27.564,39.043,10.417,-0.024,109,-0.239,-0.148,-0.016,0.040,0.115,0.106
"Young, Cameron",21,82,81,3,7,11,14,0.362,32,-2.564,-0.585,0.268,1.224,2.949,1.715,0.310,20,-1.107,-0.307,0.310,0.838,2.333,1.031,0.646,20,-1.446,-0.139,0.538,1.612,3.130,1.489,0.812,7,-0.669,0.271,0.861,1.336,2.161,0.809,1.459,4,-1.147,0.356,1.534,2.368,4.306,1.688,1.769,3,-1.331,0.205,1.791,3.131,4.968,1.952,2.125,3,-2.170,-0.033,1.607,4.633,6.647,2.783,2.125,3,-2.170,-0.033,1.607,4.633,6.647,2.783,9.563,27,-8.026,3.091,10.336,17.563,25.346,12.332,0.014,62,-0.149,-0.060,0.009,0.089,0.207,0.109
"Rahm, Jon",21,75,74,2,12,14,16,0.348,34,-2.587,-0.609,0.647,1.613,2.731,1.725,0.277,23,-1.422,-0.320,0.236,0.858,2.047,1.028,0.628,22,-1.524,-0.222,0.659,1.737,3.585,1.654,0.849,6,-0.458,0.190,0.854,1.406,2.270,0.879,1.477,3,-0.748,0.560,1.341,2.559,4.436,1.676,1.748,4,-1.698,0.679,1.918,3.159,4.378,1.929,2.094,4,-1.574,1.036,2.118,3.505,5.242,2.328,2.094,4,-1.574,1.036,2.118,3.505,5.242,2.328,12.687,20,-3.279,4.829,11.046,17.990,27.852,11.331,0.003,74,-0.213,-0.076,-0.005,0.080,0.166,0.113
"Fitzpatrick, Matt",28,111,106,4,12,15,22,0.356,33,-2.282,-0.765,0.302,1.169,3.634,1.673,0.636,3,-0.654,-0.095,0.563,1.150,2.684,0.967,0.856,5,-1.220,0.169,0.957,1.597,3.152,1.434,0.296,48,-1.538,-0.212,0.579,0.953,1.650,0.958,1.152,13,-1.381,0.018,1.346,2.407,4.007,1.782,1.788,2,-0.892,0.831,1.966,2.978,4.756,1.786,2.090,5,-1.380,0.597,2.068,3.596,6.048,2.298,2.090,5,-1.380,0.597,2.068,3.596,6.048,2.298,0.760,76,-17.737,-6.878,0.589,5.933,16.941,10.381,0.049,17,-0.127,-0.032,0.056,0.141,0.277,0.112
"Fleetwood, Tommy",27,105,102,2,9,12,20,0.516,21,-1.830,-0.570,0.466,1.630,2.625,1.606,0.326,15,-0.925,-0.123,0.378,0.870,1.904,0.969,0.626,23,-1.721,-0.235,0.799,1.398,2.630,1.340,0.567,23,-0.661,0.205,0.656,1.087,1.702,0.718,1.193,11,-1.239,0.467,1.325,2.090,3.468,1.531,1.518,11,-1.836,0.756,1.797,2.807,4.474,1.807,2.009,6,-2.677,0.184,2.447,3.897,5.422,2.507,2.009,6,-2.677,0.184,2.447,3.897,5.422,2.507,0.755,77,-15.298,-7.807,0.158,6.403,15.616,9.552,0.088,7,-0.079,-0.000,0.085,0.183,0.296,0.104
"Schauffele, Xander",20,76,71,1,3,8,13,0.188,53,-1.957,-0.981,0.111,1.336,2.602,1.440,0.128,50,-1.435,-0.412,0.163,0.791,1.486,0.923,0.673,17,-1.646,-0.465,0.446,1.681,2.880,1.537,0.726,10,-0.934,0.193,0.984,1.377,2.058,0.950,1.400,7,-1.018,0.159,1.204,2.545,4.192,1.697,1.528,9,-1.426,0.038,1.377,2.840,4.833,2.040,1.812,7,-1.858,-0.014,1.679,4.195,5.810,2.543,1.812,7,-1.858,-0.014,1.679,4.195,5.810,2.543,12.451,21,-6.099,6.367,13.581,19.059,27.135,11.371,0.007,70,-0.215,-0.083,0.012,0.101,0.200,0.143
"Henley, Russell",20,74,72,1,3,6,15,0.408,29,-2.112,-0.665,0.180,1.385,3.444,1.721,0.179,37,-1.480,-0.311,0.279,0.604,1.468,0.882,0.702,13,-1.644,-0.385,0.544,1.799,3.209,1.547,0.471,27,-1.070,0.030,0.635,0.943,1.402,0.759,1.173,12,-1.656,0.226,1.208,2.403,3.565,1.760,1.352,14,-2.390,0.078,1.623,2.733,3.710,1.980,1.768,8,-2.968,0.215,2.193,3.420,5.577,2.478,1.768,8,-2.968,0.215,2.193,3.420,5.577,2.478,-9.383,135,-21.341,-14.437,-10.829,-4.687,3.317,8.119,0.127,1,-0.090,0.073,0.132,0.200,0.325,0.124
"Aberg, Ludvig",24,90,87,0,6,10,18,0.330,39,-2.046,-0.709,0.185,1.396,2.625,1.414,0.231,26,-1.446,-0.083,0.283,0.890,1.625,0.924,0.687,15,-1.941,-0.223,0.649,1.962,3.807,1.687,0.603,19,-0.713,0.022,0.824,1.267,2.037,0.978,1.291,10,-2.188,0.286,1.331,2.826,4.444,1.879,1.522,10,-1.961,0.341,1.463,3.297,4.646,2.173,1.765,9,-2.732,0.115,1.778,3.372,6.412,2.690,1.765,9,-2.732,0.115,1.778,3.372,6.412,2.690,12.310,22,-1.692,6.806,12.806,19.246,32.549,10.175,0.024,49,-0.165,-0.039,0.026,0.118,0.212,0.116
"Burns, Sam",24,90,88,0,3,6,13,0.796,5,-1.681,-0.301,0.994,1.789,3.046,1.688,-0.071,98,-1.992,-0.593,-0.059,0.542,1.557,1.028,0.507,32,-1.987,-0.702,0.591,1.691,3.012,1.623,0.386,41,-1.373,-0.094,0.482,1.054,1.520,0.921,0.893,28,-2.209,-0.284,1.001,2.003,3.831,1.760,0.822,33,-2.668,-0.307,1.006,2.128,3.976,2.102,1.617,10,-2.989,-0.266,2.171,3.533,5.119,2.724,1.617,10,-2.989,-0.266,2.171,3.533,5.119,2.724,8.242,35,-7.212,2.195,7.782,15.138,22.745,9.759,-0.010,90,-0.222,-0.091,0.009,0.074,0.184,0.126
