player_name,wave
"Aberg, Ludvig",early_late
"Ayora, Angel",late_early
"Bairstow, Sam",early_late
"Baldwin, Matthew",late_early
"Ballester, Jose Luis",late_early
"Berger, Daniel",early_late
"Bhatia, Akshay",late_early
"Bradbury, Dan",late_early
"Bradley, Keegan",early_late
"Brennan, Michael",early_late
"Bridgeman, Jacob",early_late
"Brown, Dan",late_early
"Buchanan, Jack",early_late
"Burns, Sam",early_late
"Canter, Laurie",early_late
"Cantlay, Patrick",early_late
"Cauley, Bud",early_late
"Chacarra, Eugenio",early_late
"Christensen, Tiger",early_late
"Cink, Stewart",late_early
"Clark, Wyndham",early_late
"Clarke, Darren",early_late
"Cole, Eric",early_late
"Conners, Corey",early_late
"Coody, Pierceson",early_late
"Couvra, Martin",late_early
"Daffue, MJ",late_early
"Day, Jason",late_early
"De Castro Piera, Alejandro",late_early
"DeChambeau, Bryson",late_early
"Dean, Joe",late_early
"Detry, Thomas",late_early
"Docherty, Alistair",early_late
"Du Plessis, Hennie",late_early
"Duval, David",late_early
"Echavarria, Nico",early_late
"English, Harris",late_early
"Fitzpatrick, Alex",late_early
"Fitzpatrick, Matt",early_late
"Fleetwood, Tommy",late_early
"Fowler, Rickie",late_early
"Fox, Ryan",late_early
"Gerard, Ryan",late_early
"Gotterup, Chris",early_late
"Grehan, Stuart",early_late
"Greyserman, Max",early_late
"Griffin, Ben",late_early
"Grinberg, Lev",late_early
"Hall, Harry",early_late
"Ham, Jeong Woo",late_early
"Harman, Brian",late_early
"Harrington, Padraig",early_late
"Hatton, Tyrrell",late_early
"Henley, Russell",late_early
"Herbert, Lucas",early_late
"Higa, Kazuki",early_late
"Hillier, Daniel",late_early
"Hisatsune, Ryo",late_early
"Hojgaard, Nicolai",early_late
"Hojgaard, Rasmus",late_early
"Hollick, Michael",early_late
"Homa, Max",late_early
"Horschel, Billy",early_late
"Hovland, Viktor",late_early
"Howard, David",late_early
"Howell, Mason",early_late
"Im, Sungjae",late_early
"Jarvis, Casey",early_late
"John, Cameron",early_late
"Jordan, Matthew",late_early
"Kaneko, Kota",late_early
"Kataoka, Naoyuki",early_late
"Keefer, Johnny",early_late
"Kim, Michael",late_early
"Kim, Si Woo",late_early
"Kim, Tom",early_late
"Kitayama, Kurt",early_late
"Knapp, Jake",late_early
"Kobori, Kazuma",late_early
"Koepka, Brooks",early_late
"LaCroix, Frederic",late_early
"Lagergren, Joakim",late_early
"Laopakdee, Fifa",late_early
"Laporta, Francesco",early_late
"Lee, Min Woo",late_early
"Li, Haotong",early_late
"Lowry, Shane",early_late
"MacIntyre, Robert",late_early
"Matsuyama, Hideki",late_early
"McCarty, Matt",early_late
"McDonald, Jack",late_early
"McIlroy, Rory",early_late
"McKibbin, Tom",late_early
"McNealy, Maverick",late_early
"Mitchell, Keith",early_late
"Molinari, Francesco",late_early
"Morikawa, Collin",early_late
"Nagano, Ryutaro",late_early
"Nakajima, Keita",early_late
"Neergaard-Petersen, Rasmus",early_late
"Nicholas, James",late_early
"Niemann, Joaquin",early_late
"Noren, Alex",late_early
"Norris, Shaun",early_late
"Novak, Andrew",late_early
"Parry, John",early_late
"Penge, Marco",early_late
"Perez, Victor",late_early
"Plunkett, Marcus",early_late
"Poston, J.T.",early_late
"Potgieter, Aldrich",early_late
"Puig, David",late_early
"Pulcini, Mateo",late_early
"Rahm, Jon",late_early
"Rai, Aaron",early_late
"Reed, Patrick",early_late
"Reitan, Kristoffer",early_late
"Rose, Justin",late_early
"Rozner, Antoine",late_early
"Ruiter, Nevill",early_late
"Saddier, Adrien",early_late
"Schaper, Jayden",early_late
"Schauffele, Xander",early_late
"Scheffler, Scottie",late_early
"Scott, Adam",early_late
"Skogen, Baard",early_late
"Sloman, Tom",late_early
"Smalley, Alex",late_early
"Smith, Cameron",early_late
"Smith, Jordan",late_early
"Smyth, Trav",late_early
"Southgate, Matthew",late_early
"Spaun, J.J.",early_late
"Spieth, Jordan",late_early
"Stenson, Henrik",late_early
"Stevens, Sam",late_early
"Straka, Sepp",early_late
"Suber, Jackson",early_late
"Sullivan, Andy",late_early
"Surratt, Caleb",late_early
"Svensson, Jesper",early_late
"Taylor, Nick",late_early
"Theegala, Sahith",early_late
"Thomas, Justin",late_early
"Thorbjornsen, Michael",late_early
"Truslow, Austen",early_late
"Uihlein, Peter",early_late
"Valimaki, Sami",early_late
"Vincent, Scott",late_early
"Wallace, Matt",early_late
"Wiedemeyer, Tim",early_late
"Wiesberger, Bernd",early_late
"Woodland, Gary",late_early
"Yang, Jiho",early_late
"Yonezawa, Ren",late_early
"Young, Cameron",early_late
