player_name,2008 (The Open Championship),2017 (The Open Championship),rounds_played,historical_true_sg,versus_expected,ch_adjustment,experience_adjustment
"Stenson, Henrik",T3,T11,8,2.46,1.348,0.039,0.007
"Rose, Justin",T70,T54,8,0.085,-1.128,-0.033,0.007
"Noren, Alex",T19,T6,8,1.96,0.758,0.022,0.007
"Scott, Adam",T16,T22,8,1.585,0.282,0.008,0.007
"Harrington, Padraig",1,CUT,6,2.751,1.853,0.041,-0.004
"Duval, David",T39,CUT,6,-0.249,2.101,0.046,-0.004
"Li, Haotong",null,3,4,3.056,2.974,0.043,-0.015
"Matsuyama, Hideki",null,T14,4,2.056,0.312,0.005,-0.015
"Southgate, Matthew",null,T6,4,2.556,3.278,0.048,-0.015
"Sullivan, Andy",null,T70,4,-0.194,-0.936,-0.014,-0.015
"Wiesberger, Bernd",null,T74,4,-0.444,-1.517,-0.022,-0.015
"Norris, Shaun",null,T62,4,0.056,1.116,0.016,-0.015
"Koepka, Brooks",null,T6,4,2.556,1.4,0.02,-0.015
"Woodland, Gary",null,T70,4,-0.194,-0.723,-0.011,-0.015
"Spieth, Jordan",null,1,4,4.556,2.981,0.043,-0.015
"Uihlein, Peter",null,T44,4,0.806,0.144,0.002,-0.015
"Henley, Russell",null,T37,4,1.056,0.142,0.002,-0.015
"Day, Jason",null,T27,4,1.306,0.418,0.006,-0.015
"Fleetwood, Tommy",null,T27,4,1.306,-0.019,0,-0.015
"Canter, Laurie",null,T37,4,1.056,2.077,0.03,-0.015
"McIlroy, Rory",null,T4,4,2.806,1.347,0.02,-0.015
"Dean, Joe",null,T70,4,-0.194,0,0,-0.015
"Schauffele, Xander",null,T20,4,1.806,1.185,0.017,-0.015
"Cink, Stewart",CUT,CUT,4,-1.216,-2.292,-0.033,-0.015
"Rahm, Jon",null,T44,4,0.806,-0.652,-0.01,-0.015
"Fowler, Rickie",null,T22,4,1.556,-0.228,-0.003,-0.015
"Fitzpatrick, Matt",null,T44,4,0.806,0.202,0.003,-0.015
"Berger, Daniel",null,T27,4,1.306,0.157,0.002,-0.015
"Smith, Cameron",null,CUT,2,-1.475,-1.651,-0.012,-0.026
"Thomas, Justin",null,CUT,2,-0.475,-1.513,-0.011,-0.026
"Lowry, Shane",null,CUT,2,-1.975,-2.564,-0.019,-0.026
"Kim, Si Woo",null,CUT,2,0.025,-0.066,0,-0.026
"DeChambeau, Bryson",null,CUT,2,-3.475,-4.009,-0.029,-0.026
"McNealy, Maverick",null,CUT,2,-2.975,-2.938,-0.021,-0.026
"Hatton, Tyrrell",null,CUT,2,-2.475,-3.173,-0.023,-0.026
"Reed, Patrick",null,CUT,2,-0.975,-2.087,-0.015,-0.026
"Molinari, Francesco",null,CUT,2,-0.475,-1.733,-0.013,-0.026
"Clarke, Darren",null,CUT,2,-0.975,2.557,0.019,-0.026
"Horschel, Billy",null,CUT,2,-2.975,-3.276,-0.024,-0.026
"Fox, Ryan",null,CUT,2,0.025,-0.661,-0.005,-0.026
"Harman, Brian",null,CUT,2,-0.975,-2.174,-0.016,-0.026
"Parry, John",null,null,0,null,null,null,-0.044
"Neergaard-Petersen, Rasmus",null,null,0,null,null,null,-0.044
"Nicholas, James",null,null,0,null,null,null,-0.044
"Niemann, Joaquin",null,null,0,null,null,null,-0.044
"Novak, Andrew",null,null,0,null,null,null,-0.044
"Pulcini, Mateo",null,null,0,null,null,null,-0.044
"Penge, Marco",null,null,0,null,null,null,-0.044
"Plunkett, Marcus",null,null,0,null,null,null,-0.044
"Poston, J.T.",null,null,0,null,null,null,-0.044
"Puig, David",null,null,0,null,null,null,-0.044
"Nagano, Ryutaro",null,null,0,null,null,null,-0.044
"Nakajima, Keita",null,null,0,null,null,null,-0.044
"Kobori, Kazuma",null,null,0,null,null,null,-0.044
"Morikawa, Collin",null,null,0,null,null,null,-0.044
"Mitchell, Keith",null,null,0,null,null,null,-0.044
"McKibbin, Tom",null,null,0,null,null,null,-0.044
"McDonald, Jack",null,null,0,null,null,null,-0.044
"McCarty, Matt",null,null,0,null,null,null,-0.044
"MacIntyre, Robert",null,null,0,null,null,null,-0.044
"Lee, Min Woo",null,null,0,null,null,null,-0.044
"Laporta, Francesco",null,null,0,null,null,null,-0.044
"Laopakdee, Fifa",null,null,0,null,null,null,-0.044
"Lagergren, Joakim",null,null,0,null,null,null,-0.044
