pos,player_name,score,r1_score,r1_sg,r2_score,r2_sg,r3_score,r3_sg,r4_score,r4_sg,total_score,total_sg,dg_points,dg_rank,owgr_rank,opening_odds,closing_odds
1,"Harrington, Padraig",3,74,1.88,68,5.78,72,3.76,69,5.13,283,16.55,28,16,14,null,null
2,"Poulter, Ian",7,72,3.88,71,2.78,75,0.76,69,5.13,287,12.55,14.7472,55,42,null,null
T3,"Norman, Greg",9,70,5.88,70,3.78,72,3.76,77,-2.87,289,10.55,8.9186,null,null,null,null
T3,"Stenson, Henrik",9,76,-0.12,72,1.78,70,5.76,71,3.13,289,10.55,8.9186,33,17,null,null
T5,"Furyk, Jim",10,71,4.88,71,2.78,77,-1.24,71,3.13,290,9.55,5.7533,12,12,null,null
T5,"Wood, Chris",10,75,0.88,70,3.78,73,2.76,72,2.13,290,9.55,5.7533,null,null,null,null
T7,"Els, Ernie",12,80,-4.12,69,4.78,74,1.76,69,5.13,292,7.55,3.0797,22,5,null,null
T7,"Ames, Stephen",12,73,2.88,70,3.78,78,-2.24,71,3.13,292,7.55,3.0797,15,25,null,null
T7,"Karlsson, Robert",12,75,0.88,73,0.78,75,0.76,69,5.13,292,7.55,3.0797,7,23,null,null
T7,"Stricker, Steve",12,77,-1.12,71,2.78,71,4.76,73,1.13,292,7.55,3.0797,17,8,null,null
T7,"Allenby, Robert",12,69,6.88,73,0.78,76,-0.24,74,0.13,292,7.55,3.0797,8,30,null,null
T7,"Howell, David",12,76,-0.12,71,2.78,78,-2.24,67,7.13,292,7.55,3.0797,252,263,null,null
T7,"Curtis, Ben",12,78,-2.12,69,4.78,70,5.76,75,-0.87,292,7.55,3.0797,77,86,null,null
T7,"Casey, Paul",12,78,-2.12,71,2.78,73,2.76,70,4.13,292,7.55,3.0797,65,48,null,null
T7,"Kim, Anthony",12,72,3.88,74,-0.22,71,4.76,75,-0.87,292,7.55,3.0797,13,13,null,null
T16,"Choi, K.J.",13,72,3.88,67,6.78,75,0.76,79,-4.87,293,6.55,1.889,48,11,null,null
T16,"Leonard, Justin",13,77,-1.12,70,3.78,73,2.76,73,1.13,293,6.55,1.889,23,27,null,null
T16,"Scott, Adam",13,70,5.88,74,-0.22,77,-1.24,72,2.13,293,6.55,1.889,6,4,null,null
T19,"Mediate, Rocco",14,69,6.88,73,0.78,76,-0.24,76,-1.87,294,5.55,1.2662,52,50,null,null
T19,"Mickelson, Phil",14,79,-3.12,68,5.78,76,-0.24,71,3.13,294,5.55,1.2662,2,2,null,null
T19,"Love III, Davis",14,75,0.88,74,-0.22,70,5.76,75,-0.87,294,5.55,1.2662,90,156,null,null
T19,"Van De Velde, Jean",14,73,2.88,71,2.78,80,-4.24,70,4.13,294,5.55,1.2662,440,451,null,null
