"Last Name","First Name","SHORT GAME","APPROACH","Driving-Distance","Driving-Accuracy","Total SG Adjustment"
"KOBORI","KAZUMA","+0.00","+0.00","+0.32","-0.00","+0.32"
"KANEKO","KOTA","-0.00","-0.00","+0.29","-0.00","+0.28"
"HOWARD","DAVID","+0.02","+0.00","+0.19","+0.00","+0.20"
"HIGA","KAZUKI","+0.00","+0.00","+0.20","-0.00","+0.20"
"DUVAL","DAVID","+0.01","+0.00","+0.18","+0.00","+0.19"
"STENSON","HENRIK","+0.02","+0.00","+0.18","-0.00","+0.19"
"MCDONALD","JACK","+0.01","+0.00","+0.17","-0.00","+0.17"
"HAM","JEONG WOO","+0.00","+0.00","+0.17","-0.00","+0.17"
"RAI","AARON","-0.00","-0.00","+0.17","-0.01","+0.16"
"CLARKE","DARREN","+0.01","+0.00","+0.15","+0.00","+0.16"
"BALDWIN","MATTHEW","+0.01","+0.00","+0.15","-0.00","+0.16"
"HOLLICK","MICHAEL","+0.00","+0.00","+0.14","-0.00","+0.15"
"YONEZAWA","REN","+0.00","+0.00","+0.14","-0.00","+0.14"
"HENLEY","RUSSELL","-0.01","-0.00","+0.15","-0.01","+0.14"
"NOREN","ALEX","-0.01","-0.00","+0.15","-0.00","+0.13"
"NORRIS","SHAUN","-0.01","+0.00","+0.13","-0.00","+0.13"
"SULLIVAN","ANDY","-0.00","+0.00","+0.13","-0.00","+0.13"
"WIESBERGER","BERND","+0.00","-0.00","+0.12","-0.00","+0.12"
"KATAOKA","NAOYUKI","-0.00","+0.00","+0.12","+0.00","+0.12"
"YANG","JIHO","+0.01","+0.00","+0.10","+0.00","+0.11"
"HARMAN","BRIAN","-0.01","-0.00","+0.12","-0.00","+0.11"
"PARRY","JOHN","+0.00","-0.00","+0.11","-0.00","+0.11"
"SOUTHGATE","MATTHEW","+0.01","+0.00","+0.10","-0.00","+0.11"
"BUCHANAN","JACK","+0.01","+0.00","+0.09","+0.00","+0.10"
"GREHAN","STUART","+0.01","+0.00","+0.09","+0.00","+0.10"
"BROWN","DAN","+0.01","-0.00","+0.09","-0.00","+0.10"
"SCHAPER","JAYDEN","-0.00","+0.00","+0.10","-0.00","+0.10"
"MOLINARI","FRANCESCO","+0.01","-0.00","+0.09","-0.00","+0.10"
"DE CASTRO PIERA","ALEJANDRO","+0.01","+0.00","+0.09","+0.00","+0.10"
"HARRINGTON","PADRAIG","+0.01","-0.00","+0.07","+0.00","+0.08"
"VALIMAKI","SAMI","-0.00","-0.00","+0.08","-0.00","+0.08"
"TAYLOR","NICK","-0.01","-0.00","+0.09","-0.00","+0.08"
"SKOGEN","BAARD","+0.01","+0.00","+0.07","+0.00","+0.07"
"ECHAVARRIA","NICO","-0.00","-0.00","+0.08","-0.00","+0.07"
"MCCARTY","MATT","-0.00","-0.00","+0.07","-0.00","+0.07"
"SMYTH","TRAV","+0.00","+0.00","+0.06","+0.00","+0.07"
"POSTON","J.T.","-0.00","-0.00","+0.07","-0.00","+0.06"
