"Year","Winner-First Name","Winner-Last Name","Course","Score","Margin"
"2025","Scottie","Scheffler","Royal Portrush Golf Club","-17","4 SHOTS"
"2024","Xander","Schauffele","Royal Troon","-9","2 SHOTS"
"2023","Brian","Harman","Royal Liverpool","-13","6 SHOTS"
"2022","Cameron","Smith","St. Andrews Links","-20","1 SHOT"
"2021","Collin","Morikawa","Royal St. George's GC","-15","2 SHOTS"
"2019","Shane","Lowry","Royal Portrush Golf Club","-15","6 SHOTS"
"2018","Francesco","Molinari","Carnoustie GC","-8","2 SHOTS"
"2017","Jordan","Spieth","Royal Birkdale GC","-12","3 SHOTS"
"2016","Henrik","Stenson","Royal Troon","-20","3 SHOTS"
"2015","Zach","Johnson","St. Andrews Links","-15","PLAYOFF"
"2014","Rory","McIlroy","Royal Liverpool","-17","2 SHOTS"
"2013","Phil","Mickelson","Muirfield","-3","3 SHOTS"
"2012","Ernie","Els","Royal Lytham St. Anne","-7","1 SHOT"
"2011","Darren","Clarke","Royal St. George's GC","-5","3 SHOTS"
"2010","Louis","Oosthuizen","St. Andrews Links","-16","7 SHOTS"
"2009","Stewart","Cink","Turnberry","-2","PLAYOFF"
"2008","Padraig","Harrington","Royal Birkdale GC","+3","4 SHOTS"
"2007","Padraig","Harrington","Carnoustie GC","-7","PLAYOFF"
"2006","Tiger","Woods","Royal Liverpool","-18","2 SHOTS"
"2005","Tiger","Woods","St. Andrews Links","-14","5 SHOTS"
"2004","Todd","Hamilton","Royal Troon","-10","PLAYOFF"
"2003","Ben","Curtis","Royal St. George's GC","-1","1 SHOT"
"2002","Ernie","Els","Muirfield","-6","PLAYOFF"
"2001","David","Duval","Royal Lytham St. Anne","-10","3 SHOTS"
"2000","Tiger","Woods","St. Andrews Links","-19","8 SHOTS"
"1999","Paul","Lawrie","Carnoustie GC","+6","PLAYOFF"
"1998","Mark","O'Meara","Royal Birkdale GC","E","PLAYOFF"
"1997","Justin","Leonard","Royal Troon","-12","3 SHOTS"
"1996","Tom","Lehman","Royal Lytham St. Anne","-13","2 SHOTS"
"1995","John","Daly","St. Andrews Links","-6","PLAYOFF"
"1994","Nick","Price","Turnberry","-12","1 SHOT"
"1993","Greg","Norman","Royal St. George's GC","-13","2 SHOTS"
"1992","Nick","Faldo","Muirfield","-12","1 SHOT"
"1991","Ian","Baker-Finch","Royal Birkdale GC","-12","2 SHOTS"
"1990","Nick","Faldo","St. Andrews Links","-18","5 SHOTS"
"1989","Mark","Calcavecchia","Royal Troon","-13","PLAYOFF"
"1988","Seve","Ballesteros","Royal Lytham St. Anne","-11","2 SHOTS"
"1987","Nick","Faldo","Muirfield","-5","1 SHOT"
"1986","Greg","Norman","Turnberry","E","5 SHOTS"
"1985","Sandy","Lyle","Royal St. George's GC","+2","1 SHOT"
"1984","Seve","Ballesteros","St. Andrews Links","-12","2 SHOTS"
"1983","Tom","Watson","Royal Birkdale GC","-9","1 SHOT"
