event_name,course_name,player_name,dg_id,player_num,dg_rank,owgr_rank,tour_rank,r1_teetime,r1_wave,r1_starthole,r2_teetime,r2_wave,r2_starthole,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
The Open Championship,Royal Birkdale Golf Club,"Aberg, Ludvig",23950,52955,13,20,8,3:04 PM,late,1,9:58 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Ayora, Angel",30445,64052,76,111,null,8:25 AM,early,1,1:31 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Bairstow, Sam",28615,60369,359,389,null,3:59 PM,late,1,10:53 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Baldwin, Matthew",13344,32622,null,null,null,6:35 AM,early,1,11:41 AM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Ballester, Jose Luis",28473,60165,191,132,null,8:14 AM,early,1,1:20 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Berger, Daniel",17606,40026,80,49,52,3:37 PM,late,1,10:31 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Bhatia, Akshay",26096,56630,25,29,11,9:14 AM,early,1,2:20 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Bradbury, Dan",29971,63459,197,153,null,8:14 AM,early,1,1:20 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Bradley, Keegan",13872,33141,33,41,72,12:58 PM,late,1,7:52 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Brennan, Michael",29197,61522,97,60,103,12:03 PM,late,1,6:57 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Bridgeman, Jacob",29433,60004,40,30,13,3:26 PM,late,1,10:20 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Brown, Dan",20766,57259,200,136,145,7:41 AM,early,1,12:47 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Buchanan, Jack",31844,66202,null,null,null,1:53 PM,late,1,8:47 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Burns, Sam",19483,47504,6,18,10,2:31 PM,late,1,9:25 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Canter, Laurie",14795,34362,199,143,null,12:03 PM,late,1,6:57 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Cantlay, Patrick",15466,35450,16,38,42,3:37 PM,late,1,10:31 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Cauley, Bud",14502,34021,50,40,31,2:09 PM,late,1,9:03 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Chacarra, Eugenio",26745,57492,52,59,null,11:52 AM,late,1,6:46 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Christensen, Tiger",31123,65071,null,null,null,11:41 AM,late,1,6:35 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Cink, Stewart",5665,20229,146,null,null,8:36 AM,early,1,1:42 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Clark, Wyndham",23604,51766,7,8,4,3:04 PM,late,1,9:58 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Clarke, Darren",3523,19825,null,null,null,12:47 PM,late,1,7:41 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Cole, Eric",21756,47591,57,71,43,11:41 AM,late,1,6:35 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Conners, Corey",17576,39997,61,53,64,12:58 PM,late,1,7:52 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Coody, Pierceson",28309,59836,72,61,53,1:42 PM,late,1,8:36 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Couvra, Martin",27811,60073,238,169,null,7:30 AM,early,1,12:36 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Daffue, MJ",17068,39067,280,227,null,11:04 AM,early,1,4:10 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Day, Jason",9771,28089,67,54,70,9:47 AM,early,1,2:53 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"De Castro Piera, Alejandro",29810,63223,null,null,null,11:15 AM,early,1,4:21 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"DeChambeau, Bryson",19841,47959,24,37,null,9:58 AM,early,1,3:04 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Dean, Joe",16497,37094,231,268,null,7:08 AM,early,1,12:14 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Detry, Thomas",14181,33653,74,80,null,6:35 AM,early,1,11:41 AM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Docherty, Alistair",24962,51680,230,198,null,3:48 PM,late,1,10:42 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Du Plessis, Hennie",19421,47497,145,120,null,8:14 AM,early,1,1:20 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Duval, David",4761,9011,null,null,null,7:30 AM,early,1,12:36 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Echavarria, Nico",22833,51349,93,52,40,3:37 PM,late,1,10:31 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"English, Harris",14577,34099,26,32,46,9:14 AM,early,1,2:20 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Fitzpatrick, Alex",25362,55721,28,65,18,7:19 AM,early,1,12:25 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Fitzpatrick, Matt",17646,40098,3,3,2,3:15 PM,late,1,10:09 AM,early,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Fleetwood, Tommy",12294,30911,4,9,9,10:09 AM,early,1,3:15 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Fowler, Rickie",12965,32102,43,42,30,7:19 AM,early,1,12:25 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Fox, Ryan",11889,29936,54,56,59,6:57 AM,early,1,12:03 PM,late,1,null,null,null,null,null,null,1
The Open Championship,Royal Birkdale Golf Club,"Gerard, Ryan",29767,59018,30,28,22,10:31 AM,early,1,3:37 PM,late,1,null,null,null,null,null,null,1
