rank,player,tier,vts,birkdale_tag,birkdale_events,birkdale_sg_rnd,vhn,ch_2008,ch_2017,best_finish,vhn_note
1,Scottie Scheffler,1,83.26,RoyalBirkdaleDebut,0,,49.61,null,null,,VenueHistory 49.6/100 — No Birkdale starts. Open debut — no course-specific cali
2,Tommy Fleetwood,1,82.23,BirkdaleHistoryThin,1,1.302,56.77,null,T27,27,VenueHistory 56.8/100 — 1 Birkdale event(s): null in 2008 / T27 in 2017 (thin sa
3,Matt Fitzpatrick,1,81.66,BirkdaleHistoryThin,1,0.802,52.44,null,T44,44,VenueHistory 52.4/100 — 1 Birkdale event(s): null in 2008 / T44 in 2017 (thin sa
4,Si Woo Kim,1,80.63,BirkdaleHistoryThin,1,0.022,48.98,null,CUT,,VenueHistory 49.0/100 — 1 Birkdale event(s): null in 2008 / CUT in 2017 (thin sa
5,Russell Henley,1,79.66,BirkdaleHistoryThin,1,1.052,55.04,null,T37,37,VenueHistory 55.0/100 — 1 Birkdale event(s): null in 2008 / T37 in 2017 (thin sa
6,Rory McIlroy,1,78.98,BirkdaleHistoryThin,1,2.802,67.17,null,T4,4,VenueHistory 67.2/100 — 1 Birkdale event(s): null in 2008 / T4 in 2017 (thin sam
7,Jon Rahm,1,78.14,BirkdaleHistoryThin,1,0.802,52.44,null,T44,44,VenueHistory 52.4/100 — 1 Birkdale event(s): null in 2008 / T44 in 2017 (thin sa
8,Viktor Hovland,1,78.09,RoyalBirkdaleDebut,0,,49.85,null,null,,VenueHistory 49.9/100 — No Birkdale starts. Open debut — no course-specific cali
9,Cameron Young,2,77.98,RoyalBirkdaleDebut,0,,49.49,null,null,,VenueHistory 49.5/100 — No Birkdale starts. Open debut — no course-specific cali
10,Xander Schauffele,2,76.28,BirkdaleHistoryThin,1,1.802,61.11,null,T20,20,VenueHistory 61.1/100 — 1 Birkdale event(s): null in 2008 / T20 in 2017 (thin sa
11,J.J. Spaun,2,75.25,RoyalBirkdaleDebut,0,,49.97,null,null,,VenueHistory 50.0/100 — No Birkdale starts. Open debut — no course-specific cali
12,Collin Morikawa,2,74.8,RoyalBirkdaleDebut,0,,50.0,null,null,,VenueHistory 50.0/100 — No Birkdale starts. Open debut — no course-specific cali
13,Sam Burns,2,74.22,RoyalBirkdaleDebut,0,,49.58,null,null,,VenueHistory 49.6/100 — No Birkdale starts. Open debut — no course-specific cali
14,Chris Gotterup,2,73.82,RoyalBirkdaleDebut,0,,49.19,null,null,,VenueHistory 49.2/100 — No Birkdale starts. Open debut — no course-specific cali
15,Patrick Cantlay,2,73.77,RoyalBirkdaleDebut,0,,49.79,null,null,,VenueHistory 49.8/100 — No Birkdale starts. Open debut — no course-specific cali
16,Justin Rose,2,73.16,BirkdaleHistoryThin,2,0.085,52.45,T70,T54,54,VenueHistory 52.5/100 — 2 Birkdale event(s): T70 in 2008 / T54 in 2017 (thin sam
17,Wyndham Clark,2,73.11,RoyalBirkdaleDebut,0,,49.64,null,null,,VenueHistory 49.6/100 — No Birkdale starts. Open debut — no course-specific cali
18,Ludvig Aberg,2,72.86,RoyalBirkdaleDebut,0,,49.43,null,null,,VenueHistory 49.4/100 — No Birkdale starts. Open debut — no course-specific cali
19,Aaron Rai,2,71.83,RoyalBirkdaleDebut,0,,50.48,null,null,,VenueHistory 50.5/100 — No Birkdale starts. Open debut — no course-specific cali
20,Kurt Kitayama,2,70.49,RoyalBirkdaleDebut,0,,49.52,null,null,,VenueHistory 49.5/100 — No Birkdale starts. Open debut — no course-specific cali
21,Hideki Matsuyama,2,69.31,BirkdaleHistoryThin,1,2.052,62.84,null,T14,14,VenueHistory 62.8/100 — 1 Birkdale event(s): null in 2008 / T14 in 2017 (thin sa
22,Robert MacIntyre,2,68.58,RoyalBirkdaleDebut,0,,49.85,null,null,,VenueHistory 49.9/100 — No Birkdale starts. Open debut — no course-specific cali
23,Harris English,2,68.55,RoyalBirkdaleDebut,0,,49.91,null,null,,VenueHistory 49.9/100 — No Birkdale starts. Open debut — no course-specific cali
24,Akshay Bhatia,2,67.34,RoyalBirkdaleDebut,0,,49.97,null,null,,VenueHistory 50.0/100 — No Birkdale starts. Open debut — no course-specific cali
25,Joaquin Niemann,2,66.78,RoyalBirkdaleDebut,0,,49.4,null,null,,VenueHistory 49.4/100 — No Birkdale starts. Open debut — no course-specific cali
26,Rickie Fowler,2,66.5,BirkdaleHistoryThin,1,1.552,59.37,null,T22,22,VenueHistory 59.4/100 — 1 Birkdale event(s): null in 2008 / T22 in 2017 (thin sa
27,Shane Lowry,2,65.92,BirkdaleHistoryThin,1,-1.978,37.72,null,CUT,,VenueHistory 37.7/100 — 1 Birkdale event(s): null in 2008 / CUT in 2017 (thin sa
28,Alex Noren,2,65.72,BirkdaleHistoryThin,2,1.96,68.62,T19,T6,6,VenueHistory 68.6/100 — 2 Birkdale event(s): T19 in 2008 / T6 in 2017 (thin samp
29,Min Woo Lee,2,65.52,RoyalBirkdaleDebut,0,,49.31,null,null,,VenueHistory 49.3/100 — No Birkdale starts. Open debut — no course-specific cali
30,Jacob Bridgeman,2,65.27,RoyalBirkdaleDebut,0,,49.94,null,null,,VenueHistory 49.9/100 — No Birkdale starts. Open debut — no course-specific cali
31,Adam Scott,2,65.14,BirkdaleHistoryThin,2,1.585,65.92,T16,T22,16,VenueHistory 65.9/100 — 2 Birkdale event(s): T16 in 2008 / T22 in 2017 (thin sam
32,Ben Griffin,2,64.99,RoyalBirkdaleDebut,0,,49.91,null,null,,VenueHistory 49.9/100 — No Birkdale starts. Open debut — no course-specific cali
33,Ryan Gerard,2,64.88,RoyalBirkdaleDebut,0,,49.91,null,null,,VenueHistory 49.9/100 — No Birkdale starts. Open debut — no course-specific cali
34,Nicolai Hojgaard,2,64.68,RoyalBirkdaleDebut,0,,49.19,null,null,,VenueHistory 49.2/100 — No Birkdale starts. Open debut — no course-specific cali
35,Jake Knapp,2,64.06,RoyalBirkdaleDebut,0,,49.37,null,null,,VenueHistory 49.4/100 — No Birkdale starts. Open debut — no course-specific cali
36,Patrick Reed,2,64.02,BirkdaleHistoryThin,1,-0.978,40.32,null,CUT,,VenueHistory 40.3/100 — 1 Birkdale event(s): null in 2008 / CUT in 2017 (thin sa
37,Keegan Bradley,2,63.59,RoyalBirkdaleDebut,0,,49.7,null,null,,VenueHistory 49.7/100 — No Birkdale starts. Open debut — no course-specific cali
