rank,player_name,tier,vts_final,nsi,vfs,vhn,form,win_prob,top5_prob,top10_prob,top20_prob,make_cut_prob,sg_app_12m,sg_ott_12m,sg_arg_12m,sg_putt_12m,brie_score,tvl_score,vfr_score,hew_score,app_150_200,ch_rounds,ch_vs_exp,ap_flags,form_class,badges,best_bet
1,Scottie Scheffler,1,82.16,100.0,93.84,49.74,43.64,3.65,14.01,23.0,36.17,94.9,1.095,0.869,0.464,0.658,1.095,0.869,0.464,2.428,0.053,0,0,0,NEUTRAL,Iron Edge; Elite NSI; Debut Watch,Top 5
2,Matt Fitzpatrick,1,79.43,97.42,83.22,50.41,52.88,3.0,11.99,20.2,32.69,93.4,0.856,0.296,0.636,0.356,0.856,0.296,0.636,1.788,0.036,4,0.202,0,NEUTRAL,Iron Edge; Elite NSI,Top 5
3,Tommy Fleetwood,1,79.31,96.77,82.93,49.16,55.64,2.98,11.91,20.09,32.55,93.3,0.626,0.567,0.326,0.516,0.626,0.567,0.326,1.518,0.026,4,-0.019,0,NEUTRAL,Iron Edge; Elite NSI,Top 5
4,Si Woo Kim,1,79.01,93.55,87.25,48.54,54.2,2.92,11.7,19.8,32.19,93.1,0.788,0.628,0.301,-0.185,0.788,0.628,0.301,1.717,0.075,2,-0.066,1,NEUTRAL,Iron Edge; Elite NSI; Fragile Favorite,Top 5
5,Russell Henley,2,77.47,95.48,84.12,50.06,43.52,2.61,10.72,18.4,30.4,92.0,0.702,0.471,0.179,0.408,0.702,0.471,0.179,1.352,0.032,4,0.142,0,NEUTRAL,Iron Edge; Elite NSI,Top 5
6,Cameron Young,2,76.89,98.71,81.8,49.66,36.08,2.51,10.37,17.9,29.75,91.6,0.646,0.812,0.31,0.362,0.646,0.812,0.31,1.769,0.041,0,0,0,COOL,Iron Edge; Elite NSI; Form Cold; Debut Watch,Top 5
7,Viktor Hovland,2,76.55,90.32,82.45,49.9,54.68,2.45,10.17,17.61,29.38,91.3,0.828,0.232,0.185,0.19,0.828,0.232,0.185,1.246,0.053,0,0,0,NEUTRAL,Iron Edge; Elite NSI; Debut Watch,Top 5
8,Jon Rahm,2,76.19,98.06,78.43,45.49,44.12,2.38,9.96,17.31,28.99,91.0,0.628,0.849,0.277,0.348,0.628,0.849,0.277,1.748,0.035,4,-0.652,0,NEUTRAL,Iron Edge; Elite NSI,Top 5
9,Rory McIlroy,2,75.22,99.35,65.09,56.98,49.4,2.22,9.42,16.53,27.97,90.2,0.512,0.984,0.215,0.566,0.512,0.984,0.215,1.711,0.005,4,1.347,0,NEUTRAL,Course Horse; Elite NSI,Top 5
10,J.J. Spaun,2,75.1,88.39,82.02,49.98,50.96,2.21,9.36,16.44,27.85,90.1,0.965,0.441,0.207,-0.21,0.965,0.441,0.207,1.613,0.066,0,0,1,NEUTRAL,Iron Edge; Elite NSI; Debut Watch; Fragile Favorite,Top 5
11,Collin Morikawa,2,74.77,89.68,79.89,50.0,49.52,2.15,9.19,16.18,27.51,89.8,0.915,0.459,0.006,0.038,0.915,0.459,0.006,1.381,0.042,0,0,1,NEUTRAL,Iron Edge; Elite NSI; Debut Watch; Fragile Favorite,Top 5
12,Xander Schauffele,2,74.6,96.13,72.29,56.02,40.4,2.13,9.1,16.05,27.34,89.7,0.673,0.726,0.128,0.188,0.673,0.726,0.128,1.528,0.023,4,1.185,0,COOL,Course Horse; Elite NSI; Form Cold,Top 5
13,Sam Burns,2,73.68,94.19,64.46,49.72,61.4,1.99,8.63,15.36,26.42,88.8,0.507,0.386,-0.071,0.796,0.507,0.386,-0.071,0.822,0.021,0,0,0,WARM,Iron Edge; Elite NSI; Form Spike; Debut Watch,Top 10
14,Patrick Cantlay,2,73.3,91.61,71.84,49.86,50.84,1.94,8.45,15.09,26.05,88.4,0.705,0.392,0.33,0.114,0.705,0.392,0.33,1.426,0.028,0,0,0,NEUTRAL,Iron Edge; Elite NSI; Debut Watch,Top 10
15,Ludvig Aberg,2,72.0,94.84,68.0,49.62,41.48,1.77,7.84,14.18,24.83,87.0,0.687,0.603,0.231,0.33,0.687,0.603,0.231,1.522,0.004,0,0,0,COOL,Iron Edge; Elite NSI; Form Cold; Debut Watch,Make Cut
16,Chris Gotterup,2,71.89,92.9,64.66,49.46,52.76,1.75,7.79,14.11,24.72,86.9,0.362,0.736,0.027,0.494,0.362,0.736,0.027,1.124,0.02,0,0,0,NEUTRAL,Iron Edge; Elite NSI; Debut Watch,Make Cut
17,Wyndham Clark,2,71.65,86.45,63.53,49.76,70.28,1.72,7.69,13.95,24.51,86.6,0.522,0.071,0.443,0.486,0.522,0.071,0.443,1.036,0.033,0,0,0,HOT,Elite NSI; Form Spike; Debut Watch,Make Cut
18,Aaron Rai,2,71.23,76.77,79.75,50.32,60.32,1.67,7.5,13.67,24.13,86.1,0.762,0.221,0.213,-0.287,0.762,0.221,0.213,1.196,0.05,0,0,1,WARM,Iron Edge; Debut Watch; Fragile Favorite,Make Cut
19,Kurt Kitayama,2,70.06,83.23,71.83,49.68,51.8,1.54,7.02,12.93,23.1,84.6,0.796,0.516,-0.031,0.045,0.796,0.516,-0.031,1.281,0.045,0,0,0,NEUTRAL,Iron Edge; Debut Watch,Make Cut
20,Justin Rose,2,69.51,92.26,65.09,37.42,49.76,1.48,6.8,12.6,22.64,83.9,0.84,0.282,0.14,0.253,0.84,0.282,0.14,1.263,0.013,8,-1.128,0,NEUTRAL,Iron Edge; Elite NSI,Make Cut
21,Harris English,2,67.84,85.81,61.92,49.94,49.64,1.31,6.18,11.63,21.28,81.5,0.081,0.41,0.181,0.668,0.081,0.41,0.181,0.672,0.004,0,0,0,NEUTRAL,Elite NSI; Debut Watch,Make Cut
22,Akshay Bhatia,2,67.38,85.16,61.9,49.98,48.32,1.27,6.02,11.38,20.92,80.8,0.65,0.043,0.165,0.537,0.65,0.043,0.165,0.857,0.026,0,0,0,NEUTRAL,Elite NSI; Debut Watch,Make Cut
23,Hideki Matsuyama,2,67.33,83.23,64.55,51.06,46.76,1.27,6.0,11.35,20.88,80.7,0.637,-0.021,0.471,0.126,0.637,-0.021,0.471,1.086,0.038,4,0.312,0,NEUTRAL,Iron Edge,Make Cut
24,Robert MacIntyre,2,66.69,90.97,50.68,49.9,50.72,1.21,5.79,11.01,20.39,79.7,0.055,0.469,0.186,0.653,0.055,0.469,0.186,0.71,-0.018,0,0,1,NEUTRAL,Elite NSI; Debut Watch; Fragile Favorite,Make Cut
25,Joaquin Niemann,2,66.35,70.32,71.85,49.6,61.52,1.18,5.68,10.84,20.14,79.2,0.422,0.699,0.037,-0.113,0.422,0.699,0.037,1.153,0.059,0,0,0,WARM,Iron Edge; Form Spike; Debut Watch,Make Cut
26,Jacob Bridgeman,2,65.85,77.42,65.64,49.96,51.32,1.14,5.52,10.58,19.77,78.3,0.306,0.18,0.07,0.449,0.306,0.18,0.07,0.556,0.03,0,0,0,NEUTRAL,Iron Edge; Debut Watch,Make Cut
