position,player_name,course,score,thru,today,sg_ott,distance,accuracy,sg_app,gir,prox_fw,prox_rgh,sg_putt,sg_arg,scrambling,great_shots,poor_shots,sg_total,sg_t2g,sg_bs
1,"Suber, Jackson",AN,-5,18,-5,-0.41,282.8,0.5,2.19,0.61111,32.6346,46.875,3.05,1.61,0.85714,7,4,6.44,3.39,1.78
T2,"Im, Sungjae",AN,-4,18,-4,1.47,285.1,0.71429,1.28,0.77778,26.8889,59.1667,1.75,0.95,0.83333,7,1,5.44,3.69,2.74
T2,"Brown, Dan",AN,-4,18,-4,1.56,272.3,0.85714,0.63,0.72222,38.1722,25.5,2.31,0.94,0.5,7,3,5.44,3.13,2.19
T4,"Detry, Thomas",AN,-3,18,-3,1.44,290.6,0.64286,0.72,0.83333,27.0952,115.375,2.42,-0.15,0.75,6,1,4.44,2.02,2.17
T4,"MacIntyre, Robert",AN,-3,18,-3,0.97,268.1,0.78571,0.63,0.72222,38.9611,45.9167,1.9,0.92,0.71429,6,1,4.44,2.53,1.61
T4,"Molinari, Francesco",AN,-3,18,-3,-0.79,261.1,0.5,2.8,0.72222,28.4115,50.5,1.87,0.56,0.4,6,3,4.44,2.56,2.01
T4,"Smalley, Alex",AN,-3,18,-3,-1.22,273,0.71429,1.76,0.83333,33.5667,23.4167,4.03,-0.13,0.66667,5,2,4.44,0.41,0.54
T4,"DeChambeau, Bryson",AN,-3,18,-3,2.15,309.9,0.28571,2.32,0.83333,29.1944,46.4028,-1.3,1.27,0.71429,9,4,4.44,5.73,4.47
T4,"Gerard, Ryan",AN,-3,18,-3,1.6,278.7,0.85714,2.43,0.72222,29.0521,27,0.42,-0.02,0.66667,5,2,4.44,4.02,4.03
T4,"Daffue, MJ",AN,-3,18,-3,1.04,299.6,0.35714,1.39,0.77778,33.7708,44.9167,1.66,0.35,0.57143,8,1,4.44,2.77,2.43
T4,"Coody, Pierceson",AN,-3,18,-3,0.06,263,0.71429,-0.14,0.72222,29.3958,51.1042,2.35,2.17,0.57143,5,2,4.44,2.09,-0.08
T4,"Young, Cameron",AN,-3,18,-3,1.05,295.3,0.42857,1.18,0.72222,25.7885,48,1.67,0.54,0.66667,6,3,4.44,2.77,2.23
T13,"Stenson, Henrik",AN,-2,18,-2,0.72,268.1,0.71429,3.28,0.83333,30.8167,36.0278,-1.03,0.47,0.75,5,3,3.44,4.46,3.99
T13,"Smith, Jordan",AN,-2,18,-2,1.14,278.3,0.78571,2.19,0.77778,30.8889,42.5278,0.04,0.07,0.6,4,4,3.44,3.4,3.33
T13,"Perez, Victor",AN,-2,18,-2,1.61,286.9,0.64286,0.92,0.72222,33.7821,49.3333,0.91,-0.01,0.71429,2,2,3.44,2.52,2.53
T13,"Lagergren, Joakim",AN,-2,18,-2,1.11,290.5,0.57143,1.58,0.77778,32.25,27.4583,0.49,0.26,0.6,7,1,3.44,2.94,2.69
T13,"Hisatsune, Ryo",AN,-2,18,-2,0.85,283.1,0.71429,-0.11,0.72222,34.8472,77.1458,2.27,0.43,0.71429,4,1,3.44,1.17,0.74
T13,"Scheffler, Scottie",AN,-2,18,-2,1.89,290.1,0.92857,1.84,0.72222,24.8833,null,-0.03,-0.26,0.5,7,5,3.44,3.47,3.73
T13,"Kim, Si Woo",AN,-2,18,-2,0.5,280.9,0.5,0.63,0.72222,34.1786,93,1.21,1.1,0.83333,5,3,3.44,2.23,1.13
T13,"Taylor, Nick",AN,-2,18,-2,-0.12,270.4,0.57143,2.21,0.77778,30.8274,45.25,2.18,-0.84,0.25,5,2,3.44,1.25,2.09
T13,"Straka, Sepp",AN,-2,18,-2,1.21,270.1,0.78571,0.53,0.72222,29.1778,77.125,0.82,0.87,0.66667,4,4,3.44,2.62,1.74
T13,"Cauley, Bud",AN,-2,18,-2,-1.48,266.3,0.28571,1.72,0.66667,30.4083,42.5357,3.44,-0.24,0.85714,3,1,3.44,0,0.24
T13,"Morikawa, Collin",AN,-2,18,-2,-1.52,260.6,0.57143,3.89,0.83333,24.3462,40.0556,1.11,-0.05,0,3,5,3.44,2.33,2.37
T24,"Fitzpatrick, Alex",AN,-1,18,-1,1.95,295.9,0.57143,-0.09,0.88889,31.7436,45.0833,-0.14,0.71,0.4,5,3,2.44,2.57,1.86
T24,"Southgate, Matthew",AN,-1,18,-1,0.22,270.8,0.57143,-0.46,0.44444,41.75,63.7833,2.8,-0.12,0.72727,6,2,2.44,-0.36,-0.24
