HOLE,YARDS,AVG,RANK,+/-,EAGLES,BIRDIES,PARS,BOGEYS,DBL+
1,447,4.154,7,0.154,0,15,113,20,8
2,419,3.962,15,-0.038,0,26,111,18,1
3,450,4.128,8,0.128,0,12,113,30,1
4,219,3.205,6,0.205,0,10,105,40,1
5,321,3.795,17,-0.205,0,44,102,8,2
6,514,4.353,1,0.353,0,10,89,50,7
7,151,3.051,9,0.051,0,14,121,20,1
8,459,4.237,5,0.237,0,12,99,41,4
9,414,3.981,14,-0.019,0,23,114,18,1
Out,34,3394,34.866,-,0.866,0,166,967,245
10,397,3.994,13,-0.006,0,26,107,21,2
11,434,4.038,11,0.038,0,30,96,24,6
12,186,3.045,10,0.045,0,20,110,25,1
13,502,4.327,3,0.327,0,9,91,53,3
14,602,4.885,16,-0.115,1,44,88,18,5
15,241,3.263,4,0.263,0,12,93,49,2
16,393,4,12,0,0,25,107,23,1
17,566,4.692,18,-0.308,3,62,73,16,2
18,508,4.34,2,0.34,0,7,96,47,6
In,36,3829,36.584,-,0.584,4,235,861,276
Total,70,7223,71.45,-,1.45,4,401,1828,521
