"HOLE","YARDS","AVG","RANK","+/-","EAGLES","BIRDIES","PARS","BOGEYS","DBL+"
"1","447","4.170","5","+0.170","0","38","205","51","17"
"2","419","3.878","15","-0.122","1","71","206","31","2"
"3","450","4.106","8","+0.106","0","32","223","49","7"
"4","219","3.125","6","+0.125","0","34","206","69","2"
"5","321","3.785","17","-0.215","3","92","192","18","6"
"6","514","4.350","1","+0.350","0","19","178","102","12"
"7","151","3.048","9","+0.048","0","31","238","38","4"
"8","459","4.119","7","+0.119","0","40","199","67","5"
"9","414","3.977","13","-0.023","0","50","219","41","1"
"","34","3394","34.558","-","+0.558","4","407","1866","466"
"10","397","3.945","14","-0.055","1","55","219","33","3"
"11","434","4.023","11","+0.023","0","54","205","44","8"
"12","186","3.042","10","+0.042","0","40","221","47","3"
"13","502","4.238","4","+0.238","0","28","188","89","6"
"14","602","4.862","16","-0.138","4","90","171","38","8"
"15","241","3.241","3","+0.241","0","27","188","90","6"
"16","393","4.010","12","+0.010","0","53","205","51","2"
"17","566","4.627","18","-0.373","12","125","147","23","4"
"18","508","4.350","1","+0.350","0","19","175","108","9"
"","36","3829","36.338","-","+0.338","17","491","1719","523"
"","70","7223","70.896","-","+0.896","21","898","3585","989"
