"POS","PLAYER","TOTAL","R1","R2","STROKES"
"1","Lucas Herbert","-8","70","62","132"
"T2","Jackson Suber","-6","65","69","134"
"T2","Cameron Young","-6","67","67","134"
"T2","Ryan Gerard","-6","67","67","134"
"T5","Sam Burns","-5","73","62","135"
"T5","Bryson DeChambeau","-5","67","68","135"
"T5","Si Woo Kim","-5","68","67","135"
"T8","Matt Wallace","-4","69","67","136"
"T8","Bud Cauley","-4","68","68","136"
"T8","Thomas Detry","-4","67","69","136"
"T8","Robert MacIntyre","-4","67","69","136"
"T8","Alex Fitzpatrick","-4","69","67","136"
"T8","Francesco Molinari","-4","67","69","136"
"T8","Scottie Scheffler","-4","68","68","136"
"T8","Tommy Fleetwood","-4","69","67","136"
"T8","Jon Rahm","-4","69","67","136"
"T17","Pierceson Coody","-3","67","70","137"
"T17","J.J. Spaun","-3","70","67","137"
"T17","Shane Lowry","-3","69","68","137"
"T17","Ludvig Åberg","-3","71","66","137"
"T17","Cameron John","-3","70","67","137"
"T17","Dan Brown","-3","66","71","137"
"T17","Victor Perez","-3","68","69","137"
"T17","Tyrrell Hatton","-3","69","68","137"
"T25","Sepp Straka","-2","68","70","138"
"T25","Corey Conners","-2","71","67","138"
"T25","Johnny Keefer","-2","70","68","138"
"T25","Patrick Reed","-2","72","66","138"
"T25","Chris Gotterup","-2","70","68","138"
"T25","Adam Scott","-2","72","66","138"
"T25","Collin Morikawa","-2","68","70","138"
"T25","Rasmus Neergaard-Petersen","-2","72","66","138"
"T25","Nico Echavarria","-2","71","67","138"
"T25","Matthew Southgate","-2","69","69","138"
"T25","Sungjae Im","-2","66","72","138"
"T25","Jordan Smith","-2","68","70","138"
"T25","Michael Thorbjornsen","-2","70","68","138"
"T38","John Parry","-1","71","68","139"
"T38","Shaun Norris","-1","69","70","139"
"T38","Jesper Svensson","-1","73","66","139"
"T38","Rory McIlroy","-1","72","67","139"
"T38","Jacob Bridgeman","-1","70","69","139"
"T38","Patrick Cantlay","-1","71","68","139"
"T38","Andy Sullivan","-1","70","69","139"
"T38","Hennie Du Plessis","-1","70","69","139"
"T38","Ben Griffin","-1","69","70","139"
"T38","Hideki Matsuyama","-1","72","67","139"
"T38","Justin Thomas","-1","70","69","139"
"T38","Nick Taylor","-1","68","71","139"
"T38","Kazuma Kobori","-1","70","69","139"
"T38","MJ Daffue","-1","67","72","139"
"T52","Eric Cole","E","76","64","140"
