Player,SG-Off the Tee,SG-Approach to Green,SG- Around the Green,SG-Putting,SG-Total
Lucas Herbert,1.331,1.9665,2.321,3.154,8.7725
Jackson Suber,-0.517,1.2305,0.605,0.1805,1.499
Cameron Young,1.353,2.714,0.11,-0.323,3.854
Ryan Gerard,0.55,-1.6445,2.915,1.5485,3.369
Sam Burns,0.165,2.76,3.091,2.8405,8.8565
Bryson DeChambeau,-0.11,1.2075,1.408,0.1045,2.61
Si Woo Kim,-0.209,1.6905,1.463,0.703,3.6475
Matt Wallace,0.792,0.069,0.748,1.786,3.395
Bud Cauley,-0.33,1.035,1.122,0.6935,2.5205
Thomas Detry,-0.737,0.4485,-0.033,1.577,1.2555
Robert MacIntyre,-0.033,0.3565,0.517,0.5605,1.401
Alex Fitzpatrick,0.693,1.3915,2.948,-1.1115,3.921
Francesco Molinari,0.55,-2.99,3.498,0.247,1.305
Scottie Scheffler,1.397,3.2085,0.308,-1.9,3.0135
Tommy Fleetwood,0.715,2.5415,0.165,0.323,3.7445
Jon Rahm,0.858,3.9445,0.451,-1.216,4.0375
Pierceson Coody,0.77,-0.1265,0.011,-0.2375,0.417
J.J. Spaun,1.144,1.5295,0.033,0.9025,3.609
Shane Lowry,1.507,1.495,-0.418,0.057,2.641
Ludvig Aberg,0.572,1.5065,0.594,1.881,4.5535
Cameron John,0.638,1.587,0.033,1.2825,3.5405
Dan Brown,-0.231,1.035,-0.429,-0.9025,-0.5275
Victor Perez,-0.297,-0.1495,2.2,-0.2375,1.516
Tyrrell Hatton,-0.187,1.9895,2.079,-1.0545,2.827
Sepp Straka,-3.025,0.3795,0.902,1.8525,0.109
Corey Conners,-0.792,3.243,-0.385,1.5105,3.5765
Johnny Keefer,-0.275,1.1385,-0.638,2.0805,2.306
Patrick Reed,-0.253,5.152,-0.935,0.912,4.876
Chris Gotterup,-0.979,1.5525,-0.605,2.3085,2.277
Adam Scott,0.638,3.2085,-2.123,2.755,4.4785
Collin Morikawa,0.297,0.9085,-1.958,1.0165,0.264
Rasmus Neergaard-Petersen,1.43,3.4155,-0.044,0.114,4.9155
Nico Echavarria,0.825,-0.6325,2.277,1.026,3.4955
Matthew Southgate,-0.242,1.15,-0.429,0.9025,1.3815
Sungjae Im,0.539,-1.8055,-1.122,0.4275,-1.961
Jordan Smith,0.429,-0.368,-0.704,0.8645,0.2215
Michael Thorbjornsen,-0.044,1.495,0.462,0.6365,2.5495
John Parry,2.046,0.3795,0.242,-0.057,2.6105
Shaun Norris,-0.847,2.3115,-0.253,-0.6365,0.575
Jesper Svensson,3.872,-1.2535,0.627,1.2825,4.528
Rory McIlroy,3.652,-1.058,0.594,0.38,3.568
Jacob Bridgeman,-1.991,2.1045,0.033,1.235,1.3815
Patrick Cantlay,0.616,1.771,0.055,0.19,2.632
Andy Sullivan,1.738,-0.368,-0.088,0.1615,1.4435
Hennie Du Plessis,-0.803,1.3685,-0.726,1.4725,1.312
Ben Griffin,1.386,-1.0235,1.199,-1.064,0.4975
Hideki Matsuyama,1.463,1.1845,-0.066,1.007,3.5885
Justin Thomas,-2.541,3.197,0.264,0.5985,1.5185
Nick Taylor,-0.836,-1.748,-0.154,1.6815,-1.0565
Kazuma Kobori,0.132,0.897,0.385,0.0855,1.4995
MJ Daffue,0.407,0.092,2.09,-3.8,-1.211
Eric Cole,1.815,2.3115,0.616,2.0235,6.766
Eugenio Chacarra,0.165,-1.863,0.132,1.615,0.049
