event_name,course_name,player_name,dg_id,player_num,r3_teetime,r3_wave,r3_starthole,r4_teetime,r4_wave,r4_starthole,current_round
The Open Championship,Royal Birkdale Golf Club,"Aberg, Ludvig",23950,52955,2:15 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Ayora, Angel",30445,64052,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Bairstow, Sam",28615,60369,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Baldwin, Matthew",13344,32622,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Ballester, Jose Luis",28473,60165,9:30 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Berger, Daniel",17606,40026,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Bhatia, Akshay",26096,56630,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Bradbury, Dan",29971,63459,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Bradley, Keegan",13872,33141,10:00 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Brennan, Michael",29197,61522,11:15 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Bridgeman, Jacob",29433,60004,12:20 PM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Brown, Dan",20766,57259,2:05 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Buchanan, Jack",31844,66202,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Burns, Sam",19483,47504,3:30 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Canter, Laurie",14795,34362,11:05 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Cantlay, Patrick",15466,35450,12:10 PM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Cauley, Bud",14502,34021,3:10 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Chacarra, Eugenio",26745,57492,11:15 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Christensen, Tiger",31123,65071,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Cink, Stewart",5665,20229,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Clark, Wyndham",23604,51766,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Clarke, Darren",3523,19825,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Cole, Eric",21756,47591,11:25 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Conners, Corey",17576,39997,1:45 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Coody, Pierceson",28309,59836,2:25 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Couvra, Martin",27811,60073,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Daffue, MJ",17068,39067,11:25 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Day, Jason",9771,28089,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"De Castro Piera, Alejandro",29810,63223,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"DeChambeau, Bryson",19841,47959,3:30 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Dean, Joe",16497,37094,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Detry, Thomas",14181,33653,3:10 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Docherty, Alistair",24962,51680,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Du Plessis, Hennie",19421,47497,11:55 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Duval, David",4761,9011,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Echavarria, Nico",22833,51349,1:00 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"English, Harris",14577,34099,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Fitzpatrick, Alex",25362,55721,3:00 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Fitzpatrick, Matt",17646,40098,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Fleetwood, Tommy",12294,30911,2:35 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Fowler, Rickie",12965,32102,10:20 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Fox, Ryan",11889,29936,10:30 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Gerard, Ryan",29767,59018,3:40 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Gotterup, Chris",27774,59095,1:20 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Grehan, Stuart",22633,51174,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Greyserman, Max",23465,51977,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Griffin, Ben",24968,54591,11:55 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Grinberg, Lev",29461,70938,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Hall, Harry",27194,57975,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Ham, Jeong Woo",17872,46724,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Harman, Brian",8825,27644,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Harrington, Padraig",5716,20766,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Hatton, Tyrrell",14796,34363,1:55 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Henley, Russell",14578,34098,9:10 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Herbert, Lucas",17064,39058,3:50 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Higa, Kazuki",15756,35778,9:30 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Hillier, Daniel",21362,49813,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Hisatsune, Ryo",22760,51287,9:20 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Hojgaard, Nicolai",23602,52453,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Hojgaard, Rasmus",23838,52686,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Hollick, Michael",15993,36344,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Homa, Max",17538,39977,10:20 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Horschel, Billy",11276,29420,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Hovland, Viktor",18841,46717,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Howard, David",33657,68566,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Howell, Mason",33759,68607,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Im, Sungjae",17488,39971,12:50 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Jarvis, Casey",26947,57688,10:55 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"John, Cameron",19390,47463,2:05 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Jordan, Matthew",25601,55955,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Kaneko, Kota",28268,61148,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Kataoka, Naoyuki",18994,46879,9:40 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Keefer, Johnny",32457,63454,1:35 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Kim, Michael",17543,39975,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Kim, Si Woo",14609,37455,3:20 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Kim, Tom",24766,55182,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Kitayama, Kurt",21891,48117,10:55 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Knapp, Jake",19396,47420,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Kobori, Kazuma",24369,54621,11:35 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Koepka, Brooks",16243,36689,9:50 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"LaCroix, Frederic",23733,52585,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Lagergren, Joakim",14780,34317,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Laopakdee, Fifa",27019,70146,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Laporta, Francesco",14987,34607,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Lee, Min Woo",16841,37378,9:20 AM,early,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Li, Haotong",15310,35296,null,null,null,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"Lowry, Shane",13900,33204,2:15 PM,late,1,null,null,null,3
The Open Championship,Royal Birkdale Golf Club,"MacIntyre, Robert",23323,52215,3:00 PM,late,1,null,null,null,3
