"POS","Player","TOT","1","2","3","4","5","6","7","8","9","OUT","10","11","12","13","14","15","16","17","18","IN","TOTAL"
"T1","T. Kim","-5","6","4","2","3","3","3","4","4","3","32","4","4","4","3","4","3","4","3","4","33","65"
"T1","B. Wiesberger","-5","4","3","3","4","3","4","5","5","3","34","5","3","5","3","3","2","4","2","4","31","65"
"T1","P. Cantlay","-5","4","4","3","4","3","4","5","4","3","34","4","3","5","3","4","3","3","3","3","31","65"
"T1","R. McIlroy","-5","3","4","3","4","3","4","4","3","3","31","5","4","4","4","3","3","3","3","5","34","65"
"T1","R. Højgaard","-5","4","5","3","3","3","4","3","4","3","32","4","3","5","3","3","3","6","2","4","33","65"
"T6","B. Koepka","-4","4","4","2","4","3","3","5","4","2","31","5","5","5","4","3","2","5","3","3","35","66"
"T6","M. Lee","-4","4","3","3","3","3","4","5","5","3","33","4","4","4","4","3","3","4","2","5","33","66"
"T6","M. Thorbjornsen","-4","4","4","4","5","2","3","5","4","3","34","4","3","4","4","3","3","4","3","4","32","66"
"T6","K. Kitayama","-4","4","4","2","4","2","5","4","5","3","33","4","5","4","3","3","3","4","3","4","33","66"
"T6","A. Ayora","-4","4","4","2","5","3","3","5","4","3","33","4","5","4","4","3","3","3","3","4","33","66"
"T6","O. Lindell","-4","4","3","3","3","3","3","5","4","3","31","4","4","4","5","4","3","4","3","4","35","66"
"T6","A. Novak","-4","4","4","2","3","3","5","4","4","3","32","4","4","4","4","4","3","4","3","4","34","66"
"T13","J. Luiten","-3","5","4","2","3","2","4","4","4","4","32","4","3","4","4","4","3","5","3","5","35","67"
"T13","M. McCarty","-3","4","5","3","4","2","3","5","4","3","33","4","4","4","3","4","3","4","2","6","34","67"
"T13","R. MacIntyre","-3","4","5","3","3","3","4","4","4","3","33","5","4","5","3","4","3","3","3","4","34","67"
"T13","W. Clark","-3","5","5","2","3","2","4","4","4","3","32","4","4","7","5","3","2","3","3","4","35","67"
"T13","K. Nakajima","-3","5","4","3","4","2","4","4","3","3","32","4","4","5","4","4","3","4","3","4","35","67"
"T13","M. Brennan","-3","4","5","3","4","2","4","5","4","3","34","4","4","4","4","4","3","4","2","4","33","67"
"T13","D. Willett","-3","5","5","3","4","3","4","4","4","2","34","5","4","4","4","3","3","4","3","3","33","67"
"T13","T. McKibbin","-3","4","4","3","4","3","4","4","4","3","33","4","4","4","4","4","3","4","3","4","34","67"
"T13","C. Conners","-3","5","4","2","3","3","4","4","4","2","31","4","5","4","5","4","3","4","3","4","36","67"
"T13","C. Hill","-3","4","4","3","4","2","4","6","4","2","33","3","5","5","4","4","3","4","2","4","34","67"
