player_id,last_name,first_name,tier,rank,neutral_skill_index,venue_fit_score,venue_history_normalized,form_score,penalties_applied,vts_final,win_prob,top5_prob,top10_prob,top20_prob,make_cut_prob,miss_cut_prob,best_betting_lane,anti_pattern_flags,conviction_level
P014,CLARK,WYNDHAM,1,1,83.63052338227615,62.165943844569526,74.27845647229255,84.5,0.0,91.53690711829896,3.42,15.39,27.36,51.3,92.0,8.0,Winner,none,HIGH
P088,MCILROY,RORY,1,2,80.71557488832781,66.00992069663891,68.53717592507734,54.333333333333336,0.0,83.46623740956957,3.18,14.31,25.44,47.7,84.9,15.1,Winner,none,HIGH
P125,SCHEFFLER,SCOTTIE,1,3,94.7775023452453,53.63841917666276,55.347747640934266,48.666666666666664,0.0,82.09830841391896,3.1,13.95,24.8,46.5,91.9,8.1,Winner,none,HIGH
P043,HATTON,TYRRELL,1,4,74.34587262377401,61.893288993484326,62.64072563334279,74.0,0.0,80.8990725926167,3.03,13.64,24.24,45.45,84.8,15.2,Winner,none,HIGH
P029,FITZPATRICK,MATT,1,5,78.47538299020084,54.23129483416267,86.07135705576164,52.5,0.0,80.36511263701377,2.99,13.46,23.92,44.85,84.8,15.2,Winner,none,HIGH
P068,KITAYAMA,KURT,2,6,73.91402840244834,62.28024016357001,71.01989183738662,53.833333333333336,0.0,78.17130178370822,2.8,12.6,22.4,42.0,84.7,15.3,Top 10,none,HIGH
P036,GOTTERUP,CHRIS,2,7,70.83713832550285,66.24838751733103,67.60615745796136,54.333333333333336,0.0,77.4577016747975,2.73,12.28,21.84,40.95,84.6,15.4,Top 10,none,HIGH
P030,FLEETWOOD,TOMMY,2,8,76.88295742406238,52.2610237782483,77.69219085171781,54.166666666666664,0.0,77.02422997793327,2.69,12.1,21.52,40.35,84.6,15.4,Top 10,none,HIGH
P049,HOJGAARD,NICOLAI,2,9,65.49306608659755,68.93405903532175,84.67482935508768,43.0,0.0,76.75268997365816,2.66,11.97,21.28,39.9,74.3,25.7,Top 10,none,HIGH
P114,RAI,AARON,2,10,76.39713267507099,49.138870915704906,66.8303087353647,65.15,0.0,75.36082216440789,2.5,11.25,20.0,37.5,84.5,15.5,Top 10,none,HIGH
P001,ABERG,LUDVIG,2,11,76.82897689639668,60.48016604156903,65.12344154565207,42.0,0.0,75.13150622245549,2.47,11.12,19.76,37.05,74.1,25.9,Top 10,none,HIGH
P066,KIM,TOM,2,12,61.768409677663556,56.95800260602583,88.8644124571096,62.5,0.0,74.46670060016024,2.39,10.76,19.12,35.85,74.0,26.0,Top 10,none,HIGH
P144,THOMAS,JUSTIN,2,13,74.45383367910543,59.879168072500576,42.158319356791196,69.35,0.0,74.42500213600567,2.38,10.71,19.04,35.7,84.3,15.7,Top 10,none,HIGH
P113,RAHM,JON,2,14,80.63460409682924,60.86589621056923,39.52043369996258,46.833333333333336,0.0,72.92289151785647,2.18,9.81,17.44,32.7,84.2,15.8,Top 10,none,HIGH
P011,CAULEY,BUD,2,15,72.94237890446556,58.17050977089849,38.589415232846605,73.25,0.0,72.82922596314411,2.17,9.76,17.36,32.55,84.2,15.8,Top 10,none,HIGH
P124,SCHAUFFELE,XANDER,2,16,69.78451803602151,61.59340050949284,72.72675902709925,37.2,0.0,72.04715632221104,2.06,9.27,16.48,30.9,73.6,26.4,Top 10,none,HIGH
P117,REITAN,KRISTOFFER,2,17,67.84121904005595,61.98709372905044,52.865031728624984,59.5,0.0,71.60846123526787,1.99,8.96,15.92,29.85,73.5,26.5,Top 10,none,HIGH
P108,PEREZ,VICTOR,2,18,58.96142223904663,58.48520952892674,77.38185136267916,64.3,0.0,71.3020749730143,1.95,8.78,15.6,29.25,73.5,26.5,Top 10,none,HIGH
P128,SCOTT,ADAM,2,19,66.43772532074748,63.646911987233835,66.20962975728739,43.833333333333336,0.0,70.99293783269547,1.9,8.55,15.2,28.5,73.4,26.6,Top 10,none,HIGH
P150,WALLACE,MATT,2,20,64.44044579711621,59.97090241492177,57.36495431968556,63.6,0.0,70.59917009756388,1.85,8.33,14.8,27.75,73.3,26.7,Top 10,none,HIGH
P028,FITZPATRICK,ALEX,2,21,71.45791439365853,55.015071357025185,39.675603444481915,71.9,0.0,70.46737726851003,1.83,8.24,14.64,27.45,83.8,16.2,Top 10,none,HIGH
P134,SPAUN,J.J.,2,22,75.04761948342825,56.15102706253943,41.847979867752535,57.3,0.0,70.3366154698908,1.81,8.14,14.48,27.15,83.7,16.3,Top 10,none,HIGH
P032,FOX,RYAN,2,23,62.33520521815351,66.29680286472,50.53748556083503,60.6,0.0,69.97365495294048,1.76,7.92,14.08,26.4,73.0,27.0,Top 10,none,HIGH
P009,CANTLAY,PATRICK,2,24,73.34723286195837,58.89727085177007,45.2617142471778,48.833333333333336,0.0,69.4184459025866,1.67,7.52,13.36,25.05,72.9,27.1,Top 10,none,HIGH
P015,COLE,ERIC,2,25,63.98161131195767,61.587879461106375,46.65824194785177,65.75,0.0,69.13130458453801,1.63,7.33,13.04,24.45,72.8,27.2,Top 10,none,HIGH
P065,KIM,SI WOO,2,26,75.20956106642538,52.61426470097434,47.589260414967754,50.166666666666664,0.0,68.53523001872462,1.55,6.98,12.4,23.25,83.5,16.5,Top 10,none,HIGH
P054,HOVLAND,VIKTOR,2,27,70.64820647867288,55.6328979062716,52.089183006028335,50.5,0.0,68.24528345868096,1.5,6.75,12.0,22.5,72.6,27.4,Top 10,none,HIGH
