Last Name,First Name,main-tour-L20 Rds,Last 5 Starts-Tour-Start 1,Last 5 Starts-Event-Start 1,Last 5 Starts-Finish-Start 1,Last 5 Starts-Tour-Start 2,Last 5 Starts-Event-Start 2,Last 5 Starts-Finish-Start 2,Last 5 Starts-Tour-Start 3,Last 5 Starts-Event-Start 3,Last 5 Starts-Finish-Start 3,Last 5 Starts-Tour-Start 4,Last 5 Starts-Event-Start 4,Last 5 Starts-Finish-Start 4,Last 5 Starts-Tour-Start 5,Last 5 Starts-Event-Start 5,Last 5 Starts-Finish-Start 5,True SG,True SG vs Baseline
CLARK,WYNDHAM,PGA,PGA Tour,THE CJ CUP Byron Nelson,1,PGA Tour,the Memorial Tournament presented by Workday,3,PGA Tour,RBC Canadian Open,T11,PGA Tour,U.S. Open,1,Major,Travelers Championship,T5,3.55,2.23
SCHEFFLER,SCOTTIE,PGA,PGA Tour,PGA Championship,T14,Major,THE CJ CUP Byron Nelson,3,PGA Tour,the Memorial Tournament presented by Workday,T12,PGA Tour,U.S. Open,T4,Major,Travelers Championship,2,2.94,-0.26
BURNS,SAM,PGA,PGA Tour,PGA Championship,2,Major,the Memorial Tournament presented by Workday,T26,PGA Tour,RBC Canadian Open,T4,PGA Tour,U.S. Open,T12,Major,Travelers Championship,T20,2.58,0.95
MCILROY,RORY,PGA,PGA Tour,Masters Tournament,1,Major,Truist Championship,T19,PGA Tour,PGA Championship,T7,Major,the Memorial Tournament presented by Workday,T12,PGA Tour,U.S. Open,T32,2.45,0.26
THOMAS,JUSTIN,PGA,PGA Tour,PGA Championship,T4,Major,Charles Schwab Challenge,T13,PGA Tour,the Memorial Tournament presented by Workday,T19,PGA Tour,U.S. Open,T17,Major,Travelers Championship,T14,2.22,1.09
FLEETWOOD,TOMMY,PGA,PGA Tour,PGA Championship,CUT,Major,the Memorial Tournament presented by Workday,T4,PGA Tour,RBC Canadian Open,T11,PGA Tour,U.S. Open,T11,Major,Travelers Championship,T14,2.18,0.16
FITZPATRICK,MATT,PGA,PGA Tour,PGA Championship,T14,Major,the Memorial Tournament presented by Workday,T36,PGA Tour,RBC Canadian Open,2,PGA Tour,U.S. Open,22,Major,Travelers Championship,4,2.13,0.06
RAHM,JON,LIV,LIV Golf,Virginia,2,LIV Golf,PGA Championship,T8,Major,Korea,T2,LIV Golf,Andalucia,CUT,LIV Golf,U.S. Open,T16,1.97,-0.19
SPAUN,J.J.,PGA,PGA Tour,PGA Championship,CUT,Major,Charles Schwab Challenge,T6,PGA Tour,the Memorial Tournament presented by Workday,T12,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T7,1.95,0.49
HATTON,TYRRELL,LIV,LIV Golf,Mexico City,T7,LIV Golf,Virginia,T5,LIV Golf,PGA Championship,17,Major,Andalucia,1,LIV Golf,U.S. Open,CUT,1.95,1.1
RAI,AARON,PGA,PGA Tour,PGA Championship,1,Major,the Memorial Tournament presented by Workday,T19,PGA Tour,RBC Canadian Open,CUT,PGA Tour,U.S. Open,T11,Major,Travelers Championship,T30,1.87,0.91
GRIFFIN,BEN,PGA,PGA Tour,Charles Schwab Challenge,T10,PGA Tour,the Memorial Tournament presented by Workday,T3,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T21,PGA Tour,John Deere Classic,T17,1.86,0.46
CAULEY,BUD,PGA,PGA Tour,PGA Championship,T26,Major,the Memorial Tournament presented by Workday,T22,PGA Tour,RBC Canadian Open,1,PGA Tour,U.S. Open,T56,Major,Travelers Championship,T14,1.83,1.15
GOTTERUP,CHRIS,PGA,PGA Tour,PGA Championship,T10,Major,the Memorial Tournament presented by Workday,T27,PGA Tour,U.S. Open,T43,Major,Travelers Championship,T30,PGA Tour,John Deere Classic,1,1.79,0.26
FITZPATRICK,ALEX,PGA,PGA Tour,PGA Championship,T75,Major,the Memorial Tournament presented by Workday,T6,PGA Tour,RBC Canadian Open,T20,PGA Tour,U.S. Open,T23,Major,Travelers Championship,T7,1.78,1.26
CHACARRA,EUGENIO,DPT,DP World Tour,Soudal Open,1,DP World Tour,Austrian Alpine Open presented by Kitzbühel Tirol,T22,DP World Tour,KLM Open,T12,DP World Tour,DS Automobiles 83° Open d’Italia,1,DP World Tour,BMW International Open,CUT,1.7,1.58
KOHLES,BEN,PGA,PGA Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T3,Korn Ferry Tour,RBC Canadian Open,T29,PGA Tour,U.S. Open,T23,Major,Memorial Health Championship presented by LRS,1,Korn Ferry Tour,John Deere Classic,T19,1.7,1.51
NIEMANN,JOAQUIN,DPT,DP World Tour,Korea,T7,LIV Golf,Andalucia,T24,LIV Golf,U.S. Open,T7,Major,DS Automobiles 83° Open d’Italia,1,DP World Tour,BMW International Open,3,1.69,0.97
CANTLAY,PATRICK,PGA,PGA Tour,Truist Championship,T10,PGA Tour,PGA Championship,T35,Major,the Memorial Tournament presented by Workday,T17,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T14,1.6,0.02
KIM,SI WOO,PGA,PGA Tour,PGA Championship,T35,Major,THE CJ CUP Byron Nelson,2,PGA Tour,the Memorial Tournament presented by Workday,T10,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T44,1.58,0.01
REITAN,KRISTOFFER,PGA,PGA Tour,PGA Championship,T44,Major,the Memorial Tournament presented by Workday,T6,PGA Tour,RBC Canadian Open,T60,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T22,1.57,0.6
COLE,ERIC,PGA,PGA Tour,Charles Schwab Challenge,2,PGA Tour,the Memorial Tournament presented by Workday,8,PGA Tour,RBC Canadian Open,CUT,PGA Tour,Travelers Championship,T38,PGA Tour,John Deere Classic,T39,1.56,0.95
ROSE,JUSTIN,PGA,PGA Tour,PGA Championship,T11,Major,the Memorial Tournament presented by Workday,T10,PGA Tour,RBC Canadian Open,T12,PGA Tour,U.S. Open,T25,Major,Travelers Championship,CUT,1.54,-0.02
HOVLAND,VIKTOR,PGA,PGA Tour,Truist Championship,T31,PGA Tour,PGA Championship,CUT,Major,RBC Canadian Open,3,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,1,1.53,0.12
KITAYAMA,KURT,PGA,PGA Tour,Truist Championship,T19,PGA Tour,PGA Championship,T10,Major,the Memorial Tournament presented by Workday,T22,PGA Tour,U.S. Open,T53,Major,Travelers Championship,T25,1.53,0.23
LOWRY,SHANE,PGA,PGA Tour,PGA Championship,T44,Major,the Memorial Tournament presented by Workday,T22,PGA Tour,RBC Canadian Open,T29,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T22,1.49,0.33
MORIKAWA,COLLIN,PGA,PGA Tour,Cadillac Championship,T17,PGA Tour,PGA Championship,T62,Major,RBC Canadian Open,T55,PGA Tour,U.S. Open,3,Major,Travelers Championship,T29,1.4,-0.05
BRADLEY,KEEGAN,PGA,PGA Tour,Charles Schwab Challenge,T14,PGA Tour,the Memorial Tournament presented by Workday,T35,PGA Tour,U.S. Open,T19,Major,Travelers Championship,T26,PGA Tour,John Deere Classic,T32,1.38,0.43
ABERG,LUDVIG,PGA,PGA Tour,PGA Championship,T4,Major,Charles Schwab Challenge,T17,PGA Tour,the Memorial Tournament presented by Workday,39,PGA Tour,U.S. Open,T17,Major,Travelers Championship,T55,1.37,-0.45
GERARD,RYAN,PGA,PGA Tour,PGA Championship,T70,Major,Charles Schwab Challenge,T10,PGA Tour,the Memorial Tournament presented by Workday,2,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T44,1.35,0.44
ENGLISH,HARRIS,PGA,PGA Tour,Truist Championship,T24,PGA Tour,PGA Championship,T18,Major,the Memorial Tournament presented by Workday,T17,PGA Tour,U.S. Open,CUT,Major,Travelers Championship,T38,1.34,-0.02
VINCENT,SCOTT,LIV,LIV Golf,Mexico City,15,LIV Golf,Virginia,4,LIV Golf,Korea,T8,LIV Golf,Andalucia,T10,LIV Golf,International Series Morocco presented by Visit Morocco,5,1.33,1.05
MCNEALY,MAVERICK,PGA,PGA Tour,Truist Championship,T32,PGA Tour,PGA Championship,T37,Major,the Memorial Tournament presented by Workday,T18,PGA Tour,U.S. Open,T55,Major,Travelers Championship,T10,1.33,-0.1
JOHNSON,DUSTIN,LIV,LIV Golf,Virginia,T5,LIV Golf,PGA Championship,T18,Major,Korea,T44,LIV Golf,Andalucia,T32,LIV Golf,U.S. Open,4,1.33,0.9
SUBER,JACKSON,PGA,PGA Tour,Charles Schwab Challenge,T30,PGA Tour,RBC Canadian Open,T67,PGA Tour,U.S. Open,T4,Major,Travelers Championship,T6,PGA Tour,John Deere Classic,CUT,1.3,1.26
MITCHELL,KEITH,PGA,PGA Tour,Charles Schwab Challenge,T22,PGA Tour,RBC Canadian Open,CUT,PGA Tour,U.S. Open,T29,Major,Travelers Championship,T51,PGA Tour,John Deere Classic,T4,1.29,0.52
GHIM,DOUG,PGA,PGA Tour,ONEflight Myrtle Beach Classic,T19,PGA Tour,THE CJ CUP Byron Nelson,T31,PGA Tour,Charles Schwab Challenge,T28,PGA Tour,RBC Canadian Open,T15,PGA Tour,John Deere Classic,T6,1.27,0.84
HENLEY,RUSSELL,PGA,PGA Tour,PGA Championship,T65,Major,Charles Schwab Challenge,CUT,PGA Tour,the Memorial Tournament presented by Workday,1,PGA Tour,U.S. Open,T12,Major,Travelers Championship,T22,1.24,-0.54
POSTON,J.T.,PGA,PGA Tour,Charles Schwab Challenge,69,PGA Tour,the Memorial Tournament presented by Workday,T35,PGA Tour,U.S. Open,1,Major,Travelers Championship,T51,PGA Tour,John Deere Classic,T4,1.23,0.57
SCHAUFFELE,XANDER,PGA,PGA Tour,Truist Championship,T60,PGA Tour,PGA Championship,T7,Major,the Memorial Tournament presented by Workday,T29,PGA Tour,U.S. Open,T11,Major,Travelers Championship,T51,1.23,-0.69
WALLACE,MATT,PGA,PGA Tour,Truist Championship,T37,PGA Tour,PGA Championship,T44,Major,RBC Canadian Open,CUT,PGA Tour,DS Automobiles 83° Open d’Italia,2,DP World Tour,John Deere Classic,T33,1.2,0.73
SHERWOOD,COLE,KFT,Korn Ferry Tour,Colonial Life Charity Classic,2,Korn Ferry Tour,Visit Knoxville Open,T15,Korn Ferry Tour,BMW Charity Pro-Am Presented by TD SYNNEX,T7,Korn Ferry Tour,OccuNet Classic presented by Amarillo National Bank,1,Korn Ferry Tour,Memorial Health Championship presented by LRS,T14,1.2,1.34
BHATIA,AKSHAY,PGA,PGA Tour,PGA Championship,T17,Major,Charles Schwab Challenge,CUT,PGA Tour,the Memorial Tournament presented by Workday,T28,PGA Tour,U.S. Open,T5,Major,Travelers Championship,CUT,1.14,-0.14
HARMAN,BRIAN,PGA,PGA Tour,PGA Championship,T60,Major,Charles Schwab Challenge,T22,PGA Tour,the Memorial Tournament presented by Workday,CUT,PGA Tour,U.S. Open,T32,Major,Travelers Championship,T25,1.09,0.43
BRIDGEMAN,JACOB,PGA,PGA Tour,the Memorial Tournament presented by Workday,T47,PGA Tour,RBC Canadian Open,T34,PGA Tour,U.S. Open,T11,Major,Travelers Championship,T26,PGA Tour,John Deere Classic,T39,1.05,0.07
