Last Name,First Name,Fairway shots- 50-100yrd,Fairway shots- 50-100yrd value,Fairway shots- 100-150yrd,Fairway shots- 100-150yrd Value,Fairway shots- 150-200yrd,Fairway shots- 150-200yrd value,Fairway shots- Over 200yrd,Fairway shots- Over 200yrd value,Rough shots- Under 150yrd,Rough shots- Under 150yrd value,Rough shots- Over 150yrd,Rough shots- Over 150yrd value
SCHEFFLER,SCOTTIE,115,0.085,323,0.042,435,0.055,234,0.05,110,0.026,134,0.061
WARING,PAUL,20,-0.032,53,0.088,72,-0.039,35,-0.045,24,0.031,31,0.037
BRAMLETT,JOSEPH,17,-0.019,59,0.076,79,0.013,32,-0.058,36,0.036,21,-0.22
FITZPATRICK,ALEX,40,-0.004,100,0.071,167,0.019,96,0.052,40,0.093,41,-0.016
RAI,AARON,66,-0.102,271,0.068,417,0.044,206,0.046,58,0.043,76,-0.065
BRIDGEMAN,JACOB,109,-0.008,370,0.068,524,0.024,279,-0.021,138,0.041,175,-0.012
HENLEY,RUSSELL,89,0.053,287,0.066,459,0.032,210,0.047,87,0.049,89,-0.036
SIMPSON,WEBB,41,0.052,125,0.065,170,-0.055,69,0.052,69,-0.031,69,-0.035
CANTLAY,PATRICK,78,0.034,231,0.064,357,0.029,187,0.04,119,0.01,109,0.038
BURNS,SAM,140,0.042,357,0.063,477,0.022,235,0.011,144,0.032,142,-0.02
BLANCHET,CHANDLER,58,0.001,167,0.062,257,-0.032,121,0.064,70,-0.035,73,-0.058
ABERG,LUDVIG,77,0.072,293,0.062,415,0.004,202,0.023,127,0.051,107,0.055
JOHNSON,ZACH,36,0.042,103,0.061,147,-0.055,64,0.059,17,0.009,27,0.025
CONNERS,COREY,78,0.016,331,0.058,494,0.046,248,0.055,106,-0.01,121,-0.051
KOHLES,BEN,49,0.044,195,0.057,258,0.035,131,0.096,43,0.106,50,0.038
KIRK,CHRIS,71,0.074,225,0.057,321,-0.002,152,0.057,119,0.018,99,-0.013
MORIKAWA,COLLIN,73,0.068,263,0.055,392,0.04,192,0.078,97,0.032,92,0.006
HOVLAND,VIKTOR,80,0.061,233,0.055,406,0.051,228,0.019,92,-0.03,123,0.012
MERRITT,TROY,35,-0.068,107,0.051,144,-0.01,72,0.004,64,-0.032,44,-0.17
REED,PATRICK,44,0.08,99,0.05,108,0.017,57,-0.007,46,0.061,46,0.004
KEEFER,JOHNNY,90,0.045,248,0.05,323,0.031,133,-0.041,135,0.051,96,0.005
SMOTHERMAN,AUSTIN,53,0.039,162,0.049,296,0.019,119,0.068,57,0.071,79,0.05
RYDER,SAM,69,0.038,213,0.045,321,0.019,132,-0.014,105,0.033,95,0
LOWRY,SHANE,85,0.048,269,0.045,360,0.029,181,0.057,94,0.04,125,0.026
SIGG,GREYSON,21,0.062,120,0.044,127,0.001,49,0.069,33,0.004,35,0.036
KIM,SI WOO,109,0.005,307,0.043,502,0.079,279,0.092,115,-0.014,130,0.017
PIERCY,SCOTT,19,-0.063,51,0.043,59,-0.04,34,-0.018,34,0.097,NULL,NULL
GHIM,DOUG,87,0.04,247,0.042,335,-0.021,139,-0.016,110,-0.014,74,-0.049
SALINDA,ISAIAH,44,-0.017,131,0.042,171,-0.01,86,-0.041,60,-0.073,50,-0.01
KIM,TOM,81,0.021,272,0.042,449,0.022,185,-0.008,127,0.041,139,0.029
SCHEFFLER,SCOTTIE,115,0.085,323,0.042,435,0.055,234,0.05,110,0.026,134,0.061
EWART,A.J.,61,0.01,158,0.041,260,0.018,110,-0.029,105,0.024,82,0.004
MCILROY,RORY,55,-0.008,200,0.041,234,0.009,137,0.088,128,0.011,86,0.101
MUNOZ,SEBASTIAN,68,0.002,226,0.04,238,0.03,132,0.07,79,-0.016,56,0.002
STOUT,PRESTON,12,-0.02,39,0.039,63,-0.001,NULL,NULL,18,-0.155,NULL,NULL
THOMAS,JUSTIN,76,0.005,252,0.039,380,-0.02,183,0.015,147,0.013,118,0.024
