course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,adj_penalties,adj_ob
"ACCORDIA GOLF Narashino Country Club",70,7032,476,169,-1.28,-0.12,0.04,-0.35,287,18.1,0.5476,0.013,0.001,0.055,-0.014,30,0.36,0.33,0.43,0.0306,0.6979,0.038,0.066,-0.037,0.016,0.018,-0.008,0.051,0.011,0.26,0.03
"Albany GC",72,7313,490,188,-1.07,0.02,0.02,-0.26,301.2,17.5,0.683,0.014,-0.032,0.003,0.025,39.1,0.51,0.22,0.35,0.092,0.6135,0.002,0.003,-0.047,-0.018,-0.066,-0.014,0.044,0.033,0.68,0.19
"Arnold Palmer's Bay Hill Club &amp; Lodge",72,7350,465,208,1.07,0.17,0.15,-0.29,282.5,18.3,0.6004,-0.002,-0.008,-0.049,-0.035,33.9,0.41,0.35,0.3,0.0567,0.5737,-0.048,-0.049,0.001,-0.07,0.012,0.001,0.001,-0.009,0.67,0.14
"Aronimink Golf Club",70,7086,450,199,0.74,0.16,0.06,-0.33,291.4,18.1,0.6105,-0.008,-0.069,-0.014,0.014,35.3,0.35,0.31,0.43,0.0047,0.676,-0.028,-0.003,-0.065,-0.109,-0.036,-0.004,-0.014,-0.011,0.09,0.01
"Augusta National Golf Club",72,7492,483,182,1.94,0.17,0.22,-0.24,295.7,20.9,0.7128,-0.023,-0.088,-0.056,0.02,52.7,0.38,0.27,0.42,0.0252,0.5826,-0.079,-0.046,-0.111,-0.029,-0.037,-0.003,-0.025,-0.055,0.54,0.04
"Austin Country Club",71,6899,449,179,-2.09,0,-0.07,-0.52,300.8,21.4,0.5859,0.005,0.016,0.012,0.035,33.3,0.29,0.16,0.37,0.0518,0.7087,0,0.021,0.013,0.024,0.011,0.002,0.018,-0.001,0.59,0.06
"Baltusrol GC",70,7282,461,207,0.88,0.06,0.09,-0.25,280.6,18.2,0.5881,-0.005,0.018,0.048,-0.022,30.2,0.36,0.33,0.41,0.0336,0.6803,0.009,0.064,0.018,-0.027,0.05,-0.002,-0.021,0.002,0.22,0.02
"Bellerive CC",70,7248,462,195,0.42,0.08,0.05,-0.27,284.9,18.6,0.6484,0.004,0.004,0.033,0.003,34.6,0.41,0.4,0.36,0.0527,0.65,0.032,0.034,0.015,-0.039,0.019,-0.002,0.013,0.004,0.44,0.01
"Bethpage Black",71,7355,469,196,2.11,0.16,0.18,-0.23,287.7,17.2,0.5699,-0.01,-0.001,-0.027,-0.008,30.6,0.44,0.35,0.53,0.0059,0.5818,-0.023,-0.028,-0.009,0.002,-0.005,-0.003,-0.023,-0.012,0.08,0.03
"Black Desert Resort",71,7236,470,167,-1.96,-0.06,-0.04,-0.43,302.7,21.5,0.8424,-0.011,-0.025,0.029,0.117,48.8,0.53,0.28,0.49,0.1618,0.7534,0.003,0.04,-0.028,0.003,-0.049,-0.001,-0.03,-0.012,0.57,0.2
