player_name,events_played,rounds_played,rounds_played_w_shotlink,win,top_5,top_10,top_25,putt_mean,putt_rank,putt_perc_05,putt_perc_25,putt_median,putt_perc_75,putt_perc_95,putt_std_dev,arg_mean,arg_rank,arg_perc_05,arg_perc_25,arg_median,arg_perc_75,arg_perc_95,arg_std_dev,app_mean,app_rank,app_perc_05,app_perc_25,app_median,app_perc_75,app_perc_95,app_std_dev,ott_mean,ott_rank,ott_perc_05,ott_perc_25,ott_median,ott_perc_75,ott_perc_95,ott_std_dev,bs_mean,bs_rank,bs_perc_05,bs_perc_25,bs_median,bs_perc_75,bs_perc_95,bs_std_dev,t2g_mean,t2g_rank,t2g_perc_05,t2g_perc_25,t2g_median,t2g_perc_75,t2g_perc_95,t2g_std_dev,total_mean,total_rank,total_perc_05,total_perc_25,total_median,total_perc_75,total_perc_95,total_std_dev,total_no_am_mean,total_no_am_rank,total_no_am_perc_05,total_no_am_perc_25,total_no_am_median,total_no_am_perc_75,total_no_am_perc_95,total_no_am_std_dev,dist_mean,dist_rank,dist_perc_05,dist_perc_25,dist_median,dist_perc_75,dist_perc_95,dist_std_dev,acc_mean,acc_rank,acc_perc_05,acc_perc_25,acc_median,acc_perc_75,acc_perc_95,acc_std_dev
"Scheffler, Scottie",21,84,82,4,15,16,21,0.671,6,-1.576,-0.354,0.577,1.682,3.305,1.593,0.474,4,-0.945,-0.177,0.526,0.993,2.525,1.019,1.146,2,-1.057,0.369,1.075,1.924,3.162,1.402,0.888,4,-0.700,0.400,0.945,1.435,1.841,0.759,2.034,2,-0.707,1.271,2.082,3.060,4.546,1.596,2.508,1,-0.605,1.452,2.497,3.724,5.387,1.746,3.201,1,-0.732,1.686,3.445,4.896,6.619,2.267,3.201,1,-0.732,1.686,3.445,4.896,6.619,2.267,8.926,25,-8.959,3.542,8.734,15.058,23.570,9.245,0.054,21,-0.114,-0.027,0.046,0.150,0.230,0.127
"McIlroy, Rory",21,82,78,2,7,9,16,0.531,12,-1.974,-0.805,0.415,2.034,2.693,1.563,0.201,29,-1.350,-0.426,0.408,0.833,2.227,1.072,0.562,23,-1.998,-0.278,1.094,1.518,3.148,1.669,0.963,1,-0.667,0.584,1.169,1.517,2.023,0.899,1.526,3,-0.840,0.686,1.812,2.846,3.909,1.752,1.726,5,-0.835,0.651,2.069,3.297,4.537,2.076,2.187,2,-1.293,0.701,1.901,4.145,6.017,2.402,2.187,2,-1.293,0.701,1.901,4.145,6.017,2.402,20.580,2,3.349,16.636,21.791,28.617,39.751,10.588,-0.028,116,-0.242,-0.167,-0.021,0.017,0.109,0.105
"Rahm, Jon",20,71,70,2,12,14,16,0.343,24,-2.636,-0.608,0.636,1.632,2.757,1.747,0.299,16,-1.456,-0.323,0.233,0.863,2.058,1.043,0.699,15,-1.456,-0.175,0.674,1.740,3.694,1.601,0.824,5,-0.469,0.115,0.765,1.403,2.307,0.896,1.523,4,-0.432,0.563,1.351,2.564,4.443,1.652,1.822,2,-1.239,0.773,2.034,3.165,4.408,1.912,2.161,3,-1.438,1.138,2.517,3.510,5.293,2.276,2.161,3,-1.438,1.138,2.517,3.510,5.293,2.276,12.556,14,-4.012,4.768,10.485,17.969,28.119,11.491,0.009,74,-0.218,-0.076,0.003,0.094,0.175,0.115
"Fitzpatrick, Matt",27,107,102,4,11,14,21,0.323,25,-2.316,-0.805,0.301,1.108,3.764,1.683,0.673,1,-0.639,-0.057,0.579,1.197,2.715,0.960,0.816,8,-1.252,0.177,0.954,1.544,3.121,1.383,0.306,44,-1.567,-0.204,0.632,0.998,1.655,0.974,1.122,12,-1.404,-0.167,1.296,2.405,3.951,1.759,1.795,3,-0.901,0.773,2.034,2.993,4.742,1.788,2.066,4,-1.366,0.490,2.041,3.603,6.061,2.319,2.066,4,-1.366,0.490,2.041,3.603,6.061,2.319,0.868,70,-18.055,-6.719,0.809,5.894,17.123,10.439,0.049,24,-0.128,-0.032,0.056,0.141,0.282,0.113
"Fleetwood, Tommy",26,101,98,2,9,12,19,0.541,11,-1.844,-0.531,0.527,1.656,2.633,1.628,0.317,11,-1.036,-0.123,0.381,0.832,1.934,0.980,0.606,21,-1.767,-0.254,0.801,1.330,2.635,1.350,0.579,17,-0.539,0.221,0.646,1.091,1.734,0.709,1.185,10,-1.331,0.492,1.312,2.056,3.476,1.528,1.502,9,-1.956,0.798,1.715,2.760,4.488,1.824,2.021,5,-2.690,0.200,2.417,3.930,5.471,2.541,2.021,5,-2.690,0.200,2.417,3.930,5.471,2.541,0.896,69,-14.747,-7.440,0.203,5.989,16.041,9.196,0.087,5,-0.081,-0.001,0.081,0.180,0.298,0.104
"Schauffele, Xander",19,74,69,1,3,8,13,0.219,40,-1.920,-0.954,0.115,1.336,2.593,1.425,0.130,42,-1.453,-0.454,0.161,0.794,1.498,0.937,0.718,13,-1.650,-0.434,0.524,1.701,2.897,1.541,0.761,6,-0.926,0.219,0.988,1.388,2.067,0.944,1.479,6,-0.775,0.382,1.253,2.654,4.207,1.667,1.608,7,-1.358,0.120,1.433,2.884,4.908,2.025,1.919,6,-1.708,0.036,1.792,4.374,5.837,2.476,1.919,6,-1.708,0.036,1.792,4.374,5.837,2.476,12.371,16,-6.408,6.578,13.529,18.926,27.216,11.470,0.009,72,-0.220,-0.081,0.012,0.105,0.203,0.143
"Aberg, Ludvig",23,88,85,0,6,10,18,0.348,23,-2.047,-0.688,0.205,1.450,2.648,1.424,0.240,21,-1.483,-0.077,0.284,0.898,1.629,0.933,0.697,16,-1.945,-0.258,0.651,2.001,3.825,1.704,0.617,14,-0.679,0.062,0.833,1.243,2.006,0.930,1.315,9,-2.206,0.335,1.336,2.897,4.478,1.885,1.555,8,-2.070,0.433,1.469,3.352,4.685,2.173,1.813,7,-2.750,0.126,1.799,3.448,6.445,2.703,1.813,7,-2.750,0.126,1.799,3.448,6.445,2.703,12.439,15,0.233,6.837,12.771,19.184,32.633,9.601,0.026,51,-0.161,-0.038,0.026,0.115,0.214,0.111
"Cantlay, Patrick",19,68,65,0,1,5,10,0.105,57,-2.480,-0.772,0.036,0.981,2.660,1.568,0.312,15,-1.259,-0.428,0.334,0.913,2.005,1.005,0.750,11,-1.536,-0.332,0.379,1.732,3.673,1.635,0.425,32,-1.004,-0.128,0.502,1.008,1.612,0.806,1.175,11,-1.535,-0.034,1.068,2.372,4.277,1.803,1.486,10,-0.921,0.008,1.431,2.721,5.083,1.923,1.578,8,-2.651,-0.152,1.663,3.524,5.794,2.529,1.578,8,-2.651,-0.152,1.663,3.524,5.794,2.529,2.244,58,-12.262,-4.243,2.882,8.070,18.508,9.576,0.002,86,-0.168,-0.082,-0.007,0.117,0.198,0.134
"Kim, Si Woo",30,112,100,0,8,11,18,-0.255,119,-3.247,-1.423,-0.190,0.894,2.486,1.658,0.326,10,-1.108,-0.346,0.246,1.007,1.869,0.977,0.820,7,-1.736,-0.256,0.725,1.966,3.836,1.654,0.624,13,-0.361,0.153,0.616,1.021,1.620,0.624,1.444,8,-1.487,0.139,1.419,2.764,4.471,1.795,1.770,4,-1.151,0.406,1.853,3.056,4.759,1.798,1.565,9,-2.315,0.020,1.277,3.416,5.304,2.468,1.565,9,-2.315,0.020,1.277,3.416,5.304,2.468,-3.768,104,-20.201,-8.942,-3.636,1.549,12.427,8.939,0.099,4,-0.076,0.018,0.081,0.182,0.319,0.116
"Gotterup, Chris",26,102,97,4,5,9,16,0.479,15,-1.947,-0.573,0.445,1.309,3.251,1.618,0.025,63,-1.671,-0.686,-0.032,0.670,1.704,1.057,0.348,41,-2.531,-0.900,0.317,1.742,3.083,1.709,0.738,7,-0.736,0.064,0.816,1.346,2.177,0.927,1.086,14,-2.138,-0.286,1.093,2.332,4.027,1.920,1.111,14,-3.460,-0.128,1.276,2.678,4.338,2.289,1.525,10,-3.346,-0.289,1.047,3.265,6.166,2.822,1.525,10,-3.346,-0.289,1.047,3.265,6.166,2.822,15.831,7,-4.908,8.628,16.034,23.247,38.538,12.948,-0.047,136,-0.283,-0.130,-0.053,0.042,0.161,0.134
