Last Name,First Name,Events,Rounds,shotlink-rounds,Wins,WIN%,SG-PUTT,SG-ARG,SG-APP,SG-OTT,SG-T2G,SG-OTT,ev-text 7,Driving-Distance,Driving-Accuracy
SCHEFFLER,SCOTTIE,21,84,82,4,19%,0.67,0.47,1.15,0.89,2.03,2.51,3.2,8.9,5.40%
MCILROY,RORY,21,82,78,2,10%,0.53,0.2,0.56,0.96,1.53,1.73,2.19,20.6,-2.80%
RAHM,JON,20,71,70,2,10%,0.34,0.3,0.7,0.82,1.52,1.82,2.16,12.6,0.90%
FITZPATRICK,MATT,27,107,102,4,15%,0.32,0.67,0.82,0.31,1.12,1.79,2.07,0.9,4.90%
FLEETWOOD,TOMMY,26,101,98,2,8%,0.54,0.32,0.61,0.58,1.19,1.5,2.02,0.9,8.70%
SCHAUFFELE,XANDER,19,74,69,1,5%,0.22,0.13,0.72,0.76,1.48,1.61,1.92,12.4,0.90%
ABERG,LUDVIG,23,88,85,0,0%,0.35,0.24,0.7,0.62,1.31,1.55,1.81,12.4,2.60%
CANTLAY,PATRICK,19,68,65,0,0%,0.11,0.31,0.75,0.42,1.17,1.49,1.58,2.2,0.20%
KIM,SI WOO,30,112,100,0,0%,-0.25,0.33,0.82,0.62,1.44,1.77,1.56,-3.8,9.90%
GOTTERUP,CHRIS,26,102,97,4,15%,0.48,0.02,0.35,0.74,1.09,1.11,1.52,15.8,-4.70%
SPAUN,J.J.,25,84,79,1,4%,-0.23,0.23,0.98,0.48,1.46,1.68,1.47,-0.2,4.60%
KNAPP,JAKE,16,58,57,0,0%,0.78,-0.08,0.13,0.59,0.72,0.64,1.45,15.2,-0.70%
MACINTYRE,ROBERT,27,100,95,1,4%,0.66,0.19,-0.04,0.49,0.45,0.64,1.42,2.6,0.30%
HOVLAND,VIKTOR,23,86,86,1,4%,0.22,0.17,0.82,0.21,1.03,1.2,1.42,-0.5,5.80%
ENGLISH,HARRIS,24,92,88,0,0%,0.72,0.17,0.07,0.42,0.49,0.66,1.36,1.7,4.10%
CLARK,WYNDHAM,25,90,81,2,8%,0.47,0.47,0.5,0.06,0.56,1.04,1.32,5.4,-3.30%
KITAYAMA,KURT,24,93,83,1,4%,-0.02,-0.06,0.91,0.58,1.49,1.43,1.3,10.9,0.50%
NOREN,ALEX,27,95,88,2,7%,0.83,0.14,0.32,0.11,0.43,0.56,1.28,-7.5,5.10%
LOWRY,SHANE,27,98,98,0,0%,0.14,-0.02,0.88,0.17,1.04,1.02,1.16,-1.2,1.80%
THOMAS,JUSTIN,18,70,70,0,0%,0.14,0.59,0.21,0.19,0.4,0.99,1.13,3,-2.30%
HOJGAARD,NICOLAI,29,102,97,0,0%,0.1,0.04,0.51,0.4,0.91,0.95,1.08,17.6,-3.90%
LEE,MIN WOO,23,82,68,0,0%,0.12,0.31,0,0.54,0.54,0.86,1.06,13.9,1.60%
REITAN,KRISTOFFER,31,113,109,2,6%,0.35,-0.18,0.07,0.68,0.75,0.57,0.97,8.1,0.40%
RAI,AARON,24,88,88,2,8%,-0.25,0.22,0.76,0.23,0.99,1.21,0.96,-12.3,11.70%
SCOTT,ADAM,24,90,71,0,0%,-0.17,0.01,0.77,0.31,1.08,1.1,0.95,9,-2.50%
HALL,HARRY,27,91,86,0,0%,0.63,0.41,0.11,-0.17,-0.06,0.35,0.95,-1.7,-3.20%
GERARD,RYAN,32,114,98,1,3%,-0.03,-0.11,0.62,0.18,0.8,0.69,0.92,-0.4,3.20%
HATTON,TYRRELL,24,86,78,1,4%,-0.05,0.03,0.6,0.19,0.78,0.82,0.84,3.7,-4.10%
MEISSNER,MAC,27,94,84,0,0%,0.25,0.24,0.3,0.1,0.4,0.64,0.84,2,-1.10%
TAYLOR,NICK,25,92,88,0,0%,0.19,0.32,0.33,0.02,0.35,0.67,0.84,-5.7,3.70%
PUIG,DAVID,28,98,78,1,4%,0.58,-0.06,-0.27,0.68,0.41,0.35,0.74,15.4,-3.70%
SMALLEY,ALEX,28,96,84,0,0%,0.18,-0.07,0.35,0.21,0.55,0.48,0.74,3.4,1.30%
REED,PATRICK,27,92,68,2,7%,0.09,0.27,0.52,0.07,0.59,0.86,0.71,-3.9,-1.10%
MCCARTY,MATT,29,100,89,0,0%,0.28,-0.07,0.26,0.11,0.37,0.29,0.71,-4.5,1.50%
CAULEY,BUD,25,91,84,1,4%,-0.14,0.29,0.37,0.21,0.59,0.87,0.68,-1.8,2.60%
HARMAN,BRIAN,25,93,90,0,0%,0.12,0.19,0.39,0,0.39,0.58,0.67,-4.9,3.70%
AYORA,ANGEL,33,118,84,0,0%,-0.11,-0.08,0.23,0.64,0.87,0.79,0.65,11.6,-0.20%
CONNERS,COREY,24,90,90,0,0%,-0.22,0.02,0.62,0.23,0.84,0.86,0.64,-1.9,6.70%
HOJGAARD,RASMUS,24,86,77,0,0%,0.51,-0.17,0.11,0.27,0.38,0.21,0.64,14.6,-4.40%
THEEGALA,SAHITH,28,102,90,0,0%,0.01,0.35,0.23,0,0.23,0.57,0.63,3.2,-3.00%
LINDELL,OLIVER,29,112,86,0,0%,0.27,0.06,0.72,-0.27,0.45,0.52,0.62,-5.5,0.60%
