position,player_name,course,score,thru,today,sg_ott,distance,accuracy,sg_app,gir,prox_fw,prox_rgh,sg_putt,sg_arg,scrambling,great_shots,poor_shots,sg_total,sg_t2g,sg_bs
1,"Kim, Tom",AN,-17,18,-6,0.6024999999999999,292.925,0.5769225,2.16,0.8194425,33.64118813559322,26.762987499999998,0.9099999999999999,0.29750000000000004,0.736841052631579,4.5,2.75,3.9724999999999997,3.0575,2.76
2,"Lee, Min Woo",AN,-15,18,-3,0.9624999999999999,307.275,0.5769200000000001,1.0675000000000001,0.76389,34.45186226415095,70.87971999999999,1.2025000000000001,0.245,0.7200004,5,1.5,3.4724999999999997,2.27,2.0250000000000004
T3,"Nakajima, Keita",AN,-13,18,-3,0.41500000000000004,296.05,0.6153825,0.585,0.7777775,36.46920172413793,21.6720625,1.68,0.2925,0.7083333333333333,4,2,2.9724999999999997,1.29,0.9975
T3,"Keefer, Johnny",AN,-13,18,-3,0.6225,302.075,0.5961525000000001,1.2875,0.805555,30.40108431372549,54.23773846153846,0.8525,0.20749999999999996,0.6956543478260869,4.25,2.75,2.9724999999999997,2.12,1.9075
T3,"Fitzpatrick, Matt",AN,-13,18,-1,0.05,290.425,0.5769225,2.0375,0.819445,29.858449090909087,45.30656666666666,1.145,-0.26499999999999996,0.6111133333333333,5.25,3.5,2.9724999999999997,1.8275000000000001,2.0925000000000002
T3,"MacIntyre, Robert",AN,-13,18,-1,0.1125,293.75,0.5384625000000001,2.355,0.8333325,26.746594545454542,60.74132727272727,0.41500000000000004,0.08499999999999999,0.625,3.75,1.75,2.9724999999999997,2.5574999999999997,2.4724999999999997
T7,"McIlroy, Rory",AN,-12,18,-6,1.52,311.79999999999995,0.6153825,-0.38500000000000006,0.6666675,35.76367843137255,84.38034545454545,1.09,0.4950000000000001,0.7187515625,6.5,3,2.7225,1.63,1.135
T7,"Thorbjornsen, Michael",AN,-12,18,-1,0.5875,296.6,0.596155,0.545,0.777775,32.25961090909091,54.66332,0.29,1.2975,0.680002,4.75,2.25,2.7224999999999997,2.4325,1.1324999999999998
T9,"Perez, Victor",AN,-11,18,-4,0.6174999999999999,298.475,0.55769,0.4,0.76389,32.73368653846154,43.62121666666666,1.475,-0.019999999999999962,0.64,3,1.75,2.4725,0.9975,1.0175
T9,"Kim, Si Woo",AN,-11,18,-4,0.5549999999999999,293.55,0.7115374999999999,0.4600000000000001,0.73611,31.573891379310346,110.79102,0.8825000000000001,0.5675,0.739131304347826,3.25,2.5,2.4725,1.585,1.0175
T11,"Roy, Kevin",AN,-10,18,0,0.195,299.4,0.5000025,0.7525,0.6527775,35.36233333333333,48.960345454545454,0.25,1.0225,0.6774209677419354,3.25,3.5,2.2224999999999997,1.97,0.9475
T11,"Gotterup, Chris",AN,-10,18,1,0.9375000000000001,311.075,0.5000025,0.8075,0.7638875,25.727029411764704,91.02708461538462,0.4825,-0.0024999999999999467,0.6153861538461538,4,2.5,2.2224999999999997,1.7399999999999998,1.7425
T13,"Hovland, Viktor",AN,-9,18,-6,0.69,298.6,0.5961525,1.2475,0.73611,31.435649090909088,36.89872222222222,-0.5325000000000002,0.565,0.666667037037037,3.25,3.25,1.9725,2.5,1.9375
T13,"Reed, Patrick",AN,-9,18,-2,-0.1275,296.1,0.5000025,0.35000000000000003,0.7222225,29.30395,76.04025,1.1075000000000002,0.64,0.6785717857142857,3.75,3,1.9725000000000001,0.8600000000000001,0.21999999999999997
T13,"Fleetwood, Tommy",AN,-9,18,-2,0.55,294.55,0.653845,1.15,0.7083325,30.34649230769231,60.572990000000004,-0.245,0.5125,0.6666669999999999,3.5,1,1.9725000000000001,2.215,1.7025000000000001
T13,"Clark, Wyndham",AN,-9,18,1,0.255,301.325,0.48077000000000003,0.7425000000000002,0.7361125,28.012441509433962,67.7739875,0.8650000000000001,0.10749999999999997,0.8095223809523809,4.5,3,1.9724999999999997,1.105,1
