POS,Last Name,First Name,TOTAL,SG OTT,D. DISTANCE,D. ACCURACY,SG APP,GIR,FAIRWAY PROX.,ROUGH PROX.,SG PUTT,SG ARG,SCRAMBLING,GREAT SHOTS,POOR SHOTS,SG TOTAL,SG T2G,SG BS
1,GOTTERUP,CHRIS,-15,1.09,318.4,42.30%,0.18,72.20%,"34' 2""","60' 11""",1.83,0.74,69.00%,4,2,3.84,2.02,1.28
T2,MCILROY,RORY,-13,-0.04,318.6,42.30%,0.92,73.60%,"28' 5""","47' 2""",1.77,0.69,80.00%,7.25,4,3.34,1.57,0.88
T2,PENGE,MARCO,-13,1.16,323,46.20%,0.23,65.30%,"31' 2""","60' 7""",1.13,0.82,70.60%,5.5,2.5,3.34,2.21,1.39
T4,FITZPATRICK,MATT,-12,0.11,304,44.20%,0.45,68.10%,"34' 7""","67' 7""",1.74,0.79,71.40%,5.75,3.5,3.09,1.35,0.56
T4,HOJGAARD,NICOLAI,-12,1.09,316.4,42.30%,0.74,73.60%,"28' 4""","57' 9""",1.33,-0.07,59.30%,5,2.25,3.09,1.76,1.83
6,ROSE,JUSTIN,-11,0.62,300,55.80%,1.54,75.00%,"31' 3""","51' 3""",0.53,0.15,63.60%,3.75,2,2.84,2.32,2.17
7,STRAKA,SEPP,-10,-0.21,299.3,40.40%,0.06,65.30%,"33' 7""","57' 3""",1.83,0.91,70.60%,3.25,2.25,2.59,0.76,-0.15
T8,SCHAUFFELE,XANDER,-9,0.15,308.5,59.60%,2.29,76.40%,"26' 1""","71' 7""",-0.13,0.03,50.00%,5.75,2.75,2.34,2.47,2.44
T8,SCHEFFLER,SCOTTIE,-9,0.72,307.9,53.80%,1.5,70.80%,"28' 11""","56' 10""",-0.36,0.49,73.90%,4.25,3.5,2.34,2.71,2.21
T8,ABERG,LUDVIG,-9,0.45,303.8,59.60%,0.65,75.00%,"35' 1""","58' 5""",1.15,0.09,73.10%,7,4.25,2.34,1.19,1.1
