position,player_name,course,score,thru,today,sg_ott,distance,accuracy,sg_app,gir,prox_fw,prox_rgh,sg_putt,sg_arg,scrambling,great_shots,poor_shots,sg_total,sg_t2g,sg_bs
1,"McIlroy, Rory",AN,-10,18,-5,2.05,327.1,0.71429,1.82,0.83333,29.4411,98.2751,0.69,0.44,0.875,11,2,5.00,4.31,3.87
2,"Hojgaard, Rasmus",AN,-9,18,-4,-0.42,315.2,0.28571,2.93,0.77778,22.1834,31.0882,1.77,-0.28,0.75,9,3,4.00,0.72,0.50
T3,"Kim, Tom",AN,-8,18,-3,1.12,306.8,0.71429,1.38,0.72222,27.4411,85.2211,0.44,0.06,0.71429,8,3,3.00,2.94,2.50
T3,"MacIntyre, Robert",AN,-8,18,-5,1.08,296.4,0.64286,2.11,0.83333,25.1034,61.4422,1.42,0.39,0.875,10,2,5.00,3.92,3.19
T5,"Wiesberger, Bernd",AN,-7,18,-2,-0.38,289.6,0.5,1.04,0.61111,24.8823,138.7341,0.83,0.51,0.66667,7,4,2.00,1.94,0.66
T5,"Cantlay, Patrick",AN,-7,18,-2,0.24,308.4,0.57143,0.57,0.61111,27.9923,29.8741,0.45,0.74,0.77778,8,3,2.00,1.55,0.81
T5,"Fitzpatrick, Matt",AN,-7,18,-4,0.71,281.3,0.85714,1.97,0.72222,23.5512,61.2231,−0.15,0.47,0.66667,9,3,4.00,3.15,2.68
T5,"Fleetwood, Tommy",AN,-7,18,-4,1.43,294.7,0.64286,1.55,0.77778,26.3341,44.8821,0.77,0.25,0.75,9,2,4.00,3.23,2.98
T9,"Koepka, Brooks",AN,-6,18,-2,-0.31,299.2,0.5,0.89,0.72222,20.8821,44.2211,0.79,0.63,0.5,7,5,2.00,1.52,0.58
T9,"Kitayama, Kurt",AN,-6,18,-2,0.55,308.1,0.57143,0.91,0.55556,28.9923,67.4451,0.36,0.18,0.72727,8,3,2.00,1.64,1.46
T9,"Scheffler, Scottie",AN,-6,18,-4,0.44,284.8,0.71429,2.08,0.77778,21.7741,19.8821,1.37,0.11,0.66667,9,3,4.00,3.63,2.52
T9,"Hovland, Viktor",AN,-6,18,-4,1.38,291.9,0.64286,1.44,0.72222,25.1122,43.5512,0.87,0.31,0.75,9,2,4.00,3.13,2.82
T9,"Spaun, J.J.",AN,-6,18,-4,0.09,283.4,0.64286,1.78,0.72222,23.4411,38.2211,1.71,0.42,0.71429,8,3,4.00,3.91,3.00
