HOLE,PAR,YARDS,AVG,RANK,+/-,EAGLES,BIRDIES,PARS,BOGEYS,DBL+
1,5,601,4.634,14,-0.366,5,54,48,9,2
2,4,516,4.183,3,+0.183,0,10,47,12,2
3,3,201,2.887,12,-0.113,0,19,49,4,0
4,4,426,3.732,15,-0.268,0,32,36,3,1
5,3,152,2.817,13,-0.183,0,24,41,6,0
6,4,488,4.014,9,+0.014,0,13,48,10,0
7,5,575,4.634,14,-0.366,3,41,25,3,0
8,4,429,4.098,5,+0.098,1,11,45,12,2
9,3,210,3.127,4,+0.127,0,8,52,11,1
10,4,472,4.028,9,+0.028,0,14,49,7,1
11,4,474,4.239,2,+0.239,0,7,45,18,1
12,5,586,4.577,18,-0.423,1,42,26,3,0
13,4,406,4.056,7,+0.056,0,11,52,8,1
14,4,324,3.676,17,-0.324,0,34,35,3,0
15,3,154,2.972,11,-0.028,0,9,57,5,0
16,4,508,4.042,8,+0.042,0,11,52,8,0
17,3,190,3.070,6,+0.070,0,7,57,7,0
18,4,466,4.225,1,+0.225,0,8,44,19,2
