POS,Player,R1,THRU,STROKES
1,Rory McIlroy,-10,F,65
2,Rasmus Hojgaard,-9,F,66
T3,Tom Kim,-8,F,67
T3,Robert MacIntyre,-8,F,65
T5,Bernd Wiesberger,-7,F,68
T5,Patrick Cantlay,-7,F,68
T5,Matt Fitzpatrick,-7,F,66
T5,Tommy Fleetwood,-7,F,66
T9,Brooks Koepka,-6,F,68
T9,Kurt Kitayama,-6,F,68
T9,Scottie Scheffler,-6,F,66
T9,Viktor Hovland,-6,F,66
T9,J.J. Spaun,-6,F,66
T9,Chris Gotterup,-6,F,66
T15,Wyndham Clark,-5,F,68
T15,Min Woo Lee,-5,F,69
T15,Andrew Novak,-5,F,69
T15,Corey Conners,-5,F,68
T15,Matt McCarty,-5,F,68
T15,Xander Schauffele,-5,F,66
T15,Adrian Meronk,-5,F,66
T22,Michael Thorbjornsen,-4,F,70
T22,Angel Ayora,-4,F,70
T22,Oliver Lindell,-4,F,70
T22,Keita Nakajima,-4,F,69
T22,Michael Brennan,-4,F,69
T22,Danny Willett,-4,F,69
T22,Ludvig Aberg,-4,F,68
T22,Haotong Li,-4,F,68
T22,Francesco Molinari,-4,F,68
T22,Jordan Smith,-4,F,68
T22,Andy Sullivan,-4,F,68
T22,Patrick Reed,-4,F,68
T22,Sam Stevens,-4,F,68
T22,Matti Schmid,-4,F,68
T22,Ryan Gerard,-4,F,68
T22,Guido Migliozzi,-4,F,68
T22,Jayden Schaper,-4,F,68
T22,Casey Jarvis,-4,F,68
T22,Nicolai Hojgaard,-4,F,68
T41,Joost Luiten,-3,F,70
T41,Tom McKibbin,-3,F,70
T41,Kevin Roy,-3,F,70
T41,Calum Hill,-3,F,70
T41,Zach Bauchou,-3,F,70
T41,Marcus Armitage,-3,F,69
T41,Davis Riley,-3,F,69
T41,Michael Kim,-3,F,69
T41,Rasmus Neergaard-Petersen,-3,F,69
T41,Angel Hidalgo,-3,F,69
T41,Shaun Norris,-3,F,69
T41,Max McGreevy,-3,F,68
T41,Grant Forrest,-3,F,68
T41,Victor Perez,-3,F,68
T41,Alex Noren,-3,F,68
T41,Justin Thomas,-3,F,68
T57,Sudarshan Yellamaraju,-2,F,70
T57,Johnny Keefer,-2,F,70
T57,Nico Echavarria,-2,F,70
T57,Mikael Lindberg,-2,F,69
T57,Scott Jamieson,-2,F,69
T57,Ockie Strydom,-2,F,69
T57,Nicolai Von Dellingshausen,-2,F,69
T64,Laurie Canter,-1,F,70
T64,Marcel Siem,-1,F,70
T64,Nacho Elvira,-1,F,70
T67,Brandt Snedeker,E,F,71
T67,Adam Scott,E,F,71
T67,Antoine Rozner,E,F,71
T70,Max Greyserman,+1,F,72
T70,Jacques Kruyswijk,+1,F,72
