POS,Player,TOT,THRU,R1,sg-ott,sg-ott (rank),sg-app to green,sg-app to green (rank),sg-around green,sg-around green (rank),sg-putting,sg-putting (Rank),sg-total,sg-total (rank)
1,Rory McIlroy,,F,-5,2.05,(2nd),1.82,(5th),0.44,(18th),0.69,(22nd),5.00,(1st)
2,Rasmus Hojgaard,,F,-4,-0.42,(61st),2.93,(2nd),-0.28,(58th),1.77,(6th),4.00,(2nd)
T3,Tom Kim,,F,-3,1.12,(14th),1.38,(9th),0.06,(35th),0.44,(31st),3.00,(T3)
T3,Robert MacIntyre,,F,-5,1.08,(15th),2.11,(3rd),0.39,(21st),1.42,(10th),5.00,(T3)
T5,Bernd Wiesberger,,F,-2,-0.38,(58th),1.04,(16th),0.51,(15th),0.83,(19th),2.00,(T5)
T5,Patrick Cantlay,,F,-2,0.24,(42nd),0.57,(27th),0.74,(10th),0.45,(30th),2.00,(T5)
T5,Matt Fitzpatrick,,F,-4,0.71,(22nd),1.97,(4th),0.47,(17th),-0.15,(54th),4.00,(T5)
T5,Tommy Fleetwood,,F,-4,1.43,(9th),1.55,(7th),0.25,(27th),0.77,(20th),4.00,(T5)
T9,Brooks Koepka,,F,-2,-0.31,(56th),0.89,(19th),0.63,(12th),0.79,(21st),2.00,(T9)
T9,Kurt Kitayama,,F,-2,0.55,(29th),0.91,(18th),0.18,(30th),0.36,(34th),2.00,(T9)
T9,Scottie Scheffler,,F,-4,0.44,(33rd),2.08,(T3rd),0.11,(32nd),1.37,(11th),4.00,(T9)
T9,Viktor Hovland,,F,-4,1.38,(10th),1.44,(8th),0.31,(24th),0.87,(18th),4.00,(T9)
T9,J.J. Spaun,,F,-4,0.09,(48th),1.78,(6th),0.42,(20th),1.71,(7th),4.00,(T9)
T9,Chris Gotterup,,F,-4,0.23,(43rd),1.03,(17th),1.28,(4th),1.46,(9th),4.00,(T9)
T15,Wyndham Clark,,F,-2,0.38,(37th),0.79,(21st),-0.46,(64th),1.29,(13th),2.00,(T15)
T15,Min Woo Lee,,F,-1,0.82,(20th),0.43,(32nd),-0.51,(66th),0.26,(38th),1.00,(T15)
T15,Andrew Novak,,F,-1,0.77,(21st),-0.14,(52nd),0.86,(9th),-0.49,(67th),1.00,(T15)
T15,Corey Conners,,F,-2,0.11,(46th),0.94,(T18th),0.55,(13th),0.40,(32nd),2.00,(T15)
T15,Matt McCarty,,F,-2,-0.09,(51st),0.62,(25th),0.49,(16th),0.98,(16th),2.00,(T15)
T15,Xander Schauffele,,F,-4,-0.37,(57th),1.61,(T6th),0.93,(8th),1.83,(5th),4.00,(T15)
T15,Adrian Meronk,,F,-4,0.06,(49th),1.29,(11th),1.41,(3rd),1.24,(14th),4.00,(T15)
T22,Michael Thorbjornsen,,F,E,1.42,(T9th),-0.88,(67th),1.57,(2nd),-0.11,(52nd),0.00,(T22)
T22,Angel Ayora,,F,E,0.61,(27th),0.12,(41st),0.46,(18th),-1.19,(71st),0.00,(T22)
T22,Oliver Lindell,,F,E,0.89,(18th),0.43,(33rd),0.14,(31st),-1.46,(72nd),0.00,(T22)
T22,Keita Nakajima,,F,-1,0.04,(50th),0.49,(30th),-0.08,(48th),0.55,(26th),1.00,(T22)
T22,Michael Brennan,,F,-1,1.18,(13th),0.07,(43rd),0.29,(25th),-0.54,(68th),1.00,(T22)
T22,Danny Willett,,F,-1,-0.44,(63rd),0.08,(42nd),1.73,(1st),-0.37,(62nd),1.00,(T22)
T22,Ludvig Aberg,,F,-2,1.51,(7th),0.52,(28th),-0.45,(63rd),0.42,(31st),2.00,(T22)
T22,Haotong Li,,F,-2,-0.18,(54th),0.88,(20th),0.27,(26th),1.03,(15th),2.00,(T22)
T22,Francesco Molinari,,F,-2,-0.26,(55th),0.73,(22nd),0.54,(14th),0.99,(15th),2.00,(T22)
T22,Jordan Smith,,F,-2,0.45,(32nd),0.51,(29th),0.21,(28th),0.83,(19th),2.00,(T22)
T22,Andy Sullivan,,F,-2,-0.08,(50th),0.69,(23rd),0.19,(29th),1.20,(T14th),2.00,(T22)
T22,Patrick Reed,,F,-2,0.62,(26th),0.40,(35th),0.38,(22nd),0.60,(25th),2.00,(T22)
T22,Sam Stevens,,F,-2,0.41,(34th),0.63,(24th),0.44,(19th),0.52,(28th),2.00,(T22)
T22,Matti Schmid,,F,-2,0.30,(39th),0.47,(31st),0.43,(19th),0.80,(20th),2.00,(T22)
T22,Ryan Gerard,,F,-2,0.29,(40th),0.80,(21st),-0.22,(57th),1.13,(T14th),2.00,(T22)
T22,Guido Migliozzi,,F,-2,-0.11,(52nd),0.65,(23rd),0.58,(13th),0.88,(17th),2.00,(T22)
T22,Jayden Schaper,,F,-2,0.74,(21st),0.44,(32nd),0.22,(27th),0.60,(25th),2.00,(T22)
T22,Casey Jarvis,,F,-2,0.47,(31st),0.51,(29th),0.39,(21st),0.63,(24th),2.00,(T22)
T22,Nicolai Hojgaard,,F,-2,-0.55,(64th),1.28,(12th),-0.31,(59th),1.58,(8th),2.00,(T22)
T41,Joost Luiten,,F,E,-0.42,(62nd),0.37,(36th),0.14,(31st),-0.09,(51st),0.00,(T41)
T41,Tom McKibbin,,F,E,1.04,(16th),-0.39,(59th),0.37,(23rd),-1.02,(70th),0.00,(T41)
T41,Kevin Roy,,F,E,-0.27,(56th),0.19,(39th),0.44,(18th),-0.36,(61st),0.00,(T41)
T41,Calum Hill,,F,E,0.18,(44th),0.12,(41st),0.08,(33rd),-0.38,(63rd),0.00,(T41)
T41,Zach Bauchou,,F,E,0.91,(17th),-0.22,(55th),-0.41,(62nd),-0.28,(58th),0.00,(T41)
T41,Marcus Armitage,,F,-1,-0.14,(53rd),0.44,(32nd),0.22,(27th),0.48,(29th),1.00,(T41)
