Last Name,First Name,short game,approach,driving-distance,driving-accuracy,total sg adj,Putting 2-5ft,Putting 5-30ft,Putting 30+ ft,Course-Fairway,Course-Rough,Course-Bunker,Approach 50-100yds,Approach 100-150 yds,Approach 150-200 yds,Approach 200+ yds
POTGIETER,ALDRICH,0.02,0,0.16,0.14,0.33,5.8,10.8,4.3,4.3,2.6,0.8,1.5,5,7.2,3.6
PENGE,MARCO,0.02,0,0.13,0.13,0.28,5.8,10.7,4.3,4.3,2.6,0.8,1.6,4.8,7.2,3.7
JOHNSTON,RYGGS,0.04,0.07,0.02,0.14,0.28,5.8,10.5,4.4,4.6,2.8,0.9,1.8,4.3,7.3,4.2
DEL REY,ALEJANDRO,0,0.04,0.1,0.14,0.27,5.7,10.6,4.3,4.4,2.8,0.9,1.6,4.7,7.3,3.9
HOJGAARD,RASMUS,0,0.01,0.1,0.15,0.26,5.7,10.6,4.3,4.3,2.6,0.9,1.6,4.7,7.3,3.8
KIM,BAEKJUN,0.1,0.07,0.01,0.08,0.26,5.8,10.8,4.5,4.6,2.8,0.9,1.7,4.3,7.3,4.3
STRYDOM,OCKIE,0.07,0.1,-0.03,0.12,0.26,5.8,10.5,4.5,4.7,2.9,0.9,1.8,4.1,7.3,4.4
LINDBERG,MIKAEL,0.01,0.04,0.11,0.09,0.25,5.7,10.6,4.3,4.4,2.8,0.9,1.5,4.7,7.2,3.9
FRITTELLI,DYLAN,0.01,0.03,0.04,0.16,0.23,5.7,10.4,4.3,4.4,2.6,0.9,1.7,4.4,7.3,4.1
RILEY,DAVIS,-0.03,0.05,0,0.2,0.23,5.7,10.4,4.4,4.5,2.6,0.9,1.9,4.3,7.4,4.1
SCHOTT,FREDDY,0.02,0.03,0.08,0.09,0.22,5.8,10.6,4.4,4.4,2.7,0.9,1.6,4.6,7.2,4
CHOI,SEUNGBIN,0.05,0.03,0.03,0.1,0.22,5.8,10.8,4.5,4.4,2.6,0.9,1.7,4.3,7.3,4.2
FORREST,GRANT,0.01,0.03,0.04,0.12,0.21,5.7,10.6,4.4,4.4,2.6,0.9,1.7,4.4,7.3,4.1
NORGAARD,NIKLAS,0.03,0.02,0.08,0.07,0.2,5.8,10.8,4.4,4.4,2.7,0.9,1.6,4.6,7.2,4.1
DAVIS,CAM,0.02,0.05,0.01,0.12,0.2,5.7,10.5,4.4,4.5,2.7,0.9,1.8,4.3,7.3,4.3
LAGERGREN,JOAKIM,0,0.04,0.03,0.13,0.2,5.7,10.6,4.4,4.5,2.7,0.9,1.7,4.4,7.3,4.2
SVENSSON,JESPER,0.02,0.03,0.09,0.06,0.2,5.8,10.6,4.3,4.4,2.7,0.9,1.5,4.6,7.2,4
MERONK,ADRIAN,0.01,0.03,0.02,0.12,0.19,5.8,10.6,4.4,4.4,2.6,0.9,1.7,4.3,7.3,4.2
HOJGAARD,NICOLAI,-0.02,-0.04,0.12,0.13,0.19,5.7,10.6,4.3,4.2,2.4,0.8,1.6,4.7,7.2,3.8
HOFFMAN,CHARLEY,0.08,0.04,-0.02,0.07,0.18,5.8,10.6,4.4,4.5,2.6,0.9,1.8,4.2,7.3,4.4
PUIG,DAVID,-0.04,0.02,0.11,0.08,0.17,5.7,10.6,4.3,4.4,2.7,0.9,1.5,4.7,7.2,3.9
MANSELL,RICHARD,0.05,0.02,0.04,0.06,0.17,5.8,10.6,4.3,4.4,2.6,0.9,1.6,4.4,7.2,4.3
