player_id,last_name,first_name,tour_affiliation,data_depth_class,debut_flag,neutral_skill_sg,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,true_sg_last5,true_sg_vs_baseline,form_class,venue_history_depth,starts_at_renaissance,best_finish_renaissance,venue_fit_total_adj,predicted_app_150_200_share,predicted_driving_accuracy_fit
P014,CLARK,WYNDHAM,PGA Tour,FULL,False,0.6575,0.06,0.5,0.47,0.47,1.04,3.55,2.23,HOT,STRONG,16.0,11.0,-0.02,0.029,0.07
P088,MCILROY,RORY,PGA Tour,FULL,False,0.6035,0.96,0.56,0.2,0.53,1.73,2.45,0.26,NEUTRAL,STRONG,18.0,2.0,0.11,0.009,0.06
P125,SCHEFFLER,SCOTTIE,PGA Tour,FULL,False,0.864,0.89,1.15,0.47,0.67,2.51,2.94,-0.26,NEUTRAL,MODERATE,14.0,8.0,-0.27,0.055,-0.13
P029,FITZPATRICK,MATT,PGA Tour,FULL,False,0.562,0.31,0.82,0.67,0.32,1.79,2.13,0.06,NEUTRAL,STRONG,26.0,4.0,-0.25,0.038,-0.11
P043,HATTON,TYRRELL,LIV Golf,FULL,False,0.48550000000000004,0.19,0.6,0.03,-0.05,0.82,1.95,1.1,HOT,STRONG,16.0,6.0,-0.02,0.043,0.04
P068,KITAYAMA,KURT,PGA Tour,FULL,False,0.4775,0.58,0.91,-0.06,-0.02,1.43,1.53,0.23,NEUTRAL,STRONG,19.0,34.0,0.0,0.05,-0.02
P036,GOTTERUP,CHRIS,PGA Tour,FULL,False,0.4205,0.74,0.35,0.02,0.48,1.11,1.79,0.26,NEUTRAL,THIN,6.0,1.0,0.12,0.028,0.09
P030,FLEETWOOD,TOMMY,PGA Tour,FULL,False,0.5325,0.58,0.61,0.32,0.54,1.5,2.18,0.16,NEUTRAL,STRONG,24.0,34.0,-0.29,0.024,-0.17
P049,HOJGAARD,NICOLAI,PGA Tour,FULL,False,0.3215,0.4,0.51,0.04,0.1,0.95,0.93,-0.15,NEUTRAL,MODERATE,14.0,4.0,0.19,0.019,0.13
P114,RAI,AARON,PGA Tour,FULL,False,0.5235,0.23,0.76,0.22,-0.25,1.21,1.87,0.91,HOT,STRONG,22.0,47.0,-0.38,0.044,-0.24
