player_id,last_name,first_name,approach_150_200_score,approach_overall_score,driving_accuracy_score,corridor_discipline,sg_putt_regressed,sg_arg_score,par3_performance,form_trend,form_class,anti_pattern_flags,debut_discount_applied,confidence_band,tvl_score,hew_score,brie_score,vfr_score
P125,SCHEFFLER,SCOTTIE,0.055,-0.1,-0.13,50.0,0.0,0.565,69.38,-0.26,NEUTRAL,none,False,TIGHT,0.888,1.764,1.292,0.565
P088,MCILROY,RORY,0.009,-0.05,0.06,50.0,0.0,0.263,57.71,0.26,NEUTRAL,none,False,TIGHT,0.963,1.67,0.514,0.263
P030,FLEETWOOD,TOMMY,0.024,-0.05,-0.17,50.0,0.0,0.438,61.385,0.16,NEUTRAL,none,False,TIGHT,0.579,1.02,0.759,0.438
P124,SCHAUFFELE,XANDER,0.037,-0.06,-0.01,50.0,0.0,0.113,61.595,-0.69,COOL,none,False,TIGHT,0.761,1.394,0.773,0.113
P134,SPAUN,J.J.,0.057,-0.07,-0.11,50.0,0.0,0.203,62.735,0.49,WARM,none,False,TIGHT,0.48,1.31,0.849,0.203
P113,RAHM,JON,0.045,-0.06,-0.03,50.0,0.0,0.364,59.075,-0.19,NEUTRAL,none,False,TIGHT,0.824,1.56,0.605,0.364
P065,KIM,SI WOO,0.079,-0.06,-0.19,50.0,0.0,0.269,59.75,0.01,NEUTRAL,none,False,TIGHT,0.624,1.464,0.65,0.269
P068,KITAYAMA,KURT,0.05,-0.07,-0.02,50.0,0.0,-0.177,60.8,0.23,NEUTRAL,none,False,TIGHT,0.577,1.408,0.72,-0.177
P009,CANTLAY,PATRICK,0.029,-0.07,-0.03,50.0,0.0,0.394,61.07,0.02,NEUTRAL,none,False,TIGHT,0.425,1.241,0.738,0.394
P029,FITZPATRICK,MATT,0.038,-0.07,-0.11,50.0,0.0,0.7,57.005,0.06,NEUTRAL,none,False,TIGHT,0.306,1.394,0.467,0.7
P043,HATTON,TYRRELL,0.043,-0.05,0.04,50.0,0.0,0.248,59.39,1.1,HOT,none,False,TIGHT,0.186,0.76,0.626,0.248
P001,ABERG,LUDVIG,0.004,-0.06,-0.04,50.0,0.0,0.221,58.07,-0.45,COOL,none,False,TIGHT,0.617,1.476,0.538,0.221
P081,LOWRY,SHANE,0.029,-0.06,-0.09,50.0,0.0,0.001,63.365,0.33,WARM,none,False,TIGHT,0.168,1.23,0.891,0.001
P114,RAI,AARON,0.044,-0.05,-0.24,50.0,0.0,0.237,59.18,0.91,HOT,none,False,TIGHT,0.233,0.813,0.612,0.237
P054,HOVLAND,VIKTOR,0.051,-0.06,-0.11,50.0,0.0,0.272,63.185,0.12,NEUTRAL,none,False,TIGHT,0.206,0.927,0.879,0.272
P035,GHIM,DOUG,-0.021,-0.03,-0.1,50.0,0.0,0.258,56.39,0.84,HOT,none,False,TIGHT,0.507,0.605,0.426,0.258
P144,THOMAS,JUSTIN,-0.02,-0.04,0.01,50.0,0.0,0.606,58.205,1.09,HOT,none,False,TIGHT,0.189,0.544,0.547,0.606
P036,GOTTERUP,CHRIS,0.028,-0.04,0.09,50.0,0.0,0.099,51.515,0.26,NEUTRAL,none,False,TIGHT,0.738,1.169,0.101,0.099
P049,HOJGAARD,NICOLAI,0.019,-0.04,0.13,50.0,0.0,0.124,57.02,-0.15,NEUTRAL,none,False,TIGHT,0.403,0.796,0.468,0.124
P128,SCOTT,ADAM,0.039,-0.05,0.02,50.0,0.0,0.043,58.475,-0.19,NEUTRAL,none,False,TIGHT,0.314,1.309,0.565,0.043
P014,CLARK,WYNDHAM,0.029,-0.03,0.07,50.0,0.0,0.491,51.83,2.23,HOT,none,False,TIGHT,0.06,0.655,0.122,0.491
P011,CAULEY,BUD,0.035,-0.04,-0.05,50.0,0.0,0.385,55.385,1.15,HOT,none,False,TIGHT,0.214,0.785,0.359,0.385
P066,KIM,TOM,0.022,-0.05,-0.06,50.0,0.0,0.232,56.345,0.6,WARM,none,False,TIGHT,-0.195,0.471,0.423,0.232
P117,REITAN,KRISTOFFER,-0.002,-0.02,-0.01,50.0,0.0,-0.015,49.82,0.6,WARM,none,False,TIGHT,0.682,0.622,-0.012,-0.015
P016,CONNERS,COREY,0.046,-0.04,-0.13,50.0,0.0,0.05,59.165,-0.3,COOL,none,False,TIGHT,0.226,0.758,0.611,0.05
P083,MACINTYRE,ROBERT,-0.023,-0.01,-0.02,50.0,0.0,0.133,53.27,-0.42,COOL,none,False,TIGHT,0.489,0.46,0.218,0.133
P142,TAYLOR,NICK,0.012,-0.02,-0.08,50.0,0.0,0.359,56.75,-0.22,NEUTRAL,none,False,TIGHT,0.022,0.346,0.45,0.359
P132,SMOTHERMAN,AUSTIN,0.019,-0.04,-0.13,50.0,0.0,-0.445,60.5,0.04,NEUTRAL,renaissance-debut,True,MODERATE,0.381,1.088,0.7,-0.445
P032,FOX,RYAN,-0.031,-0.02,0.11,50.0,0.0,0.1,54.35,0.58,WARM,none,False,TIGHT,0.177,0.488,0.29,0.1
P137,STRAKA,SEPP,0.019,-0.03,-0.05,50.0,0.0,-0.118,61.01,-1.48,COLD,none,False,MODERATE,0.163,0.72,0.734,-0.118
P116,REED,PATRICK,0.017,-0.04,0.0,50.0,0.0,0.458,56.225,0.26,NEUTRAL,renaissance-debut,True,MODERATE,0.072,0.856,0.415,0.458
P025,ENGLISH,HARRIS,0.002,-0.01,-0.07,50.0,0.0,0.12,51.05,-0.02,NEUTRAL,none,False,TIGHT,0.417,0.45,0.07,0.12
P108,PEREZ,VICTOR,-0.008,-0.01,-0.08,50.0,0.0,-0.074,52.625,0.69,WARM,none,False,TIGHT,0.186,0.164,0.175,-0.074
P034,GERARD,RYAN,0.017,-0.04,-0.06,50.0,0.0,-0.165,58.58,0.44,WARM,none,False,TIGHT,0.177,0.935,0.572,-0.165
P069,KNAPP,JAKE,-0.023,-0.01,0.08,50.0,0.0,0.037,50.555,-0.73,COOL,none,False,MODERATE,0.59,0.853,0.037,0.037
P130,SMALLEY,ALEX,0.001,-0.03,-0.03,50.0,0.0,0.031,52.97,0.19,NEUTRAL,none,False,TIGHT,0.205,0.757,0.198,0.031
P062,KEEFER,JOHNNY,0.031,-0.04,0.02,50.0,0.0,-0.436,55.43,0.41,WARM,renaissance-debut,True,MODERATE,0.502,0.961,0.362,-0.436
P143,THEEGALA,SAHITH,0.003,-0.03,0.08,50.0,0.0,0.432,52.07,0.14,NEUTRAL,none,False,MODERATE,-0.003,0.316,0.138,0.432
P028,FITZPATRICK,ALEX,0.019,-0.06,-0.14,50.0,0.0,0.068,51.215,1.26,HOT,none,False,TIGHT,0.164,1.457,0.081,0.068
P131,SMITH,JORDAN,0.01,-0.02,-0.07,50.0,0.0,-0.102,53.6,-0.31,COOL,none,False,MODERATE,0.361,0.89,0.24,-0.102
P070,KOEPKA,BROOKS,-0.003,-0.03,0.05,50.0,0.0,0.076,54.8,0.46,WARM,renaissance-debut,True,MODERATE,0.192,0.914,0.32,0.076
P041,HARMAN,BRIAN,0.014,-0.03,-0.09,50.0,0.0,0.167,54.635,0.43,WARM,none,False,TIGHT,0.001,0.253,0.309,0.167
P087,MCGREEVY,MAX,-0.009,-0.03,-0.12,50.0,0.0,0.128,53.45,-0.14,NEUTRAL,none,False,MODERATE,0.267,0.614,0.23,0.128
P005,BRENNAN,MICHAEL,-0.022,-0.02,0.01,50.0,0.0,-0.431,51.245,-0.16,NEUTRAL,renaissance-debut,True,MODERATE,0.914,0.981,0.083,-0.431
P105,PARRY,JOHN,0.043,-0.03,-0.06,50.0,0.0,0.176,55.475,-0.65,COOL,none,False,MODERATE,0.064,0.085,0.365,0.176
P097,NEERGAARD-PETERSEN,RASMUS,0.024,-0.01,-0.06,50.0,0.0,-0.278,54.5,-0.17,NEUTRAL,none,False,MODERATE,0.499,0.469,0.3,-0.278
P077,LEE,MIN WOO,-0.01,-0.03,0.01,50.0,0.0,0.299,47.975,-0.37,COOL,none,False,MODERATE,0.544,0.937,-0.135,0.299
P101,NOVAK,ANDREW,0.009,-0.03,-0.01,50.0,0.0,0.193,53.45,0.34,WARM,none,False,TIGHT,0.092,0.501,0.23,0.193
P080,LINDELL,OLIVER,,-0.04,0.0,50.0,0.0,0.121,60.86,0.29,NEUTRAL,renaissance-debut,True,MODERATE,-0.268,0.26,0.724,0.121
P150,WALLACE,MATT,0.027,-0.04,0.0,50.0,0.0,0.122,53.18,0.73,WARM,none,False,TIGHT,-0.117,0.557,0.212,0.122
P107,PENGE,MARCO,-0.048,0.0,0.13,50.0,0.0,-0.273,47.825,-0.92,COLD,bomb-and-spray,False,WIDE,0.914,0.238,-0.145,-0.273
P098,NOREN,ALEX,-0.011,0.0,-0.11,50.0,0.0,0.134,55.175,-0.55,COOL,none,False,MODERATE,0.108,0.296,0.345,0.134
P002,AYORA,ANGEL,,-0.02,0.03,50.0,0.0,0.034,52.01,-0.52,COOL,renaissance-debut,True,WIDE,0.636,0.629,0.134,0.034
