player_id,last_name,first_name,tier,rank,neutral_skill_index,venue_fit_score,venue_history_normalized,form_score,penalties_applied,vts_final,win_prob,top5_prob,top10_prob,top20_prob,make_cut_prob,miss_cut_prob,best_betting_lane,anti_pattern_flags,conviction_level
P125,SCHEFFLER,SCOTTIE,1,1,98.14586042546492,61.4010779344325,62.756408221374386,48.666666666666664,0.0,88.15946310439998,3.39,12.57,22.8,41.94,91.0,9.0,Winner,none,HIGH
P088,MCILROY,RORY,1,2,82.99069440081523,64.00324683318739,78.50102706786399,54.333333333333336,0.0,85.14515248668856,4.74,15.84,26.31,44.51,88.7,11.3,Winner,none,HIGH
P029,FITZPATRICK,MATT,1,3,80.5763397366196,60.74268447479996,89.82840562686621,52.5,0.0,84.38811874496957,4.12,13.73,25.13,46.73,88.4,11.6,Winner,none,HIGH
P030,FLEETWOOD,TOMMY,1,4,78.86011172231186,60.37756239721043,79.46319821959389,54.166666666666664,0.0,81.32853494593598,3.1,10.88,19.06,33.73,86.4,13.6,Winner,none,HIGH
P014,CLARK,WYNDHAM,2,5,68.67909807811341,60.10348292280787,70.67245269697054,84.5,0.0,79.98394165849854,2.86,9.39,18.13,35.31,89.7,10.3,Top 10,none,HIGH
P068,KITAYAMA,KURT,2,6,75.66036457699235,64.15662348350409,73.82137646626846,53.833333333333336,0.0,79.81032227924057,2.55,10.51,18.05,31.29,83.8,16.2,Top 10,none,HIGH
P124,SCHAUFFELE,XANDER,2,7,79.2382636576678,62.76338615529107,80.95018999954013,37.2,0.0,79.2095792615614,3.15,9.08,18.05,36.17,80.1,19.9,Top 10,none,HIGH
P036,GOTTERUP,CHRIS,2,8,72.34426299002484,62.136556246240765,78.80717243432349,54.333333333333336,0.0,78.19433148678208,3.99,11.87,20.67,36.44,82.6,17.4,Top 10,none,HIGH
P001,ABERG,LUDVIG,2,9,78.80193450148786,62.97195936642497,71.02233311578142,42.0,0.0,77.92630394463113,2.04,8.77,16.92,32.87,79.7,20.3,Top 10,none,HIGH
P049,HOJGAARD,NICOLAI,2,10,66.58471812844974,64.23339111406592,88.6475592133795,43.0,0.0,75.42908205607878,2.25,8.7,17.45,35.24,75.4,24.6,Top 10,none,HIGH
P114,RAI,AARON,2,11,67.74826254492956,60.30761503134728,69.1854609170243,65.15,0.0,74.97887046471536,2.1,9.28,15.77,26.99,82.0,18.0,Top 10,none,HIGH
P113,RAHM,JON,2,12,82.90342856957923,63.751214260950306,40.189121208072635,46.833333333333336,0.0,74.97624201611802,1.05,5.49,10.1,18.52,77.6,22.4,Top 10,none,HIGH
P134,SPAUN,J.J.,2,13,76.88208621429617,62.8031974678345,42.15719856388383,57.3,0.0,73.77074902619516,1.1,5.72,10.36,18.72,78.7,21.3,Top 10,none,HIGH
P065,KIM,SI WOO,2,14,77.05661787676813,63.037782851307526,47.01178937488479,50.166666666666664,0.0,73.47710844167744,1.09,5.44,10.14,18.84,76.4,23.6,Top 10,none,HIGH
P043,HATTON,TYRRELL,2,15,63.32679376230623,60.58756310560684,59.738689609130546,74.0,0.0,72.39507286439876,1.51,6.47,12.81,25.4,80.9,19.1,Top 10,none,HIGH
P009,CANTLAY,PATRICK,2,16,75.04950375834044,61.37696909177672,52.04132039529119,48.833333333333336,0.0,72.38968484518654,1.27,7.12,13.27,24.76,75.0,25.0,Top 10,none,HIGH
P128,SCOTT,ADAM,2,17,67.60281949286957,63.32264786058241,70.84739290637599,43.833333333333336,0.0,71.91773032523376,1.49,7.28,13.11,23.64,71.4,28.6,Top 10,none,HIGH
P066,KIM,TOM,2,18,55.58922339271541,60.31189752313482,90.00334583627165,62.5,0.0,71.86636279731367,2.3,8.73,15.78,28.69,76.8,23.2,Top 10,none,HIGH
P054,HOVLAND,VIKTOR,2,19,72.14064271714089,61.807121600214074,51.91011523823711,50.5,0.0,71.21849105808985,1.05,5.07,10.48,21.58,73.5,26.5,Top 10,none,HIGH
P083,MACINTYRE,ROBERT,2,20,63.58859125601419,58.925321848813525,84.62393439705437,41.1,0.0,70.07044183085861,2.17,7.44,13.45,24.36,69.2,30.8,Top 10,none,HIGH
P081,LOWRY,SHANE,2,21,69.75537666335725,61.73289174256338,47.14299453193887,54.1,0.0,69.54154758920782,0.93,4.86,9.9,20.07,72.0,28.0,Top 10,none,HIGH
P117,REITAN,KRISTOFFER,2,22,62.13416073541441,61.49656164021395,52.56614102350751,59.5,0.0,67.36292372571809,0.93,4.78,9.8,19.98,69.9,30.1,Top 10,none,HIGH
P144,THOMAS,JUSTIN,2,23,63.559502645602194,59.06965768313432,42.41960887799199,69.35,0.0,67.06813092828752,0.88,4.85,8.82,15.94,73.7,26.3,Top 10,none,HIGH
P025,ENGLISH,HARRIS,2,24,64.897578724554,59.753587482685155,58.29543288153567,48.166666666666664,0.0,66.98698555946568,0.91,4.31,8.54,16.8,66.7,33.3,Top 10,none,HIGH
P011,CAULEY,BUD,2,25,61.23241381264255,60.80279797063246,38.30851395696415,73.25,0.0,66.42359715008664,0.82,4.92,8.74,15.44,73.0,27.0,Top 10,none,HIGH
P035,GHIM,DOUG,2,26,60.8833504876986,60.55441344695514,47.01178937488479,65.6,0.0,66.3418221190787,0.86,4.72,8.74,16.05,70.6,29.4,Top 10,none,HIGH
