position,player_name,course,score,thru,today,sg_ott,distance,accuracy,sg_app,gir,prox_fw,prox_rgh,sg_putt,sg_arg,scrambling,great_shots,poor_shots,sg_total,sg_t2g,sg_bs
T1,"Hovland, Viktor",AN,-21,18,-21,1.02,288.8,0.768,0.17,0.75,"23' 5""","61' 6""",1.08,0.49,0.769,3.25,1.5,2.77,1.69,1.19
T1,"Scheffler, Scottie",AN,-21,18,-21,0.42,281.7,0.768,1.37,0.833,"21' 4""","36' 11""",1.05,-0.07,0.647,3.5,2.5,2.77,1.72,1.79
3,"Morikawa, Collin",AN,-20,18,-20,1.0,281.9,0.893,1.63,0.889,"21' 8""","32' 0""",0.71,-0.83,0.611,3.25,2.0,2.52,1.8,2.64
4,"Fitzpatrick, Matt",AN,-19,18,-19,0.78,279.9,0.929,0.55,0.75,"25' 8""","67' 4""",-0.07,1.0,0.667,4.5,3.5,2.27,2.33,1.33
T5,"Clark, Wyndham",AN,-18,18,-18,-0.47,289.9,0.679,-0.66,0.625,"26' 0""","54' 2""",2.17,0.99,0.806,4.0,3.25,2.02,-0.14,-1.14
T5,"Bhatia, Akshay",AN,-18,18,-18,0.23,285.0,0.714,0.17,0.764,"25' 2""","39' 10""",1.29,0.33,0.708,3.25,2.0,2.02,0.73,0.4
T7,"Conners, Corey",AN,-17,18,-17,0.09,284.0,0.732,0.83,0.833,"22' 10""","57' 2""",-0.01,0.85,0.714,4.0,3.0,1.77,1.77,0.93
T7,"Spaun, J.J.",AN,-17,18,-17,0.0,280.9,0.75,0.73,0.778,"25' 0""","40' 0""",1.25,-0.21,0.538,3.75,3.25,1.77,0.52,0.73
T7,"Fitzpatrick, Alex",AN,-17,18,-17,0.69,285.6,0.821,1.13,0.819,"22' 2""","72' 1""",-0.08,0.03,0.636,2.0,2.75,1.77,1.85,1.83
T10,"MacIntyre, Robert",AN,-16,18,-16,-0.09,286.7,0.679,0.85,0.819,"23' 8""","48' 8""",0.7,0.06,0.292,3.25,3.75,1.52,0.82,0.76
T10,"Griffin, Ben",AN,-16,18,-16,-0.16,274.3,0.75,0.75,0.806,"27' 5""","32' 1""",0.85,0.07,0.524,2.75,1.5,1.52,0.67,0.59
T12,"Henley, Russell",AN,-15,18,-15,0.85,279.9,0.875,0.15,0.847,"24' 8""","88' 9""",1.0,-0.73,0.6,4.25,2.25,1.27,0.27,1.0
T12,"Burns, Sam",AN,-15,18,-15,0.45,285.2,0.643,1.24,0.764,"22' 10""","72' 7""",0.37,-0.79,0.478,3.5,2.75,1.27,0.9,1.69
T14,"Hojgaard, Nicolai",AN,-14,18,-14,0.08,291.1,0.661,0.64,0.694,"20' 8""","60' 1""",-0.12,0.42,0.767,4.25,3.25,1.02,1.14,0.72
T14,"Bradley, Keegan",AN,-14,18,-14,-0.57,288.3,0.554,1.1,0.819,"23' 5""","43' 6""",-0.53,1.02,0.647,3.0,3.0,1.02,1.55,0.53
T14,"Fleetwood, Tommy",AN,-14,18,-14,0.31,282.1,0.714,-0.11,0.819,"22' 6""","52' 6""",0.45,0.38,0.6,3.75,1.75,1.02,0.57,0.19
T14,"McCarthy, Denny",AN,-14,18,-14,-0.22,281.5,0.661,0.11,0.819,"24' 3""","76' 9""",1.06,0.07,0.765,3.25,1.5,1.02,-0.04,-0.11
T14,"Cauley, Bud",AN,-14,18,-14,0.55,281.9,0.75,0.32,0.819,"24' 2""","57' 7""",-0.8,0.96,0.636,4.5,2.0,1.02,1.82,0.87
T14,"Matsuyama, Hideki",AN,-14,18,-14,0.55,286.3,0.75,-0.01,0.75,"29' 9""","71' 1""",0.13,0.35,0.696,3.25,3.75,1.02,0.89,0.54
T14,"Thomas, Justin",AN,-14,18,-14,0.38,287.2,0.768,-0.71,0.722,"25' 2""","55' 3""",-0.2,1.56,0.733,3.75,1.75,1.02,1.22,-0.34
T14,"Cantlay, Patrick",AN,-14,18,-14,0.02,281.7,0.75,1.06,0.778,"23' 2""","36' 5""",0.26,-0.32,0.7,3.5,3.0,1.02,0.76,1.08
T22,"Reitan, Kristoffer",AN,-13,18,-13,0.4,287.3,0.607,-0.98,0.708,"28' 3""","54' 10""",1.63,-0.29,0.667,4.25,3.0,0.77,-0.86,-0.57
T22,"Mitchell, Keith",AN,-13,18,-13,0.49,292.2,0.643,0.34,0.708,"25' 11""","27' 7""",0.27,-0.33,0.75,3.25,2.75,0.77,0.51,0.83
T22,"Lowry, Shane",AN,-13,18,-13,0.83,281.3,0.839,0.7,0.833,"23' 6""","80' 10""",-0.6,-0.17,0.714,3.75,2.25,0.77,1.37,1.54
T25,"Taylor, Nick",AN,-12,18,-12,0.02,282.1,0.732,-0.37,0.708,"27' 5""","33' 3""",1.19,-0.32,0.724,4.0,2.75,0.52,-0.67,-0.35
T25,"Berger, Daniel",AN,-12,18,-12,-0.25,282.7,0.696,0.42,0.75,"27' 4""","44' 9""",-0.88,1.22,0.76,2.0,3.25,0.52,1.4,0.17
T25,"Kitayama, Kurt",AN,-12,18,-12,0.34,287.7,0.679,1.59,0.819,"21' 5""","69' 9""",-0.85,-0.56,0.353,4.0,1.75,0.52,1.37,1.93
T25,"Rose, Justin",AN,-12,18,-12,-0.25,286.0,0.661,-0.1,0.736,"26' 8""","73' 3""",0.66,0.2,0.56,3.75,3.75,0.52,-0.15,-0.35
T25,"Harman, Brian",AN,-12,18,-12,-0.66,282.1,0.768,1.56,0.778,"23' 10""","47' 11""",-0.49,0.12,0.632,3.5,3.75,0.52,1.01,0.9
T30,"Novak, Andrew",AN,-11,18,-11,0.49,288.2,0.607,-0.08,0.722,"23' 7""","63' 8""",-0.37,0.23,0.667,3.25,2.0,0.27,0.65,0.42
T30,"Kim, Michael",AN,-11,18,-11,-0.46,282.1,0.5,0.66,0.764,"26' 3""","44' 9""",0.1,-0.02,0.68,2.75,2.5,0.27,0.18,0.2
T30,"McCarty, Matt",AN,-11,18,-11,-0.91,284.0,0.661,2.21,0.778,"20' 3""","65' 5""",-0.75,-0.27,0.45,3.25,5.5,0.27,1.02,1.29
T30,"Echavarria, Nico",AN,-11,18,-11,-0.43,282.6,0.732,0.5,0.778,"21' 11""","34' 3""",-0.44,0.65,0.708,2.5,2.75,0.27,0.71,0.07
T30,"Im, Sungjae",AN,-11,18,-11,0.45,288.2,0.625,-1.13,0.639,"29' 8""","48' 7""",1.05,-0.11,0.667,3.5,3.25,0.27,-0.78,-0.67
