POS,Player,R1,THRU,STROKES
1,Scottie Scheffler,-10,F,124
2,Viktor Hovland,-9,F,126
T3,Akshay Bhatia,-8,F,128
T3,Eric Cole,-5,F,128
T5,Matt Fitzpatrick,-4,F,130
T5,Ben Griffin,-4,F,130
T5,Bud Cauley,-4,F,130
T8,J.J. Spaun,-5,F,131
T8,Tommy Fleetwood,-6,F,131
T8,Patrick Cantlay,-4,F,131
T8,Justin Rose,-4,F,131
T8,Brian Campbell,-7,F,131
T8,Maverick McNealy,-6,F,131
T14,Wyndham Clark,-6,F,132
T14,Robert MacIntyre,-5,F,132
T14,Sam Burns,-4,F,132
T14,Keegan Bradley,-5,F,132
T14,Kristoffer Reitan,-2,F,132
T14,Kurt Kitayama,-7,F,132
T14,Harris English,-4,F,132
T14,Ben James,-6,F,132
T22,Corey Conners,-2,F,133
T22,Shane Lowry,-5,F,133
T22,Nico Echavarria,-1,F,133
T22,Aaron Rai,-2,F,133
T22,Si Woo Kim,-6,F,133
T27,Hideki Matsuyama,-3,F,134
T27,Justin Thomas,-4,F,134
T27,Sungjae Im,-4,F,134
T27,Brandt Snedeker,-1,F,134
T27,Jhonattan Vegas,-5,F,134
T27,Taylor Pendrith,-3,F,134
T27,J.T. Poston,-3,F,134
T34,Collin Morikawa,-4,F,135
T34,Alex Fitzpatrick,-4,F,135
T34,Denny McCarthy,-2,F,135
T34,Keith Mitchell,-3,F,135
T34,Michael Kim,-3,F,135
T34,Jackson Suber,-3,F,135
T34,Rickie Fowler,-4,F,135
T34,Alex Noren,-4,F,135
T42,Russell Henley,E,F,136
T42,Brian Harman,E,F,136
T42,Chris Gotterup,-5,F,136
T42,Ryan Gerard,-2,F,136
T42,Mac Meissner,-4,F,136
T42,Xander Schauffele,-1,F,136
T42,Tony Finau,-4,F,136
T49,Nicolai Højgaard,-4,F,137
T49,Daniel Berger,-3,F,137
T49,Tom Hoge,E,F,137
T49,Alex Smalley,-4,F,137
T49,Harry Hall,E,F,137
T49,Ludvig Åberg,-3,F,137
T55,Ryo Hisatsune,E,F,138
T55,Jason Day,-2,F,138
T57,Nick Taylor,+1,F,139
T57,Andrew Novak,+2,F,139
T57,Matt McCarty,E,F,139
T57,Sam Stevens,+1,F,139
T57,Gary Woodland,E,F,139
T62,Jacob Bridgeman,E,F,140
T62,Jordan Spieth,-1,F,140
T62,Mark Hubbard,+1,F,140
T65,Sahith Theegala,-3,F,141
T65,Jake Knapp,-3,F,141
T65,Min Woo Lee,+3,F,141
T68,Adam Scott,+1,F,142
T68,Ryan Fox,+1,F,142
70,Cameron Young,+1,F,143
71,Lucas Glover,-1,F,144
72,Sepp Straka,+2,F,145
