POS,Player,TOT,THRU,R1,sg-ott,sg-ott (rank),sg-app to green,sg-app to green (rank),sg-around green,sg-around green (rank),sg-putting,sg-putting (Rank),sg-total,sg-total (rank)
1,Viktor Hovland,,F,-9,0.991,(1st),0.194,(31st),0.502,(10th),1.084,(9th),2.771,(T1)
2,Scottie Scheffler,,F,-10,0.485,(12th),1.308,(6th),-0.057,(41st),1.035,(12th),2.771,(T1)
3,Collin Morikawa,,F,-4,0.898,(2nd),1.727,(2nd),-0.824,(67th),0.72,(15th),2.521,(3rd)
4,Matt Fitzpatrick,,F,-4,0.68,(5th),0.638,(17th),1.028,(4th),-0.076,(37th),2.271,(4th)
T5,Wyndham Clark,,F,-6,-0.392,(56th),-0.739,(57th),0.973,(5th),2.178,(1st),2.021,(T5)
T5,Akshay Bhatia,,F,-8,0.235,(28th),0.166,(33rd),0.344,(20th),1.276,(4th),2.021,(T5)
T7,Corey Conners,,F,-2,0.194,(30th),0.729,(12th),0.873,(7th),-0.025,(36th),1.771,(T7)
T7,J.J. Spaun,,F,-5,0.03,(37th),0.725,(13th),-0.237,(46th),1.252,(5th),1.771,(T7)
T7,Alex Fitzpatrick,,F,-4,0.432,(16th),1.379,(5th),0.064,(33rd),-0.105,(39th),1.771,(T7)
T10,Robert MacIntyre,,F,-5,-0.118,(43rd),0.899,(10th),0.048,(34th),0.692,(17th),1.521,(T10)
T10,Ben Griffin,,F,-4,-0.217,(50th),0.68,(T14),0.204,(28th),0.853,(14th),1.521,(T10)
T12,Russell Henley,,F,E,0.815,(3rd),0.174,(32nd),-0.725,(64th),1.006,(13th),1.271,(T12)
T12,Sam Burns,,F,-4,0.595,(10th),1.095,(7th),-0.78,(66th),0.361,(25th),1.271,(T12)
T14,Nicolai Højgaard,,F,-4,0.041,(36th),0.68,(16th),0.401,(13th),-0.102,(38th),1.021,(T14)
T14,Keegan Bradley,,F,-5,-0.441,(60th),0.957,(9th),1.034,(3rd),-0.53,(56th),1.021,(T14)
T14,Tommy Fleetwood,,F,-6,0.288,(24th),-0.065,(38th),0.36,(18th),0.437,(24th),1.021,(T14)
T14,Denny McCarthy,,F,-2,0.055,(T34),-0.188,(42nd),0.093,(31st),1.06,(10th),1.021,(T14)
T14,Bud Cauley,,F,-4,0.51,(11th),0.347,(24th),0.967,(6th),-0.804,(60th),1.021,(T14)
T14,Hideki Matsuyama,,F,-3,0.601,(9th),-0.075,(39th),0.376,(14th),0.119,(32nd),1.021,(T14)
T14,Justin Thomas,,F,-4,0.294,(23rd),-0.654,(56th),1.564,(1st),-0.183,(41st),1.021,(T14)
T14,Patrick Cantlay,,F,-4,-0.015,(39th),1.079,(8th),-0.297,(53rd),0.254,(28th),1.021,(T14)
T22,Kristoffer Reitan,,F,-2,0.439,(15th),-1.028,(65th),-0.268,(50th),1.628,(2nd),0.771,(T22)
T22,Keith Mitchell,,F,-3,0.396,(18th),0.299,(26th),-0.188,(44th),0.263,(27th),0.771,(T22)
T22,Shane Lowry,,F,-5,0.612,(8th),0.879,(11th),-0.138,(43rd),-0.582,(57th),0.771,(T22)
T25,Nick Taylor,,F,+1,0.001,(38th),-0.373,(47th),-0.304,(54th),1.197,(7th),0.521,(T25)
T25,Daniel Berger,,F,-3,-0.153,(45th),0.27,(27th),1.268,(2nd),-0.864,(63rd),0.521,(T25)
T25,Kurt Kitayama,,F,-7,0.186,(T31),1.714,(3rd),-0.528,(60th),-0.851,(62nd),0.521,(T25)
T25,Justin Rose,,F,-4,-0.312,(55th),-0.035,(37th),0.209,(27th),0.658,(18th),0.521,(T25)
T25,Brian Harman,,F,E,-0.696,(67th),1.59,(4th),0.116,(30th),-0.489,(52nd),0.521,(T25)
T30,Andrew Novak,,F,+2,0.382,(19th),0.213,(30th),0.046,(35th),-0.371,(47th),0.271,(T30)
T30,Michael Kim,,F,-3,-0.271,(51st),0.465,(22nd),-0.033,(38th),0.11,(33rd),0.271,(T30)
T30,Matt McCarty,,F,E,-0.63,(65th),1.866,(1st),-0.217,(45th),-0.749,(59th),0.271,(T30)
T30,Nico Echavarria,,F,-1,-0.525,(63rd),0.598,(19th),0.639,(8th),-0.442,(50th),0.271,(T30)
T30,Sungjae Im,,F,-4,0.417,(17th),-0.944,(63rd),-0.255,(48th),1.052,(11th),0.271,(T30)
T30,Aaron Rai,,F,-2,0.334,(T21),-0.228,(43rd),0.282,(22nd),-0.117,(40th),0.271,(T30)
T30,Jackson Suber,,F,-3,0.372,(20th),-0.241,(45th),-0.035,(39th),0.174,(30th),0.271,(T30)
T30,Chris Gotterup,,F,-5,0.186,(T31),0.485,(21st),-0.851,(68th),0.45,(T22),0.271,(T30)
T38,Brandt Snedeker,,F,-1,-0.289,(54th),-0.496,(53rd),-0.397,(57th),1.203,(6th),0.021,(T38)
T38,Rickie Fowler,,F,-4,0.276,(26th),-0.233,(44th),0.347,(19th),-0.369,(46th),0.021,(T38)
T38,Harris English,,F,-4,-0.045,(40th),0.156,(34th),0.369,(16th),-0.459,(51st),0.021,(T38)
T38,Tom Hoge,,F,E,-1.354,(71st),0.384,(23rd),0.28,(23rd),0.711,(16th),0.021,(T38)
T38,Ryo Hisatsune,,F,E,0.218,(29th),0.265,(28th),0.065,(32nd),-0.528,(55th),0.021,(T38)
T38,Eric Cole,,F,-5,-0.58,(64th),0.343,(25th),0.56,(9th),-0.303,(44th),0.021,(T38)
T44,Ryan Gerard,,F,-2,0.284,(25th),-0.816,(60th),0.221,(25th),0.082,(34th),-0.229,(T44)
T44,Mac Meissner,,F,-4,0.334,(T21),-0.958,(64th),-0.246,(47th),0.641,(19th),-0.229,(T44)
T44,Si Woo Kim,,F,-6,0.14,(33rd),0.625,(18th),-0.501,(59th),-0.493,(53rd),-0.229,(T44)
T47,Cameron Young,,F,+1,0.702,(4th),-0.166,(41st),0.004,(37th),-1.02,(65th),-0.479,(T47)
T47,Alex Smalley,,F,-4,0.055,(T34),-0.463,(52nd),-0.697,(63rd),0.625,(20th),-0.479,(T47)
T47,Jacob Bridgeman,,F,E,0.468,(13th),-0.154,(40th),-0.267,(49th),-0.526,(54th),-0.479,(T47)
T47,Brian Campbell,,F,-7,-0.817,(68th),0.142,(35th),-0.279,(51st),0.475,(21st),-0.479,(T47)
T51,Sahith Theegala,,F,-3,-0.461,(61st),-0.432,(51st),0.373,(15th),-0.209,(43rd),-0.729,(T51)
T51,Jhonattan Vegas,,F,-5,-0.101,(42nd),-1.193,(66th),0.445,(11th),0.12,(31st),-0.729,(T51)
T51,Harry Hall,,F,E,-0.858,(69th),-1.552,(71st),0.173,(29th),1.507,(3rd),-0.729,(T51)
T51,Xander Schauffele,,F,-1,0.615,(7th),-0.908,(61st),0.273,(24th),-0.709,(58th),-0.729,(T51)
T55,Ludvig Åberg,,F,-3,-0.407,(57th),0.681,(T14),-0.101,(42nd),-1.153,(67th),-0.979,(T55)
T55,Alex Noren,,F,-4,-0.173,(46th),-1.369,(68th),-0.532,(61st),1.095,(8th),-0.979,(T55)
T55,Jason Day,,F,-2,-0.048,(41st),-0.919,(62nd),0.362,(17th),-0.374,(48th),-0.979,(T55)
T55,Jake Knapp,,F,-3,-0.641,(66th),-0.497,(54th),-0.291,(52nd),0.45,(T22),-0.979,(T55)
T55,Tony Finau,,F,-4,-0.212,(48th),0.018,(36th),0.032,(36th),-0.817,(61st),-0.979,(T55)
T55,Maverick McNealy,,F,-6,-0.184,(47th),-0.744,(59th),0.291,(21st),-0.343,(45th),-0.979,(T55)
61,Taylor Pendrith,,F,-3,-0.214,(49th),-1.207,(67th),0.216,(26th),-0.024,(35th),-1.229,(61st)
T62,Min Woo Lee,,F,+3,-0.281,(52nd),0.231,(29th),-0.317,(55th),-1.111,(66th),-1.479,(T62)
T62,Sam Stevens,,F,+1,0.625,(6th),-1.474,(69th),-0.447,(58th),-0.184,(42nd),-1.479,(T62)
T62,Ben James,,F,-6,0.263,(27th),-1.547,(70th),-0.37,(56th),0.175,(29th),-1.479,(T62)
65,Adam Scott,,F,+1,-0.412,(58th),0.509,(20th),-0.58,(62nd),-1.247,(68th),-1.729,(65th)
T66,Ryan Fox,,F,+1,-1.609,(72nd),-0.275,(46th),-0.871,(69th),0.275,(26th),-2.479,(T66)
T66,Jordan Spieth,,F,-1,-1.142,(70th),-0.378,(48th),-0.042,(40th),-0.918,(64th),-2.479,(T66)
T66,Lucas Glover,,F,-1,0.462,(14th),-0.554,(55th),-0.915,(70th),-1.473,(70th),-2.479,(T66)
