"POS","PLAYER","TOTAL","R1","R2","R3","R4","STROKES"
"1","Tom Kim","-17","65","66","68","64","263"
"2","Min Woo Lee","-15","66","66","66","67","265"
"T3","Keita Nakajima","-13","67","66","67","67","267"
"T3","Johnny Keefer","-13","68","68","64","67","267"
"T3","Matt Fitzpatrick","-13","67","65","66","69","267"
"T3","Robert MacIntyre","-13","67","66","65","69","267"
"T7","Rory McIlroy","-12","65","66","73","64","268"
"T7","Michael Thorbjornsen","-12","66","68","65","69","268"
"T9","Victor Perez","-11","69","64","70","66","269"
"T9","Si Woo Kim","-11","70","67","66","66","269"
"T11","Kevin Roy","-10","67","68","65","70","270"
"T11","Chris Gotterup","-10","68","65","66","71","270"
"T13","Viktor Hovland","-9","68","70","69","64","271"
"T13","Patrick Reed","-9","68","67","68","68","271"
"T13","Tommy Fleetwood","-9","67","70","66","68","271"
"T13","Wyndham Clark","-9","67","67","66","71","271"
"T17","Francesco Molinari","-8","68","69","67","68","272"
"T17","Joost Luiten","-8","67","66","70","69","272"
"T17","Tyrrell Hatton","-8","70","66","67","69","272"
"T17","Alejandro Del Rey","-8","72","66","65","69","272"
"T21","Cam Davis","-7","70","66","70","67","273"
"T21","Casey Jarvis","-7","68","68","68","69","273"
"T21","Matti Schmid","-7","68","69","67","69","273"
"T21","Jordan Smith","-7","68","63","72","70","273"
"T21","Danny Willett","-7","67","67","67","72","273"
"T26","Nick Taylor","-6","70","67","69","68","274"
"T26","Nicolai Højgaard","-6","68","66","70","70","274"
"T26","Ryan Gerard","-6","68","67","68","71","274"
"T26","Marcus Armitage","-6","68","67","67","72","274"
"T30","Andy Sullivan","-5","68","68","69","70","275"
"T30","Ryan Fox","-5","71","65","69","70","275"
"T30","Austin Eckroat","-5","70","66","69","70","275"
"T30","Tom McKibbin","-5","67","71","67","70","275"
"T30","Karl Vilips","-5","70","64","68","73","275"
"T30","Mac Meissner","-5","71","67","64","73","275"
"T36","Shaun Norris","-4","68","70","71","67","276"
"T36","Brian Harman","-4","70","68","70","68","276"
"T36","Rasmus Højgaard","-4","65","73","70","68","276"
"T36","Max Greyserman","-4","69","69","69","69","276"
"T36","Nico Echavarria","-4","68","70","69","69","276"
"T36","Jon Rahm","-4","73","65","68","70","276"
"T36","Oliver Lindell","-4","66","69","69","72","276"
"T36","Rasmus Neergaard-Petersen","-4","68","68","65","75","276"
"T44","Kurt Kitayama","-3","66","72","71","68","277"
"T44","Ricky Castillo","-3","70","66","70","71","277"
"T44","Darius Van Driel","-3","70","65","70","72","277"
"T44","Calum Hill","-3","67","69","69","72","277"
"T44","Mikael Lindberg","-3","69","68","68","72","277"
"T44","J.J. Spaun","-3","68","70","67","72","277"
"T50","Laurie Canter","-2","69","68","70","71","278"
"T50","Justin Thomas","-2","69","67","69","73","278"
"T52","Eugenio Chacarra","-1","70","68","73","68","279"
"T52","Michael Brennan","-1","67","71","71","70","279"
"T52","Corey Conners","-1","67","70","71","71","279"
"T52","Andrew Putnam","-1","71","65","70","73","279"
"T52","Nicolai Von Dellingshausen","-1","69","64","72","74","279"
"T52","Jesper Svensson","-1","70","68","67","74","279"
"T52","Sudarshan Yellamaraju","-1","68","65","69","77","279"
"T59","Jacques Kruyswijk","E","69","69","69","73","280"
"T59","Guido Migliozzi","E","68","67","70","75","280"
"T61","Hennie Du Plessis","+1","70","66","75","70","281"
"T61","Yuto Katsuragawa","+1","71","67","73","70","281"
"T61","Andrew Novak","+1","66","71","73","71","281"
"T61","Adrien Saddier","+1","72","66","72","71","281"
"T61","Chris Kirk","+1","70","67","69","75","281"
"T66","Adam Scott","+2","69","69","75","69","282"
"T66","Sahith Theegala","+2","70","67","74","71","282"
"68","Nacho Elvira","+3","69","69","72","73","283"
"69","Davis Riley","+4","68","70","75","71","284"
"70","Eric Cole","+6","71","67","79","69","286"
"71","Scott Jamieson","+8","69","69","76","74","288"
"CUT","David Puig","-1","75","64","-","-","139"
"CUT","Dan Bradbury","-1","71","68","-","-","139"
"CUT","Harris English","-1","71","68","-","-","139"
"CUT","Sepp Straka","-1","70","69","-","-","139"
"CUT","Jayden Schaper","-1","68","71","-","-","139"
"CUT","Antoine Rozner","-1","69","70","-","-","139"
"CUT","Ludvig Åberg","-1","68","71","-","-","139"
"CUT","Zach Bauchou","-1","67","72","-","-","139"
"CUT","Marco Penge","-1","70","69","-","-","139"
"CUT","Matt McCarty","-1","67","72","-","-","139"
"CUT","Ewen Ferguson","-1","70","69","-","-","139"
"CUT","Patrick Cantlay","-1","65","74","-","-","139"
"CUT","Dylan Frittelli","-1","70","69","-","-","139"
"CUT","Doug Ghim","E","71","69","-","-","140"
"CUT","Niklas Nørgaard","E","71","69","-","-","140"
"CUT","Joe Highsmith","E","71","69","-","-","140"
"CUT","Dan Brown","E","73","67","-","-","140"
"CUT","Jordan Gumberg","E","72","68","-","-","140"
"CUT","Scottie Scheffler","E","68","72","-","-","140"
"CUT","Erik van Rooyen","E","71","69","-","-","140"
"CUT","Joakim Lagergren","E","70","70","-","-","140"
"CUT","Max McGreevy","E","69","71","-","-","140"
"CUT","Alex Smalley","E","72","68","-","-","140"
"CUT","Michael Kim","E","68","72","-","-","140"
"CUT","Grant Forrest","E","69","71","-","-","140"
"CUT","Brooks Koepka","E","66","74","-","-","140"
"CUT","Shane Lowry","E","71","69","-","-","140"
