Player,SG-Off the Tee,SG-Approach to Green,SG- Around the Green,SG-Putting,SG-Total
Tom Kim,0.6024999999999999,2.16,0.29750000000000004,0.9099999999999999,3.9724999999999997
Min Woo Lee,0.9624999999999999,1.0675000000000001,0.245,1.2025000000000001,3.4724999999999997
Keita Nakajima,0.41500000000000004,0.585,0.2925,1.68,2.9724999999999997
Johnny Keefer,0.6225,1.2875,0.20749999999999996,0.8525,2.9724999999999997
Matt Fitzpatrick,0.05,2.0375,-0.26499999999999996,1.145,2.9724999999999997
Robert MacIntyre,0.1125,2.355,0.08499999999999999,0.41500000000000004,2.9724999999999997
Rory McIlroy,1.52,-0.38500000000000006,0.4950000000000001,1.09,2.7225
Michael Thorbjornsen,0.5875,0.545,1.2975,0.29,2.7224999999999997
Victor Perez,0.6174999999999999,0.4,-0.019999999999999962,1.475,2.4725
Si Woo Kim,0.5549999999999999,0.4600000000000001,0.5675,0.8825000000000001,2.4725
Kevin Roy,0.195,0.7525,1.0225,0.25,2.2224999999999997
Chris Gotterup,0.9375000000000001,0.8075,-0.0024999999999999467,0.4825,2.2224999999999997
Viktor Hovland,0.69,1.2475,0.565,-0.5325000000000002,1.9725
Patrick Reed,-0.1275,0.35000000000000003,0.64,1.1075000000000002,1.9725000000000001
Tommy Fleetwood,0.55,1.15,0.5125,-0.245,1.9725000000000001
Wyndham Clark,0.255,0.7425000000000002,0.10749999999999997,0.8650000000000001,1.9724999999999997
Francesco Molinari,0.3775,1.5775000000000001,-0.1625,-0.07499999999999996,1.7225000000000001
Joost Luiten,0.04500000000000001,0.385,0.3425,0.9475000000000001,1.7225000000000001
Tyrrell Hatton,0.3025,-1.0925,0.2874999999999999,2.2224999999999997,1.7225000000000001
Alejandro Del Rey,0.5825,0.4275,-0.22249999999999998,0.9324999999999999,1.7225000000000001
Cam Davis,0.027499999999999997,0.42250000000000004,0.5,0.5225,1.4725000000000001
Casey Jarvis,0.25249999999999995,-0.4,-0.11749999999999994,1.735,1.4725000000000001
Matti Schmid,-0.38250000000000006,0.7375,0.29,0.825,1.4725000000000001
Jordan Smith,0.6575,0.955,-0.2825,0.14000000000000004,1.4725
Danny Willett,-0.5599999999999999,0.5575,0.8875,0.585,1.4725000000000001
Nick Taylor,-0.255,0.31,0.11249999999999996,1.0474999999999999,1.2225000000000001
Nicolai Hojgaard,0.485,1.105,0.4825,-0.855,1.2225
Ryan Gerard,1.1725,-0.67,0.33000000000000007,0.385,1.2225
Marcus Armitage,-0.047499999999999994,0.00500000000000006,-0.04249999999999998,1.3050000000000002,1.2225000000000001
Andy Sullivan,0.21250000000000002,-1.2674999999999998,0.42999999999999994,1.595,0.9725
Ryan Fox,0.5625,0.3225,0.5175,-0.42750000000000005,0.9725000000000001
Austin Eckroat,-1.2275,1.3775000000000002,-0.135,0.9575,0.9725000000000001
Tom McKibbin,0.3650000000000001,1.0150000000000001,-0.0925,-0.3175,0.9725
Karl Vilips,0.38249999999999995,0.4749999999999999,0.03250000000000003,0.08250000000000002,0.9725
Mac Meissner,-0.2025,0.67,0.265,0.23749999999999993,0.9725000000000003
Shaun Norris,-0.19000000000000006,-0.31,-0.20250000000000004,1.42,0.7225
Brian Harman,-0.9275,0.71,-0.0050000000000000044,0.9475,0.7225
Rasmus Hojgaard,0.395,-0.5625,-0.48749999999999993,1.3775,0.7224999999999999
Max Greyserman,0.8600000000000001,-0.9850000000000001,0.7349999999999999,0.11500000000000002,0.7224999999999999
Nico Echavarria,0.08000000000000007,0.47750000000000004,-0.11500000000000005,0.27749999999999997,0.7225
Jon Rahm,1.1275,-0.5925,-0.04749999999999999,0.23750000000000004,0.7225
Oliver Lindell,-0.19750000000000004,1.4125,0.0625,-0.56,0.7225
Rasmus Neergaard-Petersen,0.31,-0.125,-0.69,1.225,0.7224999999999999
Kurt Kitayama,-0.065,-1.155,0.455,1.2325,0.4725000000000001
Ricky Castillo,0.275,-0.565,0.37749999999999995,0.38250000000000006,0.47250000000000003
Darius Van Driel,-0.9324999999999999,0.4625000000000001,0.15999999999999998,0.7800000000000001,0.47250000000000003
Calum Hill,-0.43,0.014999999999999975,0.18,0.71,0.47250000000000003
Mikael Lindberg,0.52,-0.5700000000000001,-0.2775,0.7999999999999999,0.47250000000000003
J.J. Spaun,-0.19000000000000003,0.6975,-0.21499999999999997,0.1825,0.47250000000000003
Laurie Canter,-0.00749999999999993,0.8575,0.17499999999999993,-0.805,0.22249999999999995
Justin Thomas,0.37500000000000006,-1.0825,0.38999999999999996,0.54,0.22250000000000014
Eugenio Chacarra,0.024999999999999994,1.27,-0.2775,-1.0475,-0.02749999999999997
Michael Brennan,0.3875,0.6074999999999999,0.14749999999999996,-1.1675,-0.02749999999999999
