pos-normal,Last Name,First Name,TOTAL,R4,sg-ott,driver-distance,driver-accuracy,sg-app,GIR,Fairway Prox,Rough Prox,sg-putt,sg-arg,scrambling,great shots,poor shots,sg-total,sg-t2g,sg-bs
1,CAMPBELL,BRIAN,-18,-4,-1,275.8,75.00%,1.42,80.60%,"25' 8""","53' 10""",1.71,0.72,86.70%,3.75,2,2.84,1.14,0.42
2,GRILLO,EMILIANO,-18,-4,0.8,295.1,80.40%,0.69,79.20%,"27' 9""","59' 1""",1.35,0.01,66.70%,3.75,2.25,2.84,1.49,1.48
T3,LIPSKY,DAVID,-17,-3,0.12,290.5,80.40%,0.72,76.40%,"27' 2""","37' 11""",1.74,0.02,70.00%,3.75,2.25,2.59,0.85,0.83
T3,ROY,KEVIN,-17,-6,0.58,302.3,71.40%,0.81,73.60%,"26' 11""","73' 10""",0.36,0.84,69.60%,5,3.25,2.59,2.24,1.39
T5,HOMA,MAX,-16,-2,0.99,305.9,66.10%,1.18,81.90%,"27' 6""","42' 8""",0.55,-0.37,65.20%,4.75,2.75,2.34,1.8,2.17
T5,KUCHAR,MATT,-16,-5,-0.25,288.1,73.20%,0.93,76.40%,"28' 2""","58' 5""",1.07,0.59,72.70%,2.75,2.75,2.34,1.27,0.68
T5,GLOVER,LUCAS,-16,-7,-0.15,291.3,73.20%,1.39,80.60%,"25' 3""","52' 0""",0.28,0.82,56.50%,5,3,2.34,2.07,1.24
T5,KITAYAMA,KURT,-16,-4,1.19,313.9,66.10%,1.44,79.20%,"25' 1""","38' 6""",-0.16,-0.13,58.30%,6,3.5,2.34,2.5,2.63
T5,BRIDGEMAN,JACOB,-16,-7,0.59,300.2,67.90%,0.57,75.00%,"30' 0""","52' 4""",0.85,0.32,76.00%,4.75,3.5,2.34,1.49,1.17
T5,YOUNG,CARSON,-16,-7,-0.1,293,69.60%,1.11,81.90%,"29' 4""","64' 9""",0.86,0.48,76.50%,3,2.5,2.34,1.49,1.01
T11,DUNLAP,NICK,-15,-7,-1.38,293.9,50.00%,1.33,73.60%,"24' 2""","43' 11""",2.7,-0.56,69.60%,3.75,2.5,2.09,-0.61,-0.04
T11,MCCARTHY,DENNY,-15,-6,-0.33,292.2,58.90%,1.32,76.40%,"28' 3""","54' 6""",0.46,0.64,65.20%,4.75,2.25,2.09,1.63,0.99
T11,ECKROAT,AUSTIN,-15,-3,0.19,295.9,76.80%,1.7,76.40%,"25' 2""","57' 6""",0.43,-0.23,68.40%,3.75,2.5,2.09,1.66,1.89
T11,KIM,SI WOO,-15,-6,0.14,296.8,67.90%,1.59,77.80%,"24' 10""","49' 0""",-0.76,1.13,70.80%,3.75,3.25,2.09,2.85,1.72
