rank_model,player_id,player_display,name_key,data_depth_class,baseline_confidence_band,neutral_skill_sg,neutral_skill_index,sg_total_12m,sg_ott_12m,sg_app_12m,sg_arg_12m,sg_putt_12m,sg_t2g_12m,sg_rounds_12m,wins_12m,dd_delta,da_delta,trait_app_wedge,trait_app_100_150,trait_app_150_200,trait_ott_accuracy,trait_ott_distance,trait_putt_short_conv,trait_putt_lag,trait_arg_rough,trait_arg_bunker,trait_par5_scoring,cf_adj_total,cf_short_game,cf_approach,cf_distance,cf_accuracy,cf_putt_2_5ft,cf_putt_5_30ft,cf_rough,cf_bunker,shotdist_50_100,shotdist_100_150,shotdist_150_200,shotdist_200plus,venue_fit_score,venue_fit_delta,venue_fit_conf_band,venue_history_rounds,venue_history_sg,venue_history_delta,venue_history_conf_band,debut_flag,debut_class,injury_flag,ap_bomb_and_spray,ap_wedge_liability,ap_poor_birdie_conv,ap_rough_approach_liab,primary_trait_driver,primary_risk_trait,trait_summary_label
1,3,"Koivun, Jackson",KOIVUN_JACKSON,medium,medium,0.9275,90.9211691762622,1.29,0.59,0.5,0.01,1.05,1.11,62,0.0,5.9,7.6,88.3760522084555,89.19738562091504,89.1098849394756,66.2838768948094,79.90697674418605,100.0,100.0,46.5378421900161,48.13753581661891,100.0,0.0,-0.03,0.0,-0.01,0.03,7.0,11.9,2.0,1.2,1.9,6.1,5.8,3.5,85.60536859181347,-5.3158005844487235,medium,4,1.87,0.024,low,False,,False,False,False,False,False,PUTT_BirdieConv,ARG_Rough,PUTT_BirdieConv+PUTT_Lag; weak ARG_Rough
2,2,"Griffin, Ben",GRIFFIN_BEN,deep,high,1.41,99.46855624446414,1.41,0.08,0.27,0.44,0.53,0.79,104,1.0,-0.1,0.4,82.18102714461364,83.78562091503268,83.71615552418838,43.362425355994496,60.27906976744186,81.91438191438192,78.3865141481035,67.0960815888352,75.02387774594077,87.17022045536682,-0.07,-0.08,0.0,0.0,0.01,6.8,11.6,1.9,1.3,1.9,6.1,5.9,3.5,74.80987901703467,-24.658677227429465,high,6,1.931,3.1336,medium,False,,False,False,False,False,False,PAR5_Scoring,OTT_Accuracy,PAR5_Scoring+APP_100-150; weak OTT_Accuracy
3,17,"Wallace, Matt",WALLACE_MATT,deep,high,0.44,82.28520814880427,0.44,-0.11,0.36,0.19,0.09,0.44,111,0.0,-1.7,-0.4,85.16031400737728,85.9032679738562,85.83344026690621,38.26366559485532,53.48837209302325,70.27417027417027,69.77724262492471,52.33494363929147,61.891117478510026,82.11058908565234,-0.02,-0.02,0.0,0.0,0.0,6.8,11.7,1.9,1.3,1.9,6.1,5.9,3.5,71.5769066264611,-10.708301522343177,high,2,-1.266,-0.027200000000000002,low,False,,False,False,False,False,False,APP_100-150,OTT_Accuracy,APP_100-150+APP_150-200; weak OTT_Accuracy
4,4,"Fowler, Rickie",FOWLER_RICKIE,deep,high,1.18,95.39415411868912,1.18,0.42,0.29,0.07,0.36,0.79,80,0.0,1.1,4.6,83.53352879977301,84.2562091503268,84.18666324479233,57.78594395957741,70.88372093023256,79.5815295815296,79.19927754364838,50.0805152979066,55.587392550143264,91.72388868810987,0.02,-0.02,0.0,0.0,0.04,6.9,11.8,2.0,1.3,1.8,6.1,5.9,3.5,77.4081909008021,-17.98596321788702,high,6,0.762,0.39840000000000003,medium,False,,False,False,False,False,False,PAR5_Scoring,ARG_Rough,PAR5_Scoring+APP_100-150; weak ARG_Rough
5,31,"Kim, Tom",KIM_TOM,deep,high,0.28,79.45084145261293,0.28,-0.23,0.36,0.21,-0.03,0.34,83,0.0,-5.1,3.1,84.99952709732338,85.9032679738562,85.85054963856452,42.90307762976575,47.162790697674424,67.0995670995671,66.52618904274533,53.51583467525497,62.94173829990449,79.50849295265631,0.0,-0.03,0.0,0.01,0.03,6.8,11.7,1.9,1.3,1.8,6.1,6.0,3.5,71.29106738160755,-8.159774071005387,high,2,0.159,-0.022400000000000003,low,False,,False,False,False,False,False,APP_100-150,OTT_Accuracy,APP_100-150+APP_150-200; weak OTT_Accuracy
6,5,"Bridgeman, Jacob",BRIDGEMAN_JACOB,deep,high,0.97,91.674047829938,0.97,0.16,0.3,0.12,0.48,0.58,104,1.0,1.9,1.4,83.50515463917526,84.49150326797385,84.42191710509431,46.85346807533304,64.37209302325581,82.75613275613279,82.45033112582782,48.20182501341922,58.21394460362941,86.28478496566679,-0.02,-0.04,0.0,0.0,0.02,6.9,11.8,1.9,1.3,1.9,6.1,5.9,3.5,75.3670881869283,-16.306959643009705,high,6,0.873,2.0143999999999997,medium,False,,False,False,False,False,False,PAR5_Scoring,OTT_Accuracy,PAR5_Scoring+APP_100-150; weak OTT_Accuracy
7,1,"Gotterup, Chris",GOTTERUP_CHRIS,deep,high,1.44,100.0,1.44,0.71,0.35,0.02,0.42,1.08,102,3.0,16.6,-4.9,84.8198240802043,85.6888888888889,85.5297489199709,44.23518603582913,92.65116279069768,83.33333333333333,82.93196869355809,42.297369833601714,48.662846227316145,99.2952656306469,-0.13,-0.03,0.0,-0.04,-0.06,7.0,11.9,1.9,1.2,2.1,6.2,5.5,3.2,75.24528993119566,-24.754710068804343,high,10,1.23,2.6912000000000003,medium,False,,False,True,False,False,True,PAR5_Scoring,ARG_Rough,PAR5_Scoring+OTT_Distance; weak ARG_Rough
8,9,"Thorbjornsen, Michael",THORBJORNSEN_MICHAEL,deep,high,0.71,87.0682019486271,0.71,0.47,0.08,0.1,-0.13,0.65,97,0.0,10.2,2.6,78.8707084082096,79.3359477124183,79.21211343513409,54.61644464859901,80.37209302325581,66.61856661856665,65.92414208308244,51.85185185185186,52.865329512893986,88.18214672930974,-0.02,0.0,0.0,-0.02,0.01,6.9,11.8,2.0,1.2,1.9,6.2,5.7,3.4,71.20959910028232,-15.858602848344788,high,12,2.007,5.4624,medium,False,,False,False,False,False,False,PAR5_Scoring,ARG_Rough,PAR5_Scoring+OTT_Distance; weak ARG_Rough
9,6,"Bradley, Keegan",BRADLEY_KEEGAN,deep,high,0.91,90.61116031886627,0.91,0.28,0.16,0.42,0.07,0.86,82,0.0,5.7,-0.1,80.1475456351083,81.19738562091504,81.11125368920827,45.980707395498406,71.06976744186046,69.74506974506974,68.03130644190244,65.91519055287172,69.67526265520534,89.06758221900975,-0.05,-0.04,0.0,-0.01,0.0,6.8,11.7,1.9,1.2,1.9,6.1,5.8,3.4,72.17425471253082,-18.436905606335444,high,8,0.204,-1.82,medium,False,,False,False,False,False,False,PAR5_Scoring,OTT_Accuracy,PAR5_Scoring+APP_100-150; weak OTT_Accuracy
10,10,"Bezuidenhout, Christiaan",BEZUIDENHOUT_CHRISTIAAN,deep,high,0.69,86.7139061116032,0.69,-0.32,0.39,0.32,0.29,0.39,95,0.0,-14.0,5.2,85.40622339922444,86.58823529411765,86.5905299627871,45.38355535140102,36.74418604651163,77.72967772967775,73.08850090307038,60.0107353730542,68.72015281757402,79.29165160823997,0.03,-0.05,0.0,0.03,0.05,6.9,11.6,1.9,1.3,1.7,6.0,6.2,3.6,74.73308262744251,-11.98082348416068,high,8,0.691,0.5768,medium,False,,False,False,False,False,False,APP_150-200,OTT_Distance,APP_150-200+APP_100-150; weak OTT_Distance
