rank_model,player_id,player_display,name_key,field_status,r1_tee_time,r1_wave,data_depth_class,baseline_confidence_band,neutral_skill_sg,neutral_skill_index,venue_fit_score,venue_fit_delta,venue_fit_conf_band,comp_course_adjustment,comp_course_trace,venue_history_rounds,venue_history_sg,venue_history_delta,venue_history_conf_band,pre_penalty_vts,blend_class,blend_weights_used,tier_eligibility_gate_status,debut_flag,debut_class,debut_penalty_applied,anti_pattern_flags,anti_pattern_penalty_total,ap_pen_bomb_spray,ap_pen_wedge_liab,ap_pen_poor_birdie,ap_pen_rough_approach,anti_pattern_trigger_trace,anti_pattern_modifier_trace,primary_risk_trait,risk_stressor_active,risk_secondary_discount_applied,risk_discount_trace,form_score_adjusted,recent_form_index,form_vs_baseline,recent_form_gate_applied,recent_form_gate_reason,form_delta_vts,injury_flag,health_gate_status,health_gate_reason,health_delta_vts,player_variance_band,volatility_index,venue_variance_class,variance_adjustment_trace,probability_compression_class,probability_compression_coefficients,probability_compression_trace,vts_final_raw,vts_final,tier,tier_reason,tier_gate_check,win_pct,top3_pct,top5_pct,top10_pct,top20_pct,make_cut_pct,miss_cut_pct,primary_trait_driver,trait_summary_label,trace_notes
1,3,"Koivun, Jackson",KOIVUN_JACKSON,confirmed,TBD,TBD,medium,medium,0.9275,90.9211691762622,85.60536859181347,-5.3158005844487235,medium,0.0,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",4,1.87,0.024,low,82.92606359526582,Blended,"{""neutral"": 0.5, ""venuefit"": 0.35, ""venuehistory"": 0.15}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,ARG_Rough,False,0.0,,0.9275,50.0,0.0,False,,0.0,False,ok,,0.0,medium,50.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",82.92606359526582,82.92606359526582,1,Tier1 — Course Architect: NeutralSG=0.93+VFD=-5.3; 4CH-rds → elite birdie-fest fit at TPC Deere Run,ok,0.028516546897628406,0.5726340928237921,0.666546473383895,0.793039606048785,0.8714773910010446,0.9201821482185479,0.07981785178145206,PUTT_BirdieConv,PUTT_BirdieConv+PUTT_Lag; weak ARG_Rough,NeutralSG=0.93; VFD=-5.3; VHD=0.0(4rds); →Tier1 VTS=82.9
2,2,"Griffin, Ben",GRIFFIN_BEN,confirmed,TBD,TBD,deep,high,1.41,99.46855624446414,74.80987901703467,-24.658677227429465,high,-1.4,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",6,1.931,3.1336,medium,78.17046620289605,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,OTT_Accuracy,False,0.0,,1.41,50.0,0.0,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",78.17046620289605,78.17046620289605,2,"Tier2 — Contention Window: NeutralSG=1.41, VFD=-24.7; 6CH-rds",ok,0.020242102146431955,0.4089499278655953,0.49864467156272746,0.6426828428922735,0.7402840838064803,0.8028518123752251,0.19714818762477493,PAR5_Scoring,PAR5_Scoring+APP_100-150; weak OTT_Accuracy,NeutralSG=1.41; VFD=-24.7; VHD=3.1(6rds); →Tier2 VTS=78.2
3,17,"Wallace, Matt",WALLACE_MATT,confirmed,TBD,TBD,deep,high,0.44,82.28520814880427,71.5769066264611,-10.708301522343177,high,-0.4,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",2,-1.266,-0.027200000000000002,low,78.001887539867,Neutral+Venue,"{""neutral"": 0.6, ""venuefit"": 0.4, ""venuehistory"": 0.0}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,OTT_Accuracy,False,0.0,,0.44,50.0,0.0,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",78.001887539867,78.001887539867,2,"Tier2 — Contention Window: NeutralSG=0.44, VFD=-10.7; 2CH-rds",ok,0.02004640302760306,0.4051914505800517,0.49489264495147867,0.6398859703283858,0.7385046439531593,0.8018244182364567,0.19817558176354333,APP_100-150,APP_100-150+APP_150-200; weak OTT_Accuracy,NeutralSG=0.44; VFD=-10.7; VHD=-0.0(2rds); →Tier2 VTS=78.0
4,4,"Fowler, Rickie",FOWLER_RICKIE,confirmed,TBD,TBD,deep,high,1.18,95.39415411868912,77.4081909008021,-17.98596321788702,high,0.4,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",6,0.762,0.39840000000000003,medium,76.49963891771627,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,ARG_Rough,False,0.0,,1.18,50.0,0.0,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",76.49963891771627,76.49963891771627,2,"Tier2 — Contention Window: NeutralSG=1.18, VFD=-18.0; 6CH-rds",ok,0.018366681144996688,0.3720362984628635,0.46123953755634695,0.6141881334914384,0.721961374188739,0.7922416011971853,0.20775839880281466,PAR5_Scoring,PAR5_Scoring+APP_100-150; weak ARG_Rough,NeutralSG=1.18; VFD=-18.0; VHD=0.4(6rds); →Tier2 VTS=76.5
5,31,"Kim, Tom",KIM_TOM,confirmed,TBD,TBD,deep,high,0.28,79.45084145261293,71.29106738160755,-8.159774071005387,high,0.0,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",2,0.159,-0.022400000000000003,low,76.18693182421077,Neutral+Venue,"{""neutral"": 0.6, ""venuefit"": 0.4, ""venuehistory"": 0.0}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,OTT_Accuracy,False,0.0,,0.28,50.0,0.0,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",76.18693182421077,76.18693182421077,2,"Tier2 — Contention Window: NeutralSG=0.28, VFD=-8.2; 2CH-rds",ok,0.018031241557451155,0.3652305725356823,0.45420584357301913,0.608670839436648,0.718361510119857,0.7901479000185153,0.20985209998148469,APP_100-150,APP_100-150+APP_150-200; weak OTT_Accuracy,NeutralSG=0.28; VFD=-8.2; VHD=-0.0(2rds); →Tier2 VTS=76.2
6,5,"Bridgeman, Jacob",BRIDGEMAN_JACOB,confirmed,TBD,TBD,deep,high,0.97,91.674047829938,75.3670881869283,-16.306959643009705,high,-0.4,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",6,0.873,2.0143999999999997,medium,74.88406558805369,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,OTT_Accuracy,False,0.0,,0.97,50.0,0.0,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",74.88406558805369,74.88406558805369,2,"Tier2 — Contention Window: NeutralSG=0.97, VFD=-16.3; 6CH-rds",ok,0.016684600805368557,0.33733805406221656,0.4249174998957204,0.5851078321809995,0.7027801856713307,0.7810447000970001,0.2189552999029999,PAR5_Scoring,PAR5_Scoring+APP_100-150; weak OTT_Accuracy,NeutralSG=0.97; VFD=-16.3; VHD=2.0(6rds); →Tier2 VTS=74.9
7,1,"Gotterup, Chris",GOTTERUP_CHRIS,confirmed,TBD,TBD,deep,high,1.44,100.0,75.24528993119566,-24.754710068804343,high,-2.6,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",10,1.23,2.6912000000000003,medium,78.3809469793587,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,bomb_and_spray;rough_approach_liab,-2.6740815638692284,-1.558139534883721,0.0,0.0,-1.1159420289855073,bomb_and_spray;rough_approach_liab,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,ARG_Rough,False,0.0,,1.44,50.0,0.0,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",73.03278385162024,73.03278385162024,2,"Tier2 — Contention Window: NeutralSG=1.44, VFD=-24.8; 10CH-rds",ok,0.014907121862332099,0.2992855395370853,0.3837231959484049,0.5502064710679548,0.6790273899727355,0.767017816534483,0.23298218346551702,PAR5_Scoring,PAR5_Scoring+OTT_Distance; weak ARG_Rough,NeutralSG=1.44; VFD=-24.8; VHD=2.7(10rds); AP=-2.7SG(bomb_and_spray;rough_approach_liab); →Tier2 VTS=73.0
8,9,"Thorbjornsen, Michael",THORBJORNSEN_MICHAEL,confirmed,TBD,TBD,deep,high,0.71,87.0682019486271,71.20959910028232,-15.858602848344788,high,-0.4,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",12,2.007,5.4624,medium,72.82888050953554,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,ARG_Rough,False,0.0,,0.71,50.0,0.0,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",72.82888050953554,72.82888050953554,2,"Tier2 — Contention Window: NeutralSG=0.71, VFD=-15.9; 12CH-rds",ok,0.014720745581812134,0.2952263413678803,0.37924177391263786,0.5462742504749286,0.6762965614811024,0.7653920418510877,0.23460795814891233,PAR5_Scoring,PAR5_Scoring+OTT_Distance; weak ARG_Rough,NeutralSG=0.71; VFD=-15.9; VHD=5.5(12rds); →Tier2 VTS=72.8
9,6,"Bradley, Keegan",BRADLEY_KEEGAN,confirmed,TBD,TBD,deep,high,0.91,90.61116031886627,72.17425471253082,-18.436905606335444,high,-1.0,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",8,0.204,-1.82,medium,72.35074054130575,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,OTT_Accuracy,False,0.0,,0.91,50.0,0.0,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",72.35074054130575,72.35074054130575,2,"Tier2 — Contention Window: NeutralSG=0.91, VFD=-18.4; 8CH-rds",ok,0.014290810677873897,0.2858199720825658,0.36879089268893916,0.5369938030123372,0.6698048961586057,0.7615154668635643,0.2384845331364357,PAR5_Scoring,PAR5_Scoring+APP_100-150; weak OTT_Accuracy,NeutralSG=0.91; VFD=-18.4; VHD=-1.8(8rds); →Tier2 VTS=72.4
10,10,"Bezuidenhout, Christiaan",BEZUIDENHOUT_CHRISTIAAN,confirmed,TBD,TBD,deep,high,0.69,86.7139061116032,74.73308262744251,-11.98082348416068,high,0.6,"DataGolf venue-fit tool; comp courses: TPC River Highlands, Colonial CC, Sedgefield CC; cf_adj_total scaled ×20, capped ±7 VTS pts",8,0.691,0.5768,medium,72.27852723287403,Balanced,"{""neutral"": 0.4, ""venuefit"": 0.3, ""venuehistory"": 0.3}",clear,False,,0.0,,0.0,0.0,0.0,0.0,0.0,,Deere Run standard venue (non-major birdie-fest). AP_TO_VTS=2.0. Soft/wet week: bomb_and_spray softened (miss_fw_pen_frac=0.0264 modest). No weather amplification on other patterns.,OTT_Distance,False,0.0,,0.69,50.0,0.0,False,,0.0,False,ok,,0.0,low,25.0,standard,Standard venue variance class. Soft/wet delay risk: no compression multiplier.,standard,"{""win_exponent"": 4.5, ""win_cap"": 0.14, ""top3_center"": 80, ""top5_center"": 76, ""top10_center"": 68, ""top20_center"": 59, ""make_cut_center"": 48, ""make_cut_steepness"": 0.07}","144-player cut event. Win exp=4.5, cap=0.14. make_cut_pct via logistic(vts, center=48, steep=0.07).",72.27852723287403,72.27852723287403,2,"Tier2 — Contention Window: NeutralSG=0.69, VFD=-12.0; 8CH-rds",ok,0.014226736205548825,0.28441331130737274,0.3672200392985024,0.5355852540754933,0.6688137878943279,0.7609221149087567,0.23907788509124328,APP_150-200,APP_150-200+APP_100-150; weak OTT_Distance,NeutralSG=0.69; VFD=-12.0; VHD=0.6(8rds); →Tier2 VTS=72.3
