player,anti_pattern_flag,penalty_applied,actual_finish,made_cut,relevant_sg_category,relevant_sg_value,relevant_sg_rank,verdict,notes
Chris Gotterup,bomb_and_spray; rough_approach_liab,-2.674,1,Y,OTT,5.413,1st,OVER-PENALIZED,Won despite both flags. OTT 1st in field (+5.41). Soft/wet conditions softened rough penalty; course played as birdie-fest rewarding distance.
Jackson Suber,rough_approach_liab,-1.114,T6,Y,Approach,3.727,16th,OVER-PENALIZED,T6 despite rough_approach_liab flag. Approach 16th (+3.727 SG). Overcorrection confirmed — rough_approach_liab did not manifest.
J.T. Poston,rough_approach_liab,-1.178,T51,Y,Approach,-2.108,69th,CORRECT,T51. Approach 69th (-2.108 SG). Penalty directionally correct — approach weakness materialized.
Mac Meissner,bomb_and_spray,-1.100,T6,Y,OTT,0.289,38th,OVER-PENALIZED,T6 finish despite bomb_and_spray flag. OTT 38th (0.289 SG). Putting 2nd (+8.405) drove finish — penalty may have been overcorrected.
Sudarshan Yellamaraju,rough_approach_liab,-1.105,CUT,N,Approach,N/A (cut),-,CORRECT,CUT. SG data N/A (cut player). Penalty directionally likely correct given cut result.
Tony Finau,bomb_and_spray,-1.063,T58,Y,OTT,3.36,3rd,CORRECT,
Jordan Spieth,bomb_and_spray,-1.243,T58,Y,OTT,-0.95,56th,CORRECT,"T58. OTT 56th (-0.95 SG). Penalty directionally correct. ATG catastrophic (-4.988, 79th). Penalty correct direction, magnitude check: bomb_and_spray not primary miss driver."
Max Greyserman,bomb_and_spray,-1.093,CUT,N,OTT,N/A (cut),-,CORRECT,
Taylor Pendrith,bomb_and_spray,-1.370,CUT,N,OTT,N/A (cut),-,CORRECT,
Michael Brennan,rough_approach_liab,-1.389,T33,Y,Approach,4.44,13th,PARTIALLY CORRECT,T33. Approach 13th (+4.440 SG). Debut B-class player exceeded approach expectation. Penalty overcorrected.
Keith Mitchell,bomb_and_spray; rough_approach_liab,-2.626,T51,Y,OTT,1.138,31st,CORRECT,
Austin Eckroat,rough_approach_liab,-1.371,T58,Y,Approach,3.29,22nd,CORRECT,
Doug Ghim,poor_birdie_conv,-1.822,T6,Y,Approach,2.323,30th,OVER-PENALIZED,
Davis Thompson,poor_birdie_conv,-1.609,T26,Y,Approach,3.518,19th,PARTIALLY CORRECT,
William Mouw,rough_approach_liab,-1.150,T26,Y,Approach,5.079,10th,PARTIALLY CORRECT,
Andrew Novak,poor_birdie_conv,-1.596,CUT,N,Approach,N/A (cut),-,CORRECT,
Haotong Li,rough_approach_liab,-1.265,CUT,N,Approach,N/A (cut),-,CORRECT,
Emiliano Grillo,rough_approach_liab,-1.167,T26,Y,Approach,-0.396,59th,PARTIALLY CORRECT,
Takumi Kanaya,wedge_liability,-2.459,CUT,N,Approach,N/A (cut),-,CORRECT,
Aldrich Potgieter,bomb_and_spray; rough_approach_liab,-2.864,CUT,N,OTT,N/A (cut),-,CORRECT,
Adrien Dumont De Chassart,bomb_and_spray,-1.020,T51,Y,OTT,-1.768,67th,CORRECT,
Daniel Berger,poor_birdie_conv; rough_approach_liab,-3.072,CUT,N,Approach,N/A (cut),-,CORRECT,
Pierceson Coody,bomb_and_spray; rough_approach_liab,-2.767,T39,Y,OTT,1.186,30th,PARTIALLY CORRECT,
Kevin Yu,poor_birdie_conv,-1.589,T15,Y,Approach,2.105,35th,PARTIALLY CORRECT,
Ben Kohles,poor_birdie_conv; rough_approach_liab,-3.210,T3,Y,Approach,3.679,18th,OVER-PENALIZED,
Rico Hoey,poor_birdie_conv; rough_approach_liab,-3.063,CUT,N,Approach,N/A (cut),-,CORRECT,
Max Mcgreevy,poor_birdie_conv,-1.728,T51,Y,Approach,5.154,9th,CORRECT,
Patrick Fishburn,bomb_and_spray,-1.127,T67,Y,OTT,3.17,5th,CORRECT,
Lee Hodges,rough_approach_liab,-1.221,T3,Y,Approach,-0.709,61st,OVER-PENALIZED,
Sungjae Im,wedge_liability,-2.396,T71,Y,Approach,-3.391,72nd,CORRECT,
Blades Brown,rough_approach_liab,-1.141,T12,Y,Approach,0.986,47th,PARTIALLY CORRECT,
Zecheng Dou,bomb_and_spray,-1.000,T21,Y,OTT,2.428,12th,PARTIALLY CORRECT,
Patrick Rodgers,bomb_and_spray,-1.160,,N/A,OTT,N/A (cut),N/A,CORRECT,
Johnny Keefer,bomb_and_spray; poor_birdie_conv; rough_approach_liab,-4.655,CUT,N,OTT,N/A (cut),-,CORRECT,
Chandler Blanchet,poor_birdie_conv; rough_approach_liab,-3.209,CUT,N,Approach,N/A (cut),-,CORRECT,
Austin Smotherman,poor_birdie_conv; rough_approach_liab,-3.193,T58,Y,Approach,3.71,17th,CORRECT,
Carson Young,rough_approach_liab,-1.228,CUT,N,Approach,N/A (cut),-,CORRECT,
Mark Hubbard,poor_birdie_conv,-1.669,T46,Y,Approach,-0.205,54th,PARTIALLY CORRECT,
Zac Blair,poor_birdie_conv; rough_approach_liab,-2.858,T9,Y,Approach,5.616,5th,OVER-PENALIZED,
Seamus Power,wedge_liability,-2.167,WD,N,Approach,N/A (cut),-,CORRECT,
Beau Hossler,wedge_liability,-2.335,T39,Y,Approach,1.186,44th,PARTIALLY CORRECT,
Ryo Hisatsune,poor_birdie_conv; rough_approach_liab,-2.842,T9,Y,Approach,2.479,29th,OVER-PENALIZED,
Lucas Glover,poor_birdie_conv,-1.887,T3,Y,Approach,9.047,1st,OVER-PENALIZED,
Kevin Roy,wedge_liability,-2.264,CUT,N,Approach,N/A (cut),-,CORRECT,
Chan Kim,poor_birdie_conv,-1.941,T51,Y,Approach,1.643,39th,CORRECT,
Vince Whaley,wedge_liability,-2.227,CUT,N,Approach,N/A (cut),-,CORRECT,
Chad Ramey,wedge_liability,-2.201,CUT,N,Approach,N/A (cut),-,CORRECT,
Brice Garnett,rough_approach_liab,-1.122,CUT,N,Approach,N/A (cut),-,CORRECT,
Kris Ventura,wedge_liability,-2.213,CUT,N,Approach,N/A (cut),-,CORRECT,
Taylor Moore,bomb_and_spray; wedge_liability,-3.485,CUT,N,OTT,N/A (cut),-,CORRECT,
Keita Nakajima,rough_approach_liab,-1.290,T46,Y,Approach,2.727,27th,PARTIALLY CORRECT,
Fabian Gomez,poor_birdie_conv,-1.946,T74,Y,Approach,0.023,51st,CORRECT,
Erik Van Rooyen,bomb_and_spray; wedge_liability,-3.399,T26,Y,OTT,0.36,37th,PARTIALLY CORRECT,
Garrick Higgo,bomb_and_spray; wedge_liability,-3.417,CUT,N,OTT,N/A (cut),-,CORRECT,
Adam Svensson,poor_birdie_conv,-1.987,CUT,N,Approach,N/A (cut),-,CORRECT,
David Skinns,poor_birdie_conv; rough_approach_liab,-2.706,T33,Y,Approach,5.513,6th,PARTIALLY CORRECT,
Kevin Streelman,rough_approach_liab,-1.200,CUT,N,Approach,N/A (cut),-,CORRECT,
Mackenzie Hughes,bomb_and_spray; wedge_liability,-3.250,T46,Y,OTT,-1.144,59th,PARTIALLY CORRECT,
Jimmy Stanger,bomb_and_spray; wedge_liability,-4.054,CUT,N,OTT,N/A (cut),-,CORRECT,
Hank Lebioda,poor_birdie_conv,-1.702,CUT,N,Approach,N/A (cut),-,CORRECT,
Noah Goodwin,wedge_liability,-2.241,CUT,N,Approach,N/A (cut),-,CORRECT,
Hayden Springer,bomb_and_spray; wedge_liability,-3.527,T58,Y,OTT,-1.647,64th,CORRECT,
Matthieu Pavon,wedge_liability,-2.196,CUT,N,Approach,N/A (cut),-,CORRECT,
Neal Shipley,wedge_liability; poor_birdie_conv; rough_approach_liab,-5.648,CUT,N,Approach,N/A (cut),-,CORRECT,
Chandler Phillips,wedge_liability,-2.518,T15,Y,Approach,-0.289,57th,PARTIALLY CORRECT,
Stephan Jaeger,bomb_and_spray; wedge_liability,-3.174,T15,Y,OTT,-2.971,76th,PARTIALLY CORRECT,
Cameron Champ,wedge_liability,-2.188,CUT,N,Approach,N/A (cut),-,CORRECT,
Joel Dahmen,poor_birdie_conv; rough_approach_liab,-3.048,T46,Y,Approach,-0.238,55th,PARTIALLY CORRECT,
Tom Hoge,poor_birdie_conv; rough_approach_liab,-3.006,T33,Y,Approach,7.404,2nd,PARTIALLY CORRECT,
Trace Crowe,bomb_and_spray; wedge_liability,-3.529,T39,Y,OTT,4.084,2nd,PARTIALLY CORRECT,
Brian Campbell,wedge_liability,-2.313,CUT,N,Approach,N/A (cut),-,CORRECT,
Harry Higgs,bomb_and_spray; rough_approach_liab,-2.173,T21,Y,OTT,1.205,29th,PARTIALLY CORRECT,
Dylan Wu,poor_birdie_conv; rough_approach_liab,-2.929,CUT,N,Approach,N/A (cut),-,CORRECT,
Peter Malnati,wedge_liability,-2.457,T58,Y,Approach,-0.684,60th,CORRECT,
Luke Clanton,bomb_and_spray; poor_birdie_conv; rough_approach_liab,-4.100,CUT,N,OTT,N/A (cut),-,CORRECT,
Ben Silverman,wedge_liability; rough_approach_liab,-3.430,CUT,N,Approach,N/A (cut),-,CORRECT,
Augusto Nunez,bomb_and_spray,-1.030,CUT,N,OTT,N/A (cut),-,CORRECT,
Martin Laird,poor_birdie_conv,-1.708,CUT,N,Approach,N/A (cut),-,CORRECT,
Camilo Villegas,poor_birdie_conv,-1.609,T65,Y,Approach,-4.472,77th,CORRECT,
Adam Hadwin,wedge_liability; rough_approach_liab,-3.786,CUT,N,Approach,N/A (cut),-,CORRECT,
Jonathan Byrd,wedge_liability,-2.673,T71,Y,Approach,-4.711,78th,CORRECT,
Nick Hardy,bomb_and_spray; poor_birdie_conv,-2.775,CUT,N,OTT,N/A (cut),-,CORRECT,
Tyler Duncan,poor_birdie_conv; rough_approach_liab,-3.430,T12,Y,Approach,2.226,33rd,PARTIALLY CORRECT,
Justin Lower,wedge_liability; poor_birdie_conv,-3.951,CUT,N,Approach,N/A (cut),-,CORRECT,
Troy Merritt,wedge_liability,-2.486,T21,Y,Approach,-0.938,62nd,PARTIALLY CORRECT,
Luke List,bomb_and_spray; poor_birdie_conv,-2.777,CUT,N,OTT,N/A (cut),-,CORRECT,
Jeffrey Kang,poor_birdie_conv,-1.695,CUT,N,Approach,N/A (cut),-,CORRECT,
Aaron Wise,wedge_liability; poor_birdie_conv,-4.238,T39,Y,Approach,0.636,48th,PARTIALLY CORRECT,
Davis Riley,wedge_liability,-2.455,T65,Y,Approach,1.494,41st,CORRECT,
Kensei Hirata,wedge_liability,-2.380,CUT,N,Approach,N/A (cut),-,CORRECT,
Dylan Frittelli,bomb_and_spray; wedge_liability; poor_birdie_conv,-5.188,CUT,N,OTT,N/A (cut),-,CORRECT,
Patton Kizzire,wedge_liability; poor_birdie_conv,-3.910,CUT,N,Approach,N/A (cut),-,CORRECT,
Ben Martin,wedge_liability; poor_birdie_conv,-3.987,CUT,N,Approach,N/A (cut),-,CORRECT,
Gordon Sargent,bomb_and_spray; wedge_liability,-4.111,78,Y,OTT,-0.659,51st,CORRECT,
Robert Streb,wedge_liability,-2.403,CUT,N,Approach,N/A (cut),-,CORRECT,
Adam Schenk,wedge_liability; poor_birdie_conv; rough_approach_liab,-5.067,CUT,N,Approach,N/A (cut),-,CORRECT,
Jeremy Paul,wedge_liability; poor_birdie_conv,-4.220,CUT,N,Approach,N/A (cut),-,CORRECT,
Davis Chatfield,wedge_liability; poor_birdie_conv,-4.136,T33,Y,Approach,4.698,12th,PARTIALLY CORRECT,
Pontus Nyholm,bomb_and_spray; wedge_liability,-3.450,T26,Y,OTT,-0.861,53rd,PARTIALLY CORRECT,
Brendon Todd,wedge_liability,-3.490,CUT,N,Approach,N/A (cut),-,CORRECT,
Preston Stout,wedge_liability; poor_birdie_conv; rough_approach_liab,-6.384,T15,Y,Approach,N/A (cut),5.284,PARTIALLY CORRECT,
John Vanderlaan,wedge_liability; poor_birdie_conv,-4.016,CUT,N,Approach,N/A (cut),-,CORRECT,
Joe Highsmith,wedge_liability; poor_birdie_conv,-4.054,CUT,N,Approach,N/A (cut),-,CORRECT,
Will Gordon,bomb_and_spray; wedge_liability; poor_birdie_conv,-5.068,64,Y,OTT,2.163,16th,CORRECT,
Rafael Campos,poor_birdie_conv; rough_approach_liab,-3.338,T67,Y,Approach,0.33,50th,CORRECT,
Alejandro Tosti,bomb_and_spray; wedge_liability; poor_birdie_conv,-5.998,CUT,N,OTT,N/A (cut),-,CORRECT,
Marcelo Rozo,poor_birdie_conv; rough_approach_liab,-3.580,CUT,N,Approach,N/A (cut),-,CORRECT,
Danny Walker,bomb_and_spray; wedge_liability; poor_birdie_conv,-4.883,CUT,N,OTT,N/A (cut),-,CORRECT,
Christo Lamprecht,bomb_and_spray; wedge_liability; poor_birdie_conv,-5.840,CUT,N,OTT,N/A (cut),-,CORRECT,
Mason Howell,wedge_liability; poor_birdie_conv; rough_approach_liab,-6.047,CUT,N,Approach,N/A (cut),-,CORRECT,
Ryan Brehm,bomb_and_spray; wedge_liability; poor_birdie_conv; rough_approach_liab,-7.247,79,Y,OTT,-0.903,54th,CORRECT,
Nicholas Lindheim,wedge_liability; poor_birdie_conv; rough_approach_liab,-9.000,T74,Y,Approach,-3.5,73rd,CORRECT,
