POS,Player,TOTAL,Rd1,Rd2,Rd3,Rd4,Total Strokes
1,Chris Gotterup,-20,66,68,68,62,264
2,Max Homa,-19,67,66,68,64,265
T3,Lucas Glover,-18,63,65,69,69,266
T3,Lee Hodges,-18,64,66,67,69,266
T3,Ben Kohles,-18,65,67,66,68,266
T6,Mac Meissner,-17,67,70,66,64,267
T6,Jackson Suber,-17,68,64,66,69,267
T6,Doug Ghim,-17,69,65,65,68,267
T9,Ryo Hisatsune,-16,67,65,69,67,268
T9,Zach Johnson,-16,64,70,66,68,268
T9,Zac Blair,-16,63,68,67,70,268
T12,Christiaan Bezuidenhout,-15,68,68,68,65,269
T12,Tyler Duncan,-15,66,66,71,66,269
T12,Blades Brown,-15,69,66,67,67,269
T15,Kevin Yu,-14,66,72,66,66,270
T15,Stephan Jaeger,-14,64,72,68,66,270
T15,Matt Kuchar,-14,72,66,65,67,270
T15,Rickie Fowler,-14,70,69,63,68,270
T15,Chandler Phillips,-14,69,67,65,69,270
T15,Preston Stout,(a),-2,66,69,66,69
T21,Harry Higgs,-13,67,68,69,67,271
T21,Ben Griffin,-13,69,65,70,67,271
T21,Zecheng Dou,-13,67,69,68,67,271
T21,David Lipsky,-13,67,65,71,68,271
T21,Troy Merritt,-13,66,66,70,69,271
T26,Keegan Bradley,-12,70,69,69,64,272
T26,Jacob Bridgeman,-12,67,70,68,67,272
T26,Davis Thompson,-12,69,69,66,68,272
T26,Pontus Nyholm,-12,68,66,69,69,272
T26,Erik van Rooyen,-12,70,69,64,69,272
T26,Emiliano Grillo,-12,70,66,67,69,272
T26,William Mouw,-12,66,68,68,70,272
T33,Matt Wallace,-11,67,71,70,65,273
T33,Michael Brennan,-11,66,68,72,67,273
T33,Nick Dunlap,-11,67,72,67,67,273
T33,Davis Chatfield,-11,69,66,70,68,273
T33,David Skinns,-11,72,67,66,68,273
T33,Tom Hoge,-11,73,64,67,69,273
T39,Eric Cole,-10,76,63,70,65,274
T39,Lanto Griffin,-10,67,72,69,66,274
T39,Trace Crowe,-10,69,69,69,67,274
T39,Karl Vilips,-10,72,65,68,69,274
T39,Pierceson Coody,-10,69,68,67,70,274
T39,Beau Hossler,-10,70,67,66,71,274
T39,Aaron Wise,-10,66,69,67,72,274
T46,Mackenzie Hughes,-9,72,67,70,66,275
T46,Joel Dahmen,-9,66,71,71,67,275
T46,Keita Nakajima,-9,70,69,68,68,275
T46,Mark Hubbard,-9,72,67,68,68,275
T46,Tom Kim,-9,67,68,69,71,275
T51,Adrien Dumont de Chassart,-8,72,67,71,66,276
T51,Max McGreevy,-8,71,68,69,68,276
T51,Keith Mitchell,-8,73,66,69,68,276
T51,J.T. Poston,-8,68,69,71,68,276
T51,Luke Gutschewski,-8,67,68,72,69,276
T51,Chan Kim,-8,68,67,71,70,276
T51,Andrew Putnam,-8,67,68,67,74,276
T58,Jordan Spieth,-7,70,69,69,69,277
T58,Austin Eckroat,-7,71,67,69,70,277
T58,Hayden Springer,-7,66,68,71,72,277
T58,Peter Malnati,-7,71,66,69,71,277
T58,Tony Finau,-7,70,68,68,71,277
T58,Austin Smotherman,-7,66,69,70,72,277
64,Will Gordon,-6,70,69,71,68,278
T65,Camilo Villegas,-5,71,67,73,68,279
T65,Davis Riley,-5,65,72,71,71,279
T67,Zach Bauchou,-4,69,70,72,69,280
T67,Rafael Campos,-4,66,71,72,71,280
T67,Steven Fisk,-4,68,68,73,71,280
T67,Patrick Fishburn,-4,65,71,71,73,280
T71,Jonathan Byrd,-3,69,70,72,70,281
T71,A.J. Ewart,-3,67,72,70,72,281
T71,Sungjae Im,-3,68,69,68,76,281
T74,Fabián Gómez,-2,72,67,75,68,282
T74,Nicholas Lindheim,-2,69,68,76,69,282
T74,Michael Feagles,-2,69,70,74,69,282
77,Ryan Voois,E,68,70,72,74,284
78,Gordon Sargent,2,67,69,74,76,286
79,Ryan Brehm,4,68,69,77,74,288
