POS,First Name,Last Name,Score,SG-OTT,D. Distance,D. Accuracy,SG-APP,GIR,Fairway Prox,Rough Prox,SG-Putt,SG-ARG,Scrambling,Great Shots,Poor Shots,SG-Total,SG-T2G,SG-BS
1,Chris,Gotterup,-20,1.2,313.6,66.10%,0.1,75.00%,"28' 10""","61' 9""",1.35,0.57,71.40%,5,2.25,3.23,1.88,1.31
2,Max,Homa,-19,0.36,300.6,64.30%,0.85,77.80%,"28' 2""","34' 6""",0.77,0.99,83.30%,4.5,2.25,2.98,2.21,1.22
T3,Lucas,Glover,-18,-0.07,293.9,64.30%,2.26,77.80%,"23' 8""","28' 0""",0.04,0.5,91.30%,3.5,2.25,2.73,2.68,2.19
T3,Lee,Hodges,-18,0.29,292.9,69.60%,0.01,76.40%,"28' 5""","56' 4""",2.22,0.21,77.80%,4.25,2.5,2.73,0.51,0.3
T3,Ben,Kohles,-18,0.49,289.4,83.90%,0.92,83.30%,"24' 2""","55' 1""",0.59,0.72,77.80%,3.5,1.75,2.73,2.13,1.41
T6,Mac,Meissner,-17,0.21,297.5,64.30%,-0.02,63.90%,"25' 9""","67' 9""",2.1,0.2,77.80%,4.75,3.25,2.47,0.38,0.18
T6,Jackson,Suber,-17,0.89,305.8,66.10%,0.84,77.80%,"28' 0""","35' 5""",0.12,0.61,83.30%,4,3,2.48,2.35,1.74
T6,Doug,Ghim,-17,0.46,301,73.20%,0.65,79.20%,"29' 10""","75' 0""",1.06,0.3,77.30%,3.25,1.25,2.47,1.42,1.12
T9,Ryo,Hisatsune,-16,0.38,304.9,60.70%,0.56,72.20%,"26' 0""","38' 11""",0.82,0.46,71.40%,5.5,2.75,2.23,1.41,0.95
T9,Zach,Johnson,-16,0.04,285.5,78.60%,0.79,75.00%,"27' 7""","52' 5""",1.06,0.34,69.20%,4.25,3.5,2.23,1.17,0.82
T9,Zac,Blair,-16,-0.54,285.1,69.60%,1.58,79.20%,"23' 0""","52' 6""",1.35,-0.17,66.70%,4.25,2.5,2.23,0.87,1.04
T12,Christiaan,Bezuidenhout,-15,-0.66,289.3,60.70%,1.34,72.20%,"27' 8""","35' 6""",1.08,0.21,60.00%,4.25,2.25,1.98,0.89,0.68
T12,Tyler,Duncan,-15,0.32,293.4,75.00%,0.57,79.20%,"28' 6""","59' 0""",0.74,0.35,70.00%,4.25,2.5,1.98,1.24,0.89
T12,Blades,Brown,-15,0.69,298.4,76.80%,-0.02,76.40%,"28' 7""","40' 9""",0.66,0.64,90.00%,4.25,2.25,1.98,1.31,0.68
T15,Kevin,Yu,-14,0.5,304.8,64.30%,0.62,75.00%,"31' 5""","49' 2""",0.9,-0.29,65.50%,4.25,3.75,1.73,0.82,1.11
T15,Stephan,Jaeger,-14,-0.73,289.9,58.90%,1.37,83.30%,"27' 7""","42' 2""",0.46,0.63,68.40%,3.25,2.25,1.73,1.26,0.64
T15,Matt,Kuchar,-14,-0.37,285.4,75.00%,-0.04,66.70%,"29' 9""","36' 8""",1.21,0.93,80.00%,3.25,3.5,1.72,0.51,-0.42
T15,Rickie,Fowler,-14,0.34,299.8,62.50%,0.82,77.80%,"26' 4""","35' 1""",0.25,0.31,71.40%,3.75,3.25,1.72,1.48,1.17
T15,Chandler,Phillips,-14,-0.28,297.4,62.50%,-0.03,70.80%,"27' 1""","42' 2""",0.91,1.12,92.60%,4.5,3.25,1.72,0.82,-0.3
T15,Preston,Stout,-14,0.41,299.1,64.30%,1.25,80.60%,"29' 3""","47' 5""",0.02,0.05,70.00%,4.25,3.25,1.73,1.71,1.67
T21,Harry,Higgs,-13,0.28,299.9,58.90%,0.25,68.10%,"29' 8""","47' 11""",0.4,0.55,63.30%,3.5,2.5,1.47,1.08,0.53
T21,Ben,Griffin,-13,0,302.4,62.50%,0.42,75.00%,"29' 0""","48' 9""",0.87,0.19,80.00%,4.25,2.5,1.48,0.61,0.42
T21,Zecheng,Dou,-13,0.69,296.6,80.40%,0.8,80.60%,"28' 10""","50' 9""",0.24,-0.24,54.50%,4.25,2,1.47,1.24,1.49
T21,David,Lipsky,-13,-0.04,288.8,69.60%,-0.07,76.40%,"32' 2""","44' 0""",1.01,0.58,79.20%,3.25,2.5,1.48,0.46,-0.12
T21,Troy,Merritt,-13,0.41,292.9,71.40%,-0.19,76.40%,"31' 2""","70' 5""",1.27,-0.02,69.60%,2.75,3,1.48,0.2,0.22
T26,Keegan,Bradley,-12,0.5,308.9,58.90%,0.19,70.80%,"29' 2""","43' 10""",0.42,0.12,66.70%,4.25,3.25,1.22,0.81,0.69
T26,Jacob,Bridgeman,-12,0.25,296.4,69.60%,0.86,66.70%,"22' 10""","61' 8""",0.7,-0.59,79.30%,2.75,2,1.22,0.53,1.11
T26,Davis,Thompson,-12,0.77,305.4,58.90%,0.99,73.60%,"23' 5""","60' 11""",-0.3,-0.24,58.30%,4,2.5,1.23,1.52,1.76
