Hole,Par,Yards,Avg,Rank,Plus - Minus,Eagles,Birdies,Pars,Bogeys,DBL+
1,4,416,3.883,12,-0.117,0,104,294,42,5
2,5,561,4.38,18,-0.62,37,231,151,23,3
3,3,186,3.025,7,0.025,0,58,320,65,2
4,4,492,4.169,2,0.169,0,45,288,105,7
5,4,433,3.865,14,-0.135,2,104,295,40,4
6,4,367,3.874,13,-0.126,1,106,289,46,3
7,3,226,3.043,6,0.043,0,53,324,64,4
8,4,428,3.901,10,-0.099,1,96,295,52,1
9,4,503,4.211,1,0.211,0,45,275,115,10
10,5,596,4.694,15,-0.306,3,166,245,26,5
11,4,432,3.984,8,-0.016,0,79,300,60,6
12,3,215,3.054,5,0.054,0,55,324,56,10
13,4,424,3.894,11,-0.106,2,84,320,37,2
14,4,361,3.672,16,-0.328,5,167,247,23,3
15,4,484,4.079,4,0.079,0,73,278,81,13
16,3,158,2.946,9,-0.054,1,85,301,53,5
17,5,569,4.519,17,-0.481,19,205,194,25,2
18,4,476,4.137,3,0.137,0,53,295,81,16
